scale	type	name	value
global	design	run_vegmode	cohort
global	design	run_nyear_spinup	500
global	design	run_ifcalcsla	1
global	design	run_ifcalccton	1
global	design	run_iffire	1
global	design	run_npatch	1
global	design	run_patcharea	1000
global	design	run_estinterval	5
global	design	run_ifdisturb	1
global	design	run_distinterval	100
global	design	run_ifbgestab	1
global	design	run_ifsme	1
global	design	run_ifstochestab	1
global	design	run_ifstochmort	1
global	design	run_ifcdebt	1
global	design	run_wateruptake	rootdist
global	design	run_ifcentury	1
global	design	run_ifnlim	0
global	design	run_freenyears	100
global	parameter	run_nfix_a	0.102
global	parameter	run_nfix_b	0.524
global	parameter	run_nrelocfrac	0.5
global	design	run_state_year	500
global	design	run_restart	0
global	design	run_save_state	0
global	design	run_state_path	
global	design	run_ifsmoothgreffmort	1
global	design	run_ifdroughtlimitedestab	1
global	design	run_ifrainonwetdaysonly	1
global	design	run_ifbvoc	0
global	design	run_run_landcover	0
global	design	run_run_urban	0
global	design	run_run_crop	1
global	design	run_run_forest	0
global	design	run_run_pasture	0
global	design	run_run_natural	0
global	design	run_run_peatland	1
global	design	run_lcfrac_fixed	0
global	design	run_lc_fixed_urban	0
global	design	run_lc_fixed_cropland	50
global	design	run_lc_fixed_pasture	0
global	design	run_lc_fixed_forest	0
global	design	run_lc_fixed_natural	25
global	design	run_lc_fixed_peatland	25
global	design	run_equal_landcover_area	0
global	parameter	common_lambda_max	0.8
global	parameter	common_emax	5
global	parameter	common_reprfrac	0.1
global	parameter	common_wscal_min	0.35
global	parameter	common_drought_tolerance	0.0001
global	parameter	common_landcover	natural
global	parameter	common_turnover_harv_prod	1
global	parameter	tree_crownarea_max	50
global	parameter	tree_ltor_max	1
global	parameter	tree_turnover_root	0.7
global	parameter	tree_rootdist	0.6 0.4
global	parameter	tree_k_allom2	60
global	parameter	tree_k_allom3	0.67
global	parameter	tree_k_rp	1.6
global	parameter	tree_wooddens	200
global	parameter	tree_cton_root	29
global	parameter	tree_cton_sap	330
global	parameter	tree_nuptoroot	0.0028
global	parameter	tree_km_volume	0.000001477
global	parameter	tree_respcoeff	1
global	parameter	tree_kest_repr	200
global	parameter	tree_kest_bg	0.1
global	parameter	tree_kest_pres	1
global	parameter	tree_k_chilla	0
global	parameter	tree_k_chillb	100
global	parameter	tree_k_chillk	0.05
global	parameter	tree_litterme	0.3
global	parameter	tree_harv_eff	0.7
global	parameter	tree_res_outtake	0.75
global	parameter	tree_harvest_slow_frac	0.33
global	parameter	tree_turnover_harv_prod	0.04
global	parameter	shrub_crownarea_max	10
global	parameter	shrub_ltor_max	1
global	parameter	shrub_k_allom1	100
global	parameter	shrub_k_allom2	5
global	parameter	shrub_k_allom3	0.67
global	parameter	shrub_k_rp	1.6
global	parameter	shrub_wooddens	250
global	parameter	shrub_cton_leaf_min	16
global	parameter	shrub_cton_root	29
global	parameter	shrub_cton_sap	330
global	parameter	shrub_nuptoroot	0.0028
global	parameter	shrub_km_volume	0.000001477
global	parameter	shrub_fnstorage	0.3
global	parameter	shrub_kest_repr	200
global	parameter	shrub_kest_bg	0.1
global	parameter	shrub_kest_pres	1
global	parameter	shrub_litterme	0.3
global	parameter	shrub_rootdist	0.6 0.4
global	parameter	shrub_longevity	100
global	parameter	grass_ltor_max	0.5
global	parameter	grass_rootdist	0.9 0.1
global	parameter	grass_gmin	0.5
global	parameter	grass_phengdd5ramp	100
global	parameter	grass_leaflong	0.5
global	parameter	grass_turnover_leaf	1
global	parameter	grass_turnover_root	0.7
global	parameter	grass_cton_leaf_min	16
global	parameter	grass_cton_root	29
global	parameter	grass_nuptoroot	0.00551
global	parameter	grass_km_volume	0.000001876
global	parameter	grass_fnstorage	0.3
global	parameter	grass_litterme	0.2
global	parameter	grass_parff_min	1000000
global	parameter	grass_fireresist	0.5
global	parameter	grass_intc	0.01
global	parameter	grass_ga	0.03
global	parameter	broadleaf_cton_leaf_min	16
global	parameter	broadleaf_k_allom1	250
global	parameter	broadleaf_k_latosa	6000
global	parameter	broadleaf_gmin	0.5
global	parameter	broadleaf_intc	0.02
global	parameter	broadleaf_ga	0.04
global	parameter	needleleaf_cton_leaf_min	28
global	parameter	needleleaf_k_allom1	150
global	parameter	needleleaf_k_latosa	5000
global	parameter	needleleaf_gmin	0.3
global	parameter	needleleaf_intc	0.06
global	parameter	needleleaf_ga	0.14
global	parameter	evergreen_fnstorage	0.05
global	parameter	evergreen_phengdd5ramp	0
global	parameter	summergreen_fnstorage	0.15
global	parameter	summergreen_phengdd5ramp	200
global	parameter	summergreen_leaflong	0.5
global	parameter	summergreen_turnover_leaf	1
global	parameter	boreal_pstemp_min	-4
global	parameter	boreal_pstemp_low	10
global	parameter	boreal_pstemp_high	25
global	parameter	boreal_pstemp_max	38
global	parameter	boreal_respcoeff	1
global	parameter	temperate_pstemp_min	-2
global	parameter	temperate_pstemp_low	15
global	parameter	temperate_pstemp_high	25
global	parameter	temperate_pstemp_max	38
global	parameter	temperate_respcoeff	1
global	parameter	tropical_tcmin_surv	15.5
global	parameter	tropical_tcmin_est	15.5
global	parameter	tropical_tcmax_est	1000
global	parameter	tropical_twmin_est	-1000
global	parameter	tropical_gdd5min_est	0
global	parameter	tropical_pstemp_min	2
global	parameter	tropical_pstemp_low	25
global	parameter	tropical_pstemp_high	30
global	parameter	tropical_pstemp_max	55
global	parameter	tropical_respcoeff	0.15
global	parameter	ShTol_est_max	0.05
global	parameter	ShTol_parff_min	350000
global	parameter	ShTol_alphar	3
global	parameter	ShTol_greff_min	0.04
global	parameter	ShTol_turnover_sap	0.05
global	parameter	IntShTol_est_max	0.15
global	parameter	IntShTol_parff_min	2000000
global	parameter	IntShTol_alphar	7
global	parameter	IntShTol_greff_min	0.06
global	parameter	IntShTol_turnover_sap	0.075
global	parameter	ShIntol_est_max	0.2
global	parameter	ShIntol_parff_min	2500000
global	parameter	ShIntol_alphar	10
global	parameter	ShIntol_greff_min	0.08
global	parameter	ShIntol_turnover_sap	0.1
global	parameter	BNE_include	1
global	parameter	BNE_leaflong	3
global	parameter	BNE_turnover_leaf	0.33
global	parameter	BNE_tcmin_surv	-31
global	parameter	BNE_tcmin_est	-30
global	parameter	BNE_tcmax_est	-1
global	parameter	BNE_twmin_est	5
global	parameter	BNE_gdd5min_est	500
global	parameter	BNE_longevity	500
global	parameter	BNE_fireresist	0.3
global	parameter	BNE_eps_iso	8
global	parameter	BNE_seas_iso	0
global	parameter	BNE_eps_mon	4.8
global	parameter	BNE_storfrac_mon	0.5
global	parameter	BINE_include	1
global	parameter	BINE_leaflong	3
global	parameter	BINE_turnover_leaf	0.33
global	parameter	BINE_tcmin_surv	-31
global	parameter	BINE_tcmin_est	-30
global	parameter	BINE_tcmax_est	-1
global	parameter	BINE_twmin_est	5
global	parameter	BINE_gdd5min_est	500
global	parameter	BINE_longevity	500
global	parameter	BINE_fireresist	0.3
global	parameter	BINE_eps_iso	8
global	parameter	BINE_seas_iso	0
global	parameter	BINE_eps_mon	4.8
global	parameter	BINE_storfrac_mon	0.5
global	parameter	BNS_include	1
global	parameter	BNS_tcmin_surv	-1000
global	parameter	BNS_tcmin_est	-1000
global	parameter	BNS_tcmax_est	-2
global	parameter	BNS_twmin_est	-1000
global	parameter	BNS_twminusc	43
global	parameter	BNS_gdd5min_est	350
global	parameter	BNS_phengdd5ramp	100
global	parameter	BNS_longevity	300
global	parameter	BNS_fireresist	0.3
global	parameter	BNS_eps_iso	8
global	parameter	BNS_seas_iso	1
global	parameter	BNS_eps_mon	4.8
global	parameter	BNS_storfrac_mon	0.5
global	parameter	TeNE_include	1
global	parameter	TeNE_leaflong	3
global	parameter	TeNE_turnover_leaf	0.33
global	parameter	TeNE_tcmin_surv	-2
global	parameter	TeNE_tcmin_est	-2
global	parameter	TeNE_tcmax_est	10
global	parameter	TeNE_twmin_est	5
global	parameter	TeNE_gdd5min_est	2000
global	parameter	TeNE_longevity	300
global	parameter	TeNE_fireresist	0.3
global	parameter	TeNE_eps_iso	8
global	parameter	TeNE_seas_iso	0
global	parameter	TeNE_eps_mon	4.8
global	parameter	TeNE_storfrac_mon	0.5
global	parameter	TeBS_include	1
global	parameter	TeBS_tcmin_surv	-14
global	parameter	TeBS_tcmin_est	-13
global	parameter	TeBS_tcmax_est	6
global	parameter	TeBS_twmin_est	5
global	parameter	TeBS_gdd5min_est	1100
