PFT	LPJ_Parameter_name	Rlpj_Parameter_name	Default_value
all	lambda_max	run_lamda_max	0.8
all	emax	run_emax	5
all	reprfrac	run_reprfrac	0.1
all	wscal_min	run_wscal_min	0.35
all	drought_tolerance	run_drought_tolerance	0.0001
all	turnover_harv_prod	run_turnover_harv_prod	1
tree	crownarea_max	tree_crownarea_max	50
tree	ltor_max	tree_ltor_max	1
tree	turnover_root	tree_turnover_root	0.7
tree	k_allom2	tree_k_allom2	60
tree	k_allom3	tree_k_allom3	0.67
tree	k_rp	tree_k_rp	1.6
tree	wooddens	tree_wooddens	200
tree	cton_root	tree_cton_root	29
tree	cton_sap	tree_cton_sap	330
tree	nuptoroot	tree_nuptoroot	0.0028
tree	km_volume	tree_km_volume	0.000001477
tree	respcoeff	tree_respcoeff	1.0
tree	kest_repr	tree_kest_repr	200
tree	kest_bg	tree_kest_bg	0.1
tree	kest_pres	tree_kest_pres	1
tree	k_chilla	tree_k_chilla	0
tree	k_chillb	tree_k_chillb	100
tree	k_chillk	tree_k_chillk	0.05
tree	litterme	tree_litterme	0.3
tree	harv_eff	tree_harv_eff	0.7
tree	res_outtake	tree_res_outtake	0.75
tree	harvest_slow_frac	tree_harvest_slow_frac	0.33
tree	turnover_harv_prod	tree_turnover_harv_prod	0.04
shrub	crownarea_max	shrub_crownarea_max	10
shrub	ltor_max	shrub_ltor_max	1
shrub	k_allom1	shrub_k_allom1	100
shrub	k_allom2	shrub_k_allom2	5
shrub	k_allom3	shrub_k_allom3	0.67
shrub	k_rp	shrub_k_rp	1.6
shrub	wooddens	shrub_wooddens	250
shrub	cton_leaf_min	shrub_cton_leaf_min	16
shrub	cton_root	shrub_cton_root	29
shrub	cton_sap	shrub_cton_sap	330
shrub	nuptoroot	shrub_nuptoroot	0.0028
shrub	km_volume	shrub_km_volume	0.000001477
shrub	fnstorage	shrub_fnstorage	0.3
shrub	kest_repr	shrub_kest_repr	200
shrub	kest_bg	shrub_kest_bg	0.1
shrub	kest_pres	shrub_kest_pres	1
shrub	litterme	shrub_litterme	0.3
shrub	longevity	shrub_longevity	100
grass	ltor_max	grass_ltor_max	0.5
grass	gmin	grass_gmin	0.5
grass	phengdd5ramp	grass_phengdd5ramp	100
grass	leaflong	grass_leaflong	0.5
grass	turnover_leaf	grass_turnover_leaf	1
grass	turnover_root	grass_turnover_root	0.7
grass	cton_leaf_min	grass_cton_leaf_min	16
grass	cton_root	grass_cton_root	29
grass	nuptoroot	grass_nuptoroot	0.00551
grass	km_volume	grass_km_volume	0.000001876
grass	fnstorage	grass_fnstorage	0.3
grass	litterme	grass_litterme	0.2
grass	parff_min	grass_parff_min	1000000
grass	fireresist	grass_fireresist	0.5
grass	intc	grass_intc	0.01
grass	ga	grass_ga	0.030
broadleaf	cton_leaf_min	broadleaf_cton_leaf_min	16
broadleaf	k_allom1	broadleaf_k_allom1	250
broadleaf	k_latosa	broadleaf_k_latosa	6000
broadleaf	gmin	broadleaf_gmin	0.5
broadleaf	intc	broadleaf_intc	0.02
broadleaf	ga	broadleaf_ga	0.040
needleleaved	cton_leaf_min	needleleaved_cton_leaf_min	28
needleleaved	k_allom1	needleleaved_k_allom1	150
