      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980   0.000   0.000   0.000   0.077   0.000   0.000   0.000   0.000   0.000   0.003   0.000   0.080
     8.50    50.00    1981   0.000   0.000   0.000   0.075   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.078
     8.50    50.00    1982   0.000   0.000   0.000   0.085   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.087
     8.50    50.00    1983   0.000   0.000   0.000   0.087   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.088
     8.50    50.00    1984   0.000   0.000   0.000   0.063   0.000   0.000   0.000   0.000   0.000  -0.000   0.000   0.063
     8.50    50.00    1985   0.000   0.000   0.000   0.097   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.098
     8.50    50.00    1986   0.000   0.000   0.000   0.093   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.093
     8.50    50.00    1987   0.000   0.000   0.000   0.087   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.088
     8.50    50.00    1988   0.000   0.000   0.000   0.091   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.091
     8.50    50.00    1989   0.000   0.000   0.000   0.112   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.112
     8.50    50.00    1990   0.000   0.000   0.000   0.127   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.127
     8.50    50.00    1991   0.000   0.000   0.000   0.130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.130
     8.50    50.00    1992   0.000   0.000   0.000   0.122   0.000   0.000   0.000   0.000   0.000  -0.001   0.000   0.121
     8.50    50.00    1993   0.000   0.000   0.000   0.135   0.000   0.000   0.000   0.000   0.000  -0.000   0.000   0.135
     8.50    50.00    1994   0.000   0.000   0.000   0.125   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.125
     8.50    50.00    1995   0.000   0.000   0.000   0.109   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.109
     8.50    50.00    1996   0.000   0.000   0.000   0.116   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.116
     8.50    50.00    1997   0.000   0.000   0.000   0.140   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.140
     8.50    50.00    1998   0.000   0.000   0.000   0.095   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.095
     8.50    50.00    1999   0.000   0.000   0.000   0.131   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.131
     8.50    50.00    2000   0.000   0.000   0.000   0.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.118
     8.50    50.00    2001   0.000   0.000   0.000   0.108   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.108
     8.50    50.00    2002   0.000   0.000   0.000   0.107   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.107
     8.50    50.00    2003   0.000   0.000   0.000   0.143   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.143
     8.50    50.00    2004   0.000   0.000   0.000   0.132   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.132
     8.50    50.00    2005   0.000   0.000   0.000   0.142   0.000   0.000   0.000   0.000   0.000  -0.001   0.000   0.141
     8.50    50.00    2006   0.000   0.000   0.000   0.111   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.111
     8.50    50.00    2007   0.000   0.000   0.000   0.128   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.128
     8.50    50.00    2008   0.000   0.000   0.000   0.093   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.098
     8.50    50.00    2009   0.000   0.000   0.000   0.121   0.000   0.001   0.000   0.000   0.000   0.005   0.000   0.127
     8.50    50.00    2010   0.000   0.000   0.000   0.126   0.000   0.001   0.000   0.000   0.000   0.006   0.000   0.133
     8.50    50.00    2011   0.000   0.000   0.000   0.145   0.000   0.001   0.000   0.000   0.000   0.008   0.000   0.154
     8.50    50.00    2012   0.000   0.000   0.000   0.138   0.000   0.001   0.000   0.000   0.000   0.005   0.000   0.144
