      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980    0.00    0.00    0.00   37.52    0.00    0.00    0.00    0.00    0.00    2.99    0.00   40.51
     8.50    50.00    1981    0.00    0.00    0.00   38.04    0.00    0.00    0.00    0.00    0.00    2.16    0.00   40.20
     8.50    50.00    1982    0.00    0.00    0.00   44.14    0.00    0.00    0.00    0.00    0.00    1.79    0.00   45.94
     8.50    50.00    1983    0.00    0.00    0.00   42.01    0.00    0.00    0.00    0.00    0.00    1.56    0.00   43.58
     8.50    50.00    1984    0.00    0.00    0.00   33.96    0.00    0.00    0.00    0.00    0.00    1.05    0.00   35.01
     8.50    50.00    1985    0.00    0.00    0.00   42.98    0.00    0.00    0.00    0.00    0.00    0.69    0.00   43.68
     8.50    50.00    1986    0.00    0.00    0.00   41.95    0.00    0.00    0.00    0.00    0.00    0.54    0.00   42.49
     8.50    50.00    1987    0.00    0.00    0.00   39.40    0.00    0.00    0.00    0.00    0.00    0.36    0.00   39.76
     8.50    50.00    1988    0.00    0.00    0.00   44.09    0.00    0.00    0.00    0.00    0.00    0.20    0.00   44.29
     8.50    50.00    1989    0.00    0.00    0.00   50.40    0.00    0.00    0.00    0.00    0.00    0.11    0.00   50.51
     8.50    50.00    1990    0.00    0.00    0.00   55.88    0.00    0.00    0.00    0.00    0.00    0.07    0.00   55.95
     8.50    50.00    1991    0.00    0.00    0.00   56.84    0.00    0.00    0.00    0.00    0.00    0.05    0.00   56.89
     8.50    50.00    1992    0.00    0.00    0.00   58.55    0.00    0.00    0.00    0.00    0.00    1.89    0.00   60.45
     8.50    50.00    1993    0.00    0.00    0.00   61.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.50
     8.50    50.00    1994    0.00    0.00    0.00   61.64    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.64
     8.50    50.00    1995    0.00    0.00    0.00   58.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00   58.56
     8.50    50.00    1996    0.00    0.00    0.00   54.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00   54.77
     8.50    50.00    1997    0.00    0.00    0.00   64.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00   64.43
     8.50    50.00    1998    0.00    0.00    0.00   52.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00   52.84
     8.50    50.00    1999    0.00    0.00    0.00   62.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.46
     8.50    50.00    2000    0.00    0.00    0.00   57.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00   57.78
     8.50    50.00    2001    0.00    0.00    0.00   53.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00   53.84
     8.50    50.00    2002    0.00    0.00    0.00   54.35    0.00    0.01    0.00    0.00    0.00    0.00    0.00   54.35
     8.50    50.00    2003    0.00    0.00    0.00   71.31    0.00    0.01    0.00    0.00    0.00    0.00    0.00   71.32
     8.50    50.00    2004    0.00    0.00    0.00   55.36    0.00    0.00    0.00    0.00    0.00    0.00    0.00   55.36
     8.50    50.00    2005    0.00    0.00    0.00   51.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00   51.17
     8.50    50.00    2006    0.00    0.00    0.00   53.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00   53.65
     8.50    50.00    2007    0.00    0.00    0.00   56.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.93
     8.50    50.00    2008    0.00    0.00    0.00   46.39    0.00    0.13    0.00    0.00    0.00    4.65    0.00   51.17
     8.50    50.00    2009    0.00    0.00    0.00   55.62    0.00    0.17    0.00    0.00    0.00    3.85    0.00   59.64
     8.50    50.00    2010    0.00    0.00    0.00   56.68    0.00    0.20    0.00    0.00    0.00    3.64    0.00   60.52
     8.50    50.00    2011    0.00    0.00    0.00   63.49    0.00    0.27    0.00    0.00    0.00    4.45    0.00   68.21
     8.50    50.00    2012    0.00    0.00    0.00   61.35    0.00    0.29    0.00    0.00    0.00    4.69    0.00   66.33
