      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980   0.000   0.000   0.000   0.074   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.080
     8.50    50.00    1981   0.000   0.000   0.000   0.077   0.000   0.000   0.000   0.000   0.000   0.004   0.000   0.081
     8.50    50.00    1982   0.000   0.000   0.000   0.070   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.073
     8.50    50.00    1983   0.000   0.000   0.000   0.071   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.073
     8.50    50.00    1984   0.000   0.000   0.000   0.073   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.078
     8.50    50.00    1985   0.000   0.000   0.000   0.074   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.075
     8.50    50.00    1986   0.000   0.000   0.000   0.073   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.073
     8.50    50.00    1987   0.000   0.000   0.000   0.074   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.074
     8.50    50.00    1988   0.000   0.000   0.000   0.078   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.079
     8.50    50.00    1989   0.000   0.000   0.000   0.074   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.074
     8.50    50.00    1990   0.000   0.000   0.000   0.083   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.083
     8.50    50.00    1991   0.000   0.000   0.000   0.090   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.090
     8.50    50.00    1992   0.000   0.000   0.000   0.096   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.101
     8.50    50.00    1993   0.000   0.000   0.000   0.097   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.097
     8.50    50.00    1994   0.000   0.000   0.000   0.102   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.102
     8.50    50.00    1995   0.000   0.000   0.000   0.107   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.107
     8.50    50.00    1996   0.000   0.000   0.000   0.104   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.104
     8.50    50.00    1997   0.000   0.000   0.000   0.099   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.099
     8.50    50.00    1998   0.000   0.000   0.000   0.106   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.106
     8.50    50.00    1999   0.000   0.000   0.000   0.104   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.104
     8.50    50.00    2000   0.000   0.000   0.000   0.101   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.101
     8.50    50.00    2001   0.000   0.000   0.000   0.105   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.105
     8.50    50.00    2002   0.000   0.000   0.000   0.101   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.101
     8.50    50.00    2003   0.000   0.000   0.000   0.097   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.097
     8.50    50.00    2004   0.000   0.000   0.000   0.104   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.104
     8.50    50.00    2005   0.000   0.000   0.000   0.319   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.324
     8.50    50.00    2006   0.000   0.000   0.000   0.086   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.086
     8.50    50.00    2007   0.000   0.000   0.000   0.087   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.087
     8.50    50.00    2008   0.000   0.000   0.000   0.094   0.000   0.000   0.000   0.000   0.000   0.008   0.000   0.103
     8.50    50.00    2009   0.000   0.000   0.000   0.086   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.092
     8.50    50.00    2010   0.000   0.000   0.000   0.092   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.098
     8.50    50.00    2011   0.000   0.000   0.000   0.097   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.103
     8.50    50.00    2012   0.000   0.000   0.000   0.101   0.000   0.001   0.000   0.000   0.000   0.007   0.000   0.108
