      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980   0.000   0.000   0.000   0.353   0.000   0.000   0.000   0.000   0.000   0.019   0.000   0.372
     8.50    50.00    1981   0.000   0.000   0.000   0.343   0.000   0.000   0.000   0.000   0.000   0.013   0.000   0.356
     8.50    50.00    1982   0.000   0.000   0.000   0.346   0.000   0.000   0.000   0.000   0.000   0.011   0.000   0.357
     8.50    50.00    1983   0.000   0.000   0.000   0.345   0.000   0.000   0.000   0.000   0.000   0.025   0.000   0.370
     8.50    50.00    1984   0.000   0.000   0.000   0.341   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.346
     8.50    50.00    1985   0.000   0.000   0.000   0.356   0.000   0.000   0.000   0.000   0.000   0.004   0.000   0.360
     8.50    50.00    1986   0.000   0.000   0.000   0.363   0.000   0.000   0.000   0.000   0.000   0.003   0.000   0.366
     8.50    50.00    1987   0.000   0.000   0.000   0.366   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.367
     8.50    50.00    1988   0.000   0.000   0.000   0.367   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.368
     8.50    50.00    1989   0.000   0.000   0.000   0.396   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.396
     8.50    50.00    1990   0.000   0.000   0.000   0.424   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.424
     8.50    50.00    1991   0.000   0.000   0.000   0.445   0.000   0.000   0.000   0.000   0.000   0.028   0.000   0.474
     8.50    50.00    1992   0.000   0.000   0.000   0.459   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.460
     8.50    50.00    1993   0.000   0.000   0.000   0.475   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.475
     8.50    50.00    1994   0.000   0.000   0.000   0.482   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.482
     8.50    50.00    1995   0.000   0.000   0.000   0.470   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.470
     8.50    50.00    1996   0.000   0.000   0.000   0.468   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.468
     8.50    50.00    1997   0.000   0.000   0.000   0.488   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.488
     8.50    50.00    1998   0.000   0.000   0.000   0.464   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.464
     8.50    50.00    1999   0.000   0.000   0.000   0.473   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.473
     8.50    50.00    2000   0.000   0.000   0.000   0.473   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.473
     8.50    50.00    2001   0.000   0.000   0.000   0.460   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.460
     8.50    50.00    2002   0.000   0.000   0.000   0.454   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.454
     8.50    50.00    2003   0.000   0.000   0.000   0.481   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.481
     8.50    50.00    2004   0.000   0.000   0.000   0.490   0.000   0.000   0.000   0.000   0.000   0.023   0.000   0.513
     8.50    50.00    2005   0.000   0.000   0.000   0.402   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.402
     8.50    50.00    2006   0.000   0.000   0.000   0.410   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.410
     8.50    50.00    2007   0.000   0.000   0.000   0.433   0.000   0.001   0.000   0.000   0.000   0.040   0.000   0.473
     8.50    50.00    2008   0.000   0.000   0.000   0.417   0.000   0.001   0.000   0.000   0.000   0.027   0.000   0.445
     8.50    50.00    2009   0.000   0.000   0.000   0.431   0.000   0.001   0.000   0.000   0.000   0.025   0.000   0.457
     8.50    50.00    2010   0.000   0.000   0.000   0.443   0.000   0.002   0.000   0.000   0.000   0.027   0.000   0.471
     8.50    50.00    2011   0.000   0.000   0.000   0.466   0.000   0.002   0.000   0.000   0.000   0.033   0.000   0.501
     8.50    50.00    2012   0.000   0.000   0.000   0.498   0.000   0.003   0.000   0.000   0.000   0.024   0.000   0.525
