      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
     8.50    50.00    1980  -18.26   -0.00   -0.00    0.30   16.87   -1.08
     8.50    50.00    1981  -18.26   -0.00   -0.00    0.29   20.68    2.72
     8.50    50.00    1982  -18.26   -0.00   -0.00    0.36   20.39    2.50
     8.50    50.00    1983  -18.26   -0.01   -0.00    0.33   18.82    0.88
     8.50    50.00    1984  -18.26   -0.00   -0.00    0.31   18.91    0.96
     8.50    50.00    1985  -18.26   -0.00   -0.00    0.32   15.54   -2.40
     8.50    50.00    1986  -18.26   -0.00   -0.00    0.33   23.71    5.78
     8.50    50.00    1987  -18.26   -0.00   -0.00    0.27   17.28   -0.71
     8.50    50.00    1988  -18.26   -0.00   -0.00    0.34   18.95    1.03
     8.50    50.00    1989  -18.26   -0.00   -0.00    0.33   18.33    0.41
     8.50    50.00    1990  -20.16   -0.00   -0.00    0.36   19.35   -0.45
     8.50    50.00    1991  -20.16   -0.05   -0.00    0.32   11.87   -8.01
     8.50    50.00    1992  -20.16   -0.00   -0.00    0.39   16.82   -2.95
     8.50    50.00    1993  -20.16   -0.00   -0.00    0.37   15.52   -4.27
     8.50    50.00    1994  -20.16   -0.00   -0.00    0.39   17.39   -2.38
     8.50    50.00    1995  -20.16   -0.03   -0.00    0.34   17.53   -2.31
     8.50    50.00    1996  -20.16   -0.00   -0.00    0.31   13.84   -6.01
     8.50    50.00    1997  -20.16   -0.00   -0.00    0.39   15.20   -4.57
     8.50    50.00    1998  -20.16   -0.01   -0.00    0.37   21.49    1.70
     8.50    50.00    1999  -20.16   -0.00   -0.00    0.36   18.14   -1.65
     8.50    50.00    2000  -21.90   -0.01   -0.00    0.39   21.08   -0.44
     8.50    50.00    2001  -21.90   -0.00   -0.00    0.35   23.41    1.86
     8.50    50.00    2002  -21.90   -0.00   -0.00    0.35   19.97   -1.57
     8.50    50.00    2003  -21.90   -0.00   -0.00    0.47   15.12   -6.31
     8.50    50.00    2004  -21.90   -0.01   -0.00    0.34   15.15   -6.41
     8.50    50.00    2005  -21.90   -0.00   -0.00    0.46   14.37   -7.07
     8.50    50.00    2006  -21.90   -0.00   -0.00    0.44   23.83    2.37
     8.50    50.00    2007  -21.90   -0.01   -0.00    0.40   21.34   -0.17
     8.50    50.00    2008  -21.90   -0.01   -0.00    0.40   22.11    0.61
     8.50    50.00    2009  -21.90   -0.01   -0.00    0.35   21.28   -0.27
     8.50    50.00    2010  -20.81   -0.00   -0.00    0.36   18.69   -1.76
     8.50    50.00    2011  -20.81   -0.03   -0.00    0.41   17.30   -3.13
     8.50    50.00    2012  -20.81   -0.00   -0.00    0.37   13.13   -7.32
