      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
     8.50    50.00    1980   18.26    0.00    0.00   18.26  44.91  19.30  25.61  43.87
     8.50    50.00    1981   18.26    0.00    0.00   18.26  46.61  21.93  24.68  42.93
     8.50    50.00    1982   18.26    0.00    0.00   18.26  55.43  23.76  31.67  49.92
     8.50    50.00    1983   18.26    0.01    0.00   18.26  49.78  21.29  28.49  46.75
     8.50    50.00    1984   18.26    0.00    0.00   18.26  43.59  17.41  26.19  44.44
     8.50    50.00    1985   18.26    0.00    0.00   18.26  47.09  20.05  27.03  45.29
     8.50    50.00    1986   18.26    0.00    0.00   18.26  48.18  19.56  28.62  46.88
     8.50    50.00    1987   18.26    0.00    0.00   18.26  41.31  19.14  22.17  40.42
     8.50    50.00    1988   18.26    0.00    0.00   18.26  51.91  22.19  29.73  47.98
     8.50    50.00    1989   18.26    0.00    0.00   18.26  50.93  21.89  29.05  47.30
     8.50    50.00    1990   20.16    0.00    0.00   20.16  54.71  22.49  32.21  52.37
     8.50    50.00    1991   20.16    0.05    0.00   20.20  49.41  22.43  26.98  47.18
     8.50    50.00    1992   20.16    0.00    0.00   20.16  54.62  20.40  34.22  54.38
     8.50    50.00    1993   20.16    0.00    0.00   20.16  56.96  25.24  31.72  51.88
     8.50    50.00    1994   20.16    0.00    0.00   20.16  59.88  25.28  34.60  54.76
     8.50    50.00    1995   20.16    0.03    0.00   20.18  55.40  26.17  29.23  49.42
     8.50    50.00    1996   20.16    0.00    0.00   20.16  50.67  25.43  25.24  45.40
     8.50    50.00    1997   20.16    0.00    0.00   20.16  59.42  25.90  33.52  53.68
     8.50    50.00    1998   20.16    0.01    0.00   20.16  57.37  24.98  32.39  52.56
     8.50    50.00    1999   20.16    0.00    0.00   20.16  59.60  28.91  30.69  50.85
     8.50    50.00    2000   21.90    0.01    0.00   21.91  59.02  25.22  33.80  55.71
     8.50    50.00    2001   21.90    0.00    0.00   21.90  56.85  26.91  29.94  51.84
     8.50    50.00    2002   21.90    0.00    0.00   21.90  57.57  27.95  29.62  51.52
     8.50    50.00    2003   21.90    0.00    0.00   21.90  72.76  30.51  42.25  64.14
     8.50    50.00    2004   21.90    0.01    0.00   21.90  51.98  23.09  28.89  50.79
     8.50    50.00    2005   21.90    0.00    0.00   21.90  62.02  21.19  40.83  62.72
     8.50    50.00    2006   21.90    0.00    0.00   21.90  65.57  29.89  35.68  57.58
     8.50    50.00    2007   21.90    0.01    0.00   21.91  59.21  25.59  33.62  55.53
     8.50    50.00    2008   21.90    0.01    0.00   21.90  58.86  24.46  34.40  56.30
     8.50    50.00    2009   21.90    0.01    0.00   21.90  57.50  28.77  28.73  50.63
     8.50    50.00    2010   20.81    0.00    0.00   20.81  55.10  24.75  30.35  51.16
     8.50    50.00    2011   20.81    0.03    0.00   20.84  63.53  28.33  35.20  56.04
     8.50    50.00    2012   20.81    0.00    0.00   20.81  57.75  26.76  30.99  51.80
