      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
     8.50    50.00    1980  -0.080   0.008   0.075   0.000  -0.000   0.00267
     8.50    50.00    1981  -0.078   0.008   0.083   0.000  -0.000   0.01311
     8.50    50.00    1982  -0.087   0.009   0.093   0.000  -0.000   0.01485
     8.50    50.00    1983  -0.088   0.009   0.083   0.000  -0.004   0.00021
     8.50    50.00    1984  -0.063   0.006   0.074   0.000  -0.008   0.00935
     8.50    50.00    1985  -0.098   0.010   0.080   0.000  -0.000  -0.00782
     8.50    50.00    1986  -0.093   0.009   0.079   0.000  -0.000  -0.00500
     8.50    50.00    1987  -0.088   0.009   0.072   0.000  -0.001  -0.00743
     8.50    50.00    1988  -0.091   0.009   0.087   0.000   0.000   0.00475
     8.50    50.00    1989  -0.112   0.011   0.085   0.000  -0.004  -0.01949
     8.50    50.00    1990  -0.127   0.013   0.089   0.000  -0.000  -0.02519
     8.50    50.00    1991  -0.130   0.013   0.086   0.000  -0.008  -0.03910
     8.50    50.00    1992  -0.121   0.012   0.091   0.000  -0.003  -0.02020
     8.50    50.00    1993  -0.135   0.013   0.099   0.000   0.000  -0.02201
     8.50    50.00    1994  -0.125   0.013   0.102   0.000  -0.003  -0.01314
     8.50    50.00    1995  -0.109   0.011   0.099   0.000  -0.000   0.00056
     8.50    50.00    1996  -0.116   0.012   0.093   0.000  -0.000  -0.01143
     8.50    50.00    1997  -0.140   0.014   0.102   0.000  -0.001  -0.02442
     8.50    50.00    1998  -0.095   0.009   0.098   0.000   0.000   0.01335
     8.50    50.00    1999  -0.131   0.013   0.106   0.000  -0.000  -0.01221
     8.50    50.00    2000  -0.118   0.012   0.100   0.000  -0.000  -0.00642
     8.50    50.00    2001  -0.108   0.011   0.100   0.000  -0.000   0.00320
     8.50    50.00    2002  -0.107   0.011   0.102   0.000  -0.001   0.00454
     8.50    50.00    2003  -0.143   0.014   0.118   0.000   0.000  -0.00958
     8.50    50.00    2004  -0.132   0.013   0.090   0.000  -0.006  -0.03533
     8.50    50.00    2005  -0.141   0.014   0.102   0.000  -0.000  -0.02505
     8.50    50.00    2006  -0.111   0.011   0.125   0.000   0.000   0.02553
     8.50    50.00    2007  -0.128   0.013   0.106   0.000  -0.013  -0.02191
     8.50    50.00    2008  -0.098   0.010   0.100   0.000   0.000   0.01191
     8.50    50.00    2009  -0.127   0.013   0.109   0.000  -0.000  -0.00520
     8.50    50.00    2010  -0.133   0.013   0.099   0.000  -0.000  -0.02017
     8.50    50.00    2011  -0.154   0.015   0.112   0.000   0.000  -0.02574
     8.50    50.00    2012  -0.144   0.014   0.104   0.000  -0.014  -0.03874
