      Lon      Lat    Year    VegC LitterC   SoilC     Total
     8.50    50.00    1980   0.721   0.450   2.305     3.476
     8.50    50.00    1981   0.710   0.446   2.307     3.463
     8.50    50.00    1982   0.716   0.429   2.303     3.448
     8.50    50.00    1983   0.727   0.422   2.299     3.448
     8.50    50.00    1984   0.714   0.426   2.299     3.439
     8.50    50.00    1985   0.727   0.420   2.299     3.446
     8.50    50.00    1986   0.738   0.416   2.298     3.451
     8.50    50.00    1987   0.744   0.417   2.298     3.459
     8.50    50.00    1988   0.748   0.411   2.295     3.454
     8.50    50.00    1989   0.778   0.403   2.292     3.474
     8.50    50.00    1990   0.810   0.402   2.287     3.499
     8.50    50.00    1991   0.845   0.407   2.286     3.538
     8.50    50.00    1992   0.855   0.417   2.286     3.558
     8.50    50.00    1993   0.879   0.413   2.288     3.580
     8.50    50.00    1994   0.892   0.413   2.288     3.593
     8.50    50.00    1995   0.883   0.419   2.291     3.593
     8.50    50.00    1996   0.885   0.423   2.296     3.604
     8.50    50.00    1997   0.912   0.418   2.298     3.629
     8.50    50.00    1998   0.892   0.423   2.300     3.615
     8.50    50.00    1999   0.907   0.419   2.301     3.627
     8.50    50.00    2000   0.913   0.418   2.303     3.634
     8.50    50.00    2001   0.905   0.421   2.305     3.631
     8.50    50.00    2002   0.902   0.419   2.305     3.626
     8.50    50.00    2003   0.933   0.404   2.299     3.636
     8.50    50.00    2004   0.954   0.416   2.301     3.671
     8.50    50.00    2005   0.758   0.637   2.302     3.696
     8.50    50.00    2006   0.771   0.588   2.312     3.670
     8.50    50.00    2007   0.812   0.568   2.312     3.692
     8.50    50.00    2008   0.798   0.569   2.313     3.681
     8.50    50.00    2009   0.821   0.548   2.317     3.686
     8.50    50.00    2010   0.843   0.543   2.320     3.706
     8.50    50.00    2011   0.878   0.534   2.320     3.732
     8.50    50.00    2012   0.913   0.534   2.323     3.770
