      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980  0.0000  0.0000  0.0000  0.2294  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2294
     8.50    50.00    1981  0.0000  0.0000  0.0000  0.2256  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2256
     8.50    50.00    1982  0.0000  0.0000  0.0000  0.2362  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2362
     8.50    50.00    1983  0.0000  0.0000  0.0000  0.2348  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2348
     8.50    50.00    1984  0.0000  0.0000  0.0000  0.2318  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2318
     8.50    50.00    1985  0.0000  0.0000  0.0000  0.2428  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2428
     8.50    50.00    1986  0.0000  0.0000  0.0000  0.2406  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2406
     8.50    50.00    1987  0.0000  0.0000  0.0000  0.2390  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2390
     8.50    50.00    1988  0.0000  0.0000  0.0000  0.2360  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2360
     8.50    50.00    1989  0.0000  0.0000  0.0000  0.2338  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2338
     8.50    50.00    1990  0.0000  0.0000  0.0000  0.2400  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2400
     8.50    50.00    1991  0.0000  0.0000  0.0000  0.2662  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2662
     8.50    50.00    1992  0.0000  0.0000  0.0000  0.2634  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2634
     8.50    50.00    1993  0.0000  0.0000  0.0000  0.3184  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3184
     8.50    50.00    1994  0.0000  0.0000  0.0000  0.3282  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3282
     8.50    50.00    1995  0.0000  0.0000  0.0000  0.3238  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3238
     8.50    50.00    1996  0.0000  0.0000  0.0000  0.3198  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3198
     8.50    50.00    1997  0.0000  0.0000  0.0000  0.3220  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3220
     8.50    50.00    1998  0.0000  0.0000  0.0000  0.3178  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3178
     8.50    50.00    1999  0.0000  0.0000  0.0000  0.3116  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3116
     8.50    50.00    2000  0.0000  0.0000  0.0000  0.3194  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3194
     8.50    50.00    2001  0.0000  0.0000  0.0000  0.3142  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3142
     8.50    50.00    2002  0.0000  0.0000  0.0000  0.3100  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3100
     8.50    50.00    2003  0.0000  0.0000  0.0000  0.3066  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3066
     8.50    50.00    2004  0.0000  0.0000  0.0000  0.3020  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3020
     8.50    50.00    2005  0.0000  0.0000  0.0000  0.2398  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2398
     8.50    50.00    2006  0.0000  0.0000  0.0000  0.2372  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2372
     8.50    50.00    2007  0.0000  0.0000  0.0000  0.3562  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3562
     8.50    50.00    2008  0.0000  0.0000  0.0000  0.3526  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3526
     8.50    50.00    2009  0.0000  0.0000  0.0000  0.3512  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3512
     8.50    50.00    2010  0.0000  0.0000  0.0000  0.3474  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3474
     8.50    50.00    2011  0.0000  0.0000  0.0000  0.3426  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3426
     8.50    50.00    2012  0.0000  0.0000  0.0000  0.3400  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3400
