      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980    0.00    0.00    0.00   21.97    0.00    0.00    0.00    0.00    0.00    2.04    0.00   24.01
     8.50    50.00    1981    0.00    0.00    0.00   21.76    0.00    0.00    0.00    0.00    0.00    0.98    0.00   22.74
     8.50    50.00    1982    0.00    0.00    0.00   23.59    0.00    0.00    0.00    0.00    0.00    0.72    0.00   24.32
     8.50    50.00    1983    0.00    0.00    0.00   22.23    0.00    0.00    0.00    0.00    0.00    8.86    0.00   31.09
     8.50    50.00    1984    0.00    0.00    0.00   25.37    0.00    0.00    0.00    0.00    0.00    0.69    0.00   26.06
     8.50    50.00    1985    0.00    0.00    0.00   24.84    0.00    0.00    0.00    0.00    0.00    0.12    0.00   24.96
     8.50    50.00    1986    0.00    0.00    0.00   25.22    0.00    0.00    0.00    0.00    0.00    0.27    0.00   25.49
     8.50    50.00    1987    0.00    0.00    0.00   25.50    0.00    0.00    0.00    0.00    0.00    0.17    0.00   25.67
     8.50    50.00    1988    0.00    0.00    0.00   25.40    0.00    0.00    0.00    0.00    0.00    0.04    0.00   25.43
     8.50    50.00    1989    0.00    0.00    0.00   28.21    0.00    0.00    0.00    0.00    0.00    0.02    0.00   28.23
     8.50    50.00    1990    0.00    0.00    0.00   29.30    0.00    0.00    0.00    0.00    0.00    0.02    0.00   29.32
     8.50    50.00    1991    0.00    0.00    0.00   33.13    0.00    0.00    0.00    0.00    0.00   10.07    0.00   43.19
     8.50    50.00    1992    0.00    0.00    0.00   35.00    0.00    0.00    0.00    0.00    0.00    0.30    0.00   35.30
     8.50    50.00    1993    0.00    0.00    0.00   34.48    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.48
     8.50    50.00    1994    0.00    0.00    0.00   34.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.91
     8.50    50.00    1995    0.00    0.00    0.00   32.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.06
     8.50    50.00    1996    0.00    0.00    0.00   33.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.60
     8.50    50.00    1997    0.00    0.00    0.00   35.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.43
     8.50    50.00    1998    0.00    0.00    0.00   31.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00   31.39
     8.50    50.00    1999    0.00    0.00    0.00   32.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.92
     8.50    50.00    2000    0.00    0.00    0.00   34.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.19
     8.50    50.00    2001    0.00    0.00    0.00   26.80    0.00    0.01    0.00    0.00    0.00    0.00    0.00   26.81
     8.50    50.00    2002    0.00    0.00    0.00   31.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00   31.59
     8.50    50.00    2003    0.00    0.00    0.00   36.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00   36.70
     8.50    50.00    2004    0.00    0.00    0.00   32.99    0.00    0.01    0.00    0.00    0.00   19.92    0.00   52.92
     8.50    50.00    2005    0.00    0.00    0.00   29.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.93
     8.50    50.00    2006    0.00    0.00    0.00   32.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.47
     8.50    50.00    2007    0.00    0.00    0.00   31.15    0.00    0.17    0.00    0.00    0.00    6.54    0.00   37.86
     8.50    50.00    2008    0.00    0.00    0.00   27.46    0.00    0.12    0.00    0.00    0.00    3.92    0.00   31.49
     8.50    50.00    2009    0.00    0.00    0.00   29.53    0.00    0.11    0.00    0.00    0.00    1.52    0.00   31.16
     8.50    50.00    2010    0.00    0.00    0.00   31.81    0.00    0.14    0.00    0.00    0.00    2.06    0.00   34.01
     8.50    50.00    2011    0.00    0.00    0.00   34.40    0.00    0.16    0.00    0.00    0.00    2.46    0.00   37.02
     8.50    50.00    2012    0.00    0.00    0.00   40.19    0.00    0.34    0.00    0.00    0.00    3.19    0.00   43.73
