      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.577   0.058   0.353   0.005   0.000  -0.16201
    10.45    51.08    1952  -0.543   0.054   0.366   0.027   0.000  -0.09572
    10.45    51.08    1953  -0.603   0.060   0.416   0.025   0.000  -0.10147
    10.45    51.08    1954  -0.525   0.052   0.338   0.016   0.000  -0.11749
    10.45    51.08    1955  -0.514   0.051   0.324   0.004   0.000  -0.13545
    10.45    51.08    1956   0.000  -0.000   0.560   0.012   0.000   0.57166
    10.45    51.08    1957   0.000  -0.000   0.500   0.011  -0.466   0.04506
    10.45    51.08    1958  -0.499   0.050   0.566   0.044  -0.007   0.15434
    10.45    51.08    1959  -0.509   0.051   0.761   0.093  -0.002   0.39436
    10.45    51.08    1960  -0.578   0.058   0.630   0.066   0.000   0.17676
    10.45    51.08    1961  -0.682   0.069   0.663   0.075   0.000   0.12436
    10.45    51.08    1962  -0.684   0.068   0.548   0.075   0.000   0.00730
    10.45    51.08    1963  -0.732   0.073   0.541   0.031   0.000  -0.08756
    10.45    51.08    1964  -0.697   0.070   0.634   0.070   0.000   0.07625
    10.45    51.08    1965  -0.700   0.070   0.539   0.053   0.000  -0.03866
    10.45    51.08    1966  -0.743   0.074   0.567   0.031   0.000  -0.07006
    10.45    51.08    1967  -0.709   0.071   0.648   0.053   0.000   0.06323
    10.45    51.08    1968  -0.624   0.062   0.621   0.061   0.000   0.12159
    10.45    51.08    1969  -0.654   0.065   0.555   0.041   0.000   0.00768
    10.45    51.08    1970  -0.642   0.064   0.549   0.045   0.000   0.01566
    10.45    51.08    1971  -0.453   0.045   0.637   0.058   0.000   0.28728
    10.45    51.08    1972  -0.668   0.067   0.472   0.007   0.000  -0.12330
    10.45    51.08    1973  -0.450   0.045   0.594   0.054   0.000   0.24404
    10.45    51.08    1974  -0.692   0.069   0.531   0.013   0.000  -0.07864
    10.45    51.08    1975  -0.615   0.061   0.604   0.046   0.000   0.09630
    10.45    51.08    1976  -0.368   0.037   0.576   0.054   0.000   0.29866
    10.45    51.08    1977  -0.637   0.064   0.428   0.022   0.000  -0.12345
    10.45    51.08    1978  -0.643   0.064   0.504   0.042   0.000  -0.03298
    10.45    51.08    1979  -0.608   0.061   0.509   0.041   0.000   0.00273
    10.45    51.08    1980  -0.602   0.060   0.491   0.047   0.000  -0.00412
    10.45    51.08    1981  -0.672   0.067   0.443   0.008   0.000  -0.15329
    10.45    51.08    1982  -0.365   0.036   0.590   0.049   0.000   0.31055
    10.45    51.08    1983  -0.579   0.058   0.531   0.047   0.000   0.05628
    10.45    51.08    1984  -0.567   0.057   0.373   0.005   0.000  -0.13218
    10.45    51.08    1985  -0.608   0.061   0.513   0.055   0.000   0.02161
    10.45    51.08    1986  -0.643   0.064   0.445   0.033   0.000  -0.10095
    10.45    51.08    1987  -0.649   0.065   0.360   0.005   0.000  -0.21938
    10.45    51.08    1988  -0.548   0.055   0.530   0.048   0.000   0.08463
    10.45    51.08    1989  -0.512   0.051   0.529   0.040   0.000   0.10746
    10.45    51.08    1990  -0.652   0.065   0.495   0.038   0.000  -0.05453
    10.45    51.08    1991  -0.464   0.046   0.476   0.043   0.000   0.10173
    10.45    51.08    1992  -0.522   0.052   0.479   0.034   0.000   0.04307
    10.45    51.08    1993  -0.671   0.067   0.378   0.018   0.000  -0.20777
    10.45    51.08    1994   0.000  -0.000   0.719   0.009   0.000   0.72751
    10.45    51.08    1995   0.000  -0.000   0.455   0.009  -0.478  -0.01366
    10.45    51.08    1996  -0.443   0.044   0.388   0.008  -0.006  -0.00767
    10.45    51.08    1997  -0.542   0.054   0.652   0.066  -0.001   0.22899
    10.45    51.08    1998  -0.572   0.060   0.631   0.050  -0.000   0.16800
    10.45    51.08    1999  -0.744   0.074   0.619   0.009   0.000  -0.04043
    10.45    51.08    2000  -0.768   0.077   0.601   0.052   0.000  -0.03823
    10.45    51.08    2001  -0.766   0.077   0.555   0.033   0.000  -0.10113
    10.45    51.08    2002  -0.721   0.072   0.503   0.006   0.000  -0.13935
    10.45    51.08    2003  -0.633   0.063   0.698   0.052   0.000   0.18008
    10.45    51.08    2004  -0.635   0.063   0.607   0.050   0.000   0.08663
    10.45    51.08    2005  -0.705   0.071   0.659   0.049   0.000   0.07270
    10.45    51.08    2006  -0.689   0.069   0.659   0.044   0.000   0.08213
    10.45    51.08    2007  -0.811   0.081   0.555   0.023   0.000  -0.15107
    10.45    51.08    2008  -0.613   0.061   0.622   0.045   0.000   0.11536
    10.45    51.08    2009  -0.636   0.064   0.590   0.038   0.000   0.05576
    10.45    51.08    2010  -0.711   0.071   0.485   0.025   0.000  -0.13028
    10.45    51.08    2011  -0.681   0.068   0.639   0.047   0.000   0.07356
    10.45    51.08    2012  -0.581   0.058   0.601   0.040   0.000   0.11827
