      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.089   0.361   1.685   9.823   2.120   3.993   2.256   1.049   1.108   0.000
    10.45    51.08    1952   0.000   0.000   0.172   1.231   3.932   1.977   0.970   2.353   6.615   3.528   2.487   0.000
    10.45    51.08    1953   0.000   0.000   0.029   0.634   2.654   5.184   2.685   2.234   1.057   1.637   0.000   0.000
    10.45    51.08    1954   0.000   0.000   0.027   0.624   1.140   2.318   5.687   3.784   2.215   2.431   0.705   0.000
    10.45    51.08    1955   0.000   0.000   0.014   0.455   1.746   2.885   5.525   2.738   2.228   1.461   0.118   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1958   0.074   0.465   0.728   0.658   2.757   3.001   2.340   2.563   1.691   1.570   0.868   0.094
    10.45    51.08    1959   0.127   0.038   0.382   1.575   2.052   1.808   0.537   2.856   0.014   1.380   0.653   0.068
    10.45    51.08    1960   0.197   0.108   0.257   0.982   3.068   1.337   2.144   3.328   2.430   3.162   1.034   0.133
    10.45    51.08    1961   0.131   0.250   0.656   5.085   6.658   4.982   2.792   2.676   1.386   0.850   0.137   0.158
    10.45    51.08    1962   0.216   0.230   0.352   0.928   3.770   1.170   5.164   2.381   2.392   0.575   0.344   0.141
    10.45    51.08    1963   0.171   0.123   0.518   1.080   2.497   8.541   2.991   9.983   3.345   2.423   3.152   0.060
    10.45    51.08    1964   0.069   0.235   0.292   2.235   6.089   4.131   4.354   5.287   2.538   2.277   0.285   0.092
    10.45    51.08    1965   0.223   0.234   0.245   1.980   2.485   9.510   6.193   4.295   4.285   0.808   1.595   0.184
    10.45    51.08    1966   0.142   0.306   0.825   3.219   5.269   9.246   9.863   7.980   1.885   4.313   0.654   0.178
    10.45    51.08    1967   0.113   0.194   1.119   1.039   4.878   9.441   4.496   6.673   6.353   3.250   0.731   0.120
    10.45    51.08    1968   0.102   0.186   0.221   4.452   3.708   6.414   3.970   5.822   5.845   3.823   0.976   0.068
    10.45    51.08    1969   0.059   0.126   0.139   1.433   6.987   9.955   0.945   7.992   3.763   1.446   1.758   0.043
    10.45    51.08    1970   0.035   0.097   0.071   0.707   5.722   4.627   3.770  11.573   1.763   5.377   2.711   0.232
    10.45    51.08    1971   0.013   0.039   0.079   1.708   3.394   6.525   1.114   3.456   2.446   2.455   1.475   0.021
    10.45    51.08    1972   0.009   0.002   0.164   0.972   4.932   6.255   9.229   7.947   1.944   1.662   1.020   0.002
    10.45    51.08    1973   0.013   0.024   0.012   0.372   2.589   3.587   4.568   2.511   4.587   3.817   1.013   0.016
    10.45    51.08    1974   0.009   0.186   0.347   0.747   4.053   6.350   4.700   3.997   1.895   4.563   0.007   0.032
    10.45    51.08    1975   0.002   0.009   0.191   0.512   3.261   5.945   2.123   3.274   2.494   2.570   0.282   0.002
    10.45    51.08    1976   0.012   0.001   0.015   0.519   2.611   4.614   2.090   2.539   2.965   1.719   1.353   0.003
    10.45    51.08    1977   0.001   0.010   0.787   0.660   1.825   6.411   4.358   7.816   2.117   2.281   1.943   0.002
    10.45    51.08    1978   0.000   0.000   0.119   0.356   3.749   1.620   3.663   4.268   4.302   1.822   0.000   0.012
    10.45    51.08    1979   0.025   0.000   0.060   0.516   2.022   4.634   4.147   1.533   3.395   0.494   2.084   0.010
    10.45    51.08    1980   0.027   0.000   0.020   0.889   1.500   4.155   3.692   1.202   3.228   1.984   0.342   0.047
    10.45    51.08    1981   0.175   0.002   0.549   1.916   5.474   3.589   2.097   5.847   2.589   2.682   0.000   0.000
    10.45    51.08    1982   0.000   0.000   0.009   0.430   1.574   2.803   3.827   1.108   0.701   3.036   0.798   0.000
    10.45    51.08    1983   0.000   0.005   0.252   2.684   5.993   1.494   1.689   3.388   3.072   0.253   0.117   0.000
    10.45    51.08    1984   0.000   0.000   0.000   0.164   6.660   2.983   3.969   4.583   3.588   3.647   0.158   0.000
    10.45    51.08    1985   0.001   0.000   0.017   0.446   2.295   4.128   2.879   2.945   1.295   0.210   0.598   0.015
    10.45    51.08    1986   0.021   0.000   0.032   0.501   5.179   2.967   2.888   3.749   3.459   1.614   0.352   0.000
    10.45    51.08    1987   0.000   0.000   0.007   0.184   4.060   8.799   4.694   4.456   5.670   1.313   1.866   0.000
    10.45    51.08    1988   0.000   0.001   0.051   0.351   1.452   4.697   4.154   1.213   1.659   1.001   1.281   0.000
    10.45    51.08    1989   0.001   0.003   0.218   1.799   1.869   3.324   2.806   1.435   2.541   1.701   1.773   0.000
    10.45    51.08    1990   0.000   0.262   0.666   2.239   0.764   5.572   1.265   2.330   2.988   0.527   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.311   0.566   1.879   3.861   1.207   5.032   1.070   0.913   0.221   0.000
    10.45    51.08    1992   0.000   0.003   0.605   0.313   1.285   4.451   4.807   1.796   2.079   2.733   0.195   0.000
    10.45    51.08    1993   0.010   0.025   0.114   0.409   4.889   3.556   5.761   2.325   2.821   2.456   0.098   0.000
    10.45    51.08    1994   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.005   0.065   0.077   0.602   2.681   2.089   2.653   3.338   0.978   1.633   1.327   0.035
    10.45    51.08    1997   0.038   0.265   0.901   0.869   1.718   1.012   5.019   1.621   0.447   1.819   0.168   0.148
    10.45    51.08    1998   0.128   0.132   0.731   1.925   1.958   2.750   3.552   1.341   3.597   3.194   0.552   0.054
    10.45    51.08    1999   0.116   0.217   0.564   1.065   3.679   4.463   4.541   3.055   1.497   0.866   0.693   0.150
    10.45    51.08    2000   0.167   0.470   1.455   1.718   2.112   3.159   4.741   4.733   4.965   2.413   0.513   0.094
    10.45    51.08    2001   0.124   0.209   2.056   2.028   3.315   7.682   7.517   1.730   5.387   2.680   1.605   0.165
    10.45    51.08    2002   0.109   1.377   2.551   2.746   7.800   7.281   8.358   7.638   4.090   3.740   0.276   0.171
    10.45    51.08    2003   0.131   0.095   0.223   0.728   5.943   8.756   4.233   2.218   4.923   3.240   0.264   0.090
    10.45    51.08    2004   0.100   0.134   0.543   3.143  10.036   4.602   7.491   3.157   3.586   1.044   0.145   0.048
    10.45    51.08    2005   0.068   0.143   0.341   2.174   4.484   4.158   7.560   4.784   6.351   1.797   1.103   0.087
    10.45    51.08    2006   0.041   0.081   0.262   2.609   4.727   6.534   5.121   9.626   0.952   4.251   2.034   0.035
    10.45    51.08    2007   0.071   0.084   0.571   0.420   9.380   7.688  10.494   7.958   5.480   0.667   1.461   0.043
    10.45    51.08    2008   0.063   0.147   1.418   3.479   1.610   5.534   5.687   2.915   4.005   5.155   0.070   0.025
    10.45    51.08    2009   0.006   0.036   0.104   3.713   6.347   5.552   6.928   1.328   4.868   4.620   2.399   0.037
    10.45    51.08    2010   0.015   0.014   0.382   0.681   8.786   1.128  10.950  11.664   3.623   1.155   0.832   0.021
    10.45    51.08    2011   0.007   0.026   0.282   1.833   0.617   7.034   6.009   6.797   2.658   3.200   0.000   0.008
    10.45    51.08    2012   0.004   0.001   0.049   0.674   3.393  10.011   8.480   3.737   2.735   1.822   0.519   0.003
