      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.165   0.977   2.984   3.334   3.334   3.334   3.334   3.334   2.121   0.000
    10.45    51.08    1952   0.000   0.000   0.080   1.651   3.381   3.381   3.381   3.381   3.381   3.381   1.242   0.000
    10.45    51.08    1953   0.000   0.012   0.310   2.251   3.383   3.383   3.383   3.383   3.383   3.383   0.444   0.000
    10.45    51.08    1954   0.000   0.000   0.090   0.829   2.713   3.324   3.324   3.324   3.324   3.324   2.652   0.000
    10.45    51.08    1955   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1956   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1957   0.234   0.250   0.712   1.412   1.499   1.500   1.500   1.500   1.500   1.492   1.241   0.068
    10.45    51.08    1958   0.121   0.623   1.150   1.661   3.266   3.367   3.367   3.367   3.367   3.367   2.721   0.194
    10.45    51.08    1959   0.320   0.316   1.344   3.257   3.738   3.502   2.138   3.738   2.872   3.574   1.691   0.197
    10.45    51.08    1960   0.249   0.227   0.523   1.499   2.832   3.146   3.087   3.146   3.146   3.146   2.393   0.441
    10.45    51.08    1961   0.261   0.276   0.858   2.300   3.164   3.164   3.164   3.164   3.164   3.059   0.261   0.261
    10.45    51.08    1962   0.290   0.305   0.358   1.077   3.463   4.039   4.039   4.039   4.039   4.039   2.165   0.290
    10.45    51.08    1963   0.294   0.294   0.373   1.399   4.098   4.656   4.656   4.656   4.656   4.656   3.493   0.294
    10.45    51.08    1964   0.286   0.286   0.299   1.347   4.734   5.186   5.186   5.186   5.186   5.186   1.429   0.334
    10.45    51.08    1965   0.361   0.254   0.308   1.472   4.056   5.420   5.420   5.420   5.420   5.420   2.665   0.255
