      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.49   -0.00    1.33    0.01  -12.38
    10.45    51.08    1952  -11.23   -2.32   -0.00    3.43    0.24   -9.89
    10.45    51.08    1953  -11.23   -2.44   -0.00    3.30    0.26  -10.10
    10.45    51.08    1954  -11.23   -2.88   -0.00    2.35    0.00  -11.75
    10.45    51.08    1955  -11.23   -2.75   -0.00    1.17    0.30  -12.51
    10.45    51.08    1956  -11.23   -0.00   -0.00    0.85    1.33   -9.05
    10.45    51.08    1957  -11.23   -2.93   -0.00    1.29    1.09  -11.78
    10.45    51.08    1958  -11.23   -2.65   -0.00    4.10    0.68   -9.10
    10.45    51.08    1959  -11.23   -2.66   -0.00    7.24    0.12   -6.54
    10.45    51.08    1960  -14.10   -2.85   -0.00    5.44    0.29  -11.22
    10.45    51.08    1961  -14.10   -2.71   -0.00    6.19    0.53  -10.09
    10.45    51.08    1962  -14.10   -2.86   -0.00    6.53    0.19  -10.24
    10.45    51.08    1963  -14.10   -2.61   -0.00    3.30    0.01  -13.40
    10.45    51.08    1964  -14.10   -2.27   -0.00    6.47    0.00   -9.90
    10.45    51.08    1965  -14.10   -3.28   -0.00    5.13    0.01  -12.24
    10.45    51.08    1966  -14.10   -3.34   -0.00    3.64    0.02  -13.77
    10.45    51.08    1967  -14.10   -3.44   -0.00    5.71    0.15  -11.68
    10.45    51.08    1968  -14.10   -3.24   -0.00    6.38    0.01  -10.95
    10.45    51.08    1969  -14.10   -2.77   -0.00    4.68    0.01  -12.17
    10.45    51.08    1970  -16.97   -2.84   -0.00    5.14    0.01  -14.66
    10.45    51.08    1971  -16.97   -2.89   -0.00    6.39    0.00  -13.46
    10.45    51.08    1972  -16.97   -2.82   -0.00    1.69    0.00  -18.10
    10.45    51.08    1973  -16.97   -2.59   -0.00    6.21    0.00  -13.35
    10.45    51.08    1974  -16.97   -2.77   -0.00    2.39    0.01  -17.34
    10.45    51.08    1975  -16.97   -2.46   -0.00    5.40    0.05  -13.98
    10.45    51.08    1976  -16.97   -2.52   -0.00    5.88    0.00  -13.61
    10.45    51.08    1977  -16.97   -2.50   -0.00    2.84    0.01  -16.62
    10.45    51.08    1978  -16.97   -3.07   -0.00    4.85    0.09  -15.10
    10.45    51.08    1979  -16.97   -2.78   -0.00    4.82    0.07  -14.86
    10.45    51.08    1980  -17.99   -2.86   -0.00    5.24    0.00  -15.61
    10.45    51.08    1981  -17.99   -2.79   -0.00    1.88    0.02  -18.88
    10.45    51.08    1982  -17.99   -2.35   -0.00    5.68    0.01  -14.66
    10.45    51.08    1983  -17.99   -1.97   -0.00    5.14    0.01  -14.81
    10.45    51.08    1984  -17.99   -2.64   -0.00    1.47    0.02  -19.15
    10.45    51.08    1985  -17.99   -2.63   -0.00    6.12    0.02  -14.48
    10.45    51.08    1986  -17.99   -2.21   -0.00    4.08    0.02  -16.11
    10.45    51.08    1987  -17.99   -3.00   -0.00    1.43    0.08  -19.49
    10.45    51.08    1988  -17.99   -2.46   -0.00    5.60    0.47  -14.39
    10.45    51.08    1989  -17.99   -2.45   -0.00    4.77    0.00  -15.67
    10.45    51.08    1990  -19.66   -2.53   -0.00    4.49    0.00  -17.69
    10.45    51.08    1991  -19.66   -2.76   -0.00    5.07    0.00  -17.34
    10.45    51.08    1992  -19.66   -1.82   -0.00    4.27    0.01  -17.19
    10.45    51.08    1993  -19.66   -2.25   -0.00    2.65    0.01  -19.24
    10.45    51.08    1994  -19.66   -0.00   -0.00    0.92    1.00  -17.73
    10.45    51.08    1995  -19.66   -2.50   -0.00    1.31    1.03  -19.82
    10.45    51.08    1996  -19.66   -2.21   -0.00    1.74    0.66  -19.46
    10.45    51.08    1997  -19.66   -2.70   -0.00    5.65    0.43  -16.27
    10.45    51.08    1998  -19.66   -2.87   -0.00    4.71    0.47  -17.34
    10.45    51.08    1999  -19.66   -2.47   -0.00    1.82    0.30  -20.01
    10.45    51.08    2000  -21.34   -2.43   -0.00    5.41    0.46  -17.91
    10.45    51.08    2001  -21.34   -2.85   -0.00    3.73    0.09  -20.38
    10.45    51.08    2002  -21.34   -3.01   -0.00    1.60    0.55  -22.20
    10.45    51.08    2003  -21.34   -2.45   -0.00    5.85    0.19  -17.75
    10.45    51.08    2004  -21.34   -3.03   -0.00    5.58    0.00  -18.79
    10.45    51.08    2005  -21.34   -2.60   -0.00    5.63    0.01  -18.31
    10.45    51.08    2006  -21.34   -2.41   -0.00    5.34    0.00  -18.41
    10.45    51.08    2007  -21.34   -2.43   -0.00    3.47    0.00  -20.31
    10.45    51.08    2008  -21.34   -2.97   -0.00    5.61    0.01  -18.69
    10.45    51.08    2009  -21.34   -2.35   -0.00    4.92    0.01  -18.76
    10.45    51.08    2010  -20.03   -2.70   -0.00    3.60    0.02  -19.11
    10.45    51.08    2011  -20.03   -2.86   -0.00    6.03    0.11  -16.74
    10.45    51.08    2012  -20.03   -2.72   -0.00    5.26    0.00  -17.49
