      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.094    0.120    0.030    0.014    0.139    0.931    1.329
    10.45    51.08    1952    0.547    0.702    0.176    0.081    0.811    1.111    3.427
    10.45    51.08    1953    0.516    0.662    0.166    0.076    0.765    1.118    3.303
    10.45    51.08    1954    0.330    0.424    0.106    0.049    0.490    0.953    2.351
    10.45    51.08    1955    0.077    0.098    0.025    0.011    0.114    0.846    1.171
    10.45    51.08    1956    0.186    0.239    0.060    0.028    0.276    0.056    0.845
    10.45    51.08    1957    0.179    0.230    0.058    0.027    0.266    0.526    1.286
    10.45    51.08    1958    0.720    0.925    0.232    0.107    1.068    1.044    4.097
    10.45    51.08    1959    1.514    1.944    0.488    0.225    2.246    0.824    7.240
    10.45    51.08    1960    1.075    1.380    0.346    0.159    1.594    0.889    5.442
    10.45    51.08    1961    1.224    1.571    0.394    0.182    1.815    0.999    6.185
    10.45    51.08    1962    1.255    1.611    0.404    0.186    1.861    1.212    6.529
    10.45    51.08    1963    0.530    0.681    0.171    0.079    0.786    1.050    3.296
    10.45    51.08    1964    1.227    1.575    0.395    0.182    1.819    1.268    6.466
    10.45    51.08    1965    0.939    1.206    0.302    0.139    1.393    1.151    5.131
    10.45    51.08    1966    0.566    0.727    0.182    0.084    0.839    1.245    3.643
    10.45    51.08    1967    0.979    1.257    0.315    0.145    1.452    1.564    5.714
    10.45    51.08    1968    1.142    1.466    0.368    0.169    1.693    1.545    6.383
    10.45    51.08    1969    0.783    1.006    0.252    0.116    1.162    1.363    4.681
    10.45    51.08    1970    0.865    1.110    0.278    0.128    1.282    1.473    5.137
    10.45    51.08    1971    1.111    1.427    0.358    0.165    1.648    1.684    6.393
    10.45    51.08    1972    0.127    0.163    0.041    0.019    0.189    1.148    1.687
    10.45    51.08    1973    1.056    1.356    0.340    0.157    1.566    1.731    6.207
    10.45    51.08    1974    0.249    0.320    0.080    0.037    0.369    1.338    2.393
    10.45    51.08    1975    0.883    1.133    0.284    0.131    1.309    1.658    5.399
    10.45    51.08    1976    1.030    1.322    0.332    0.153    1.527    1.514    5.877
    10.45    51.08    1977    0.431    0.554    0.139    0.064    0.640    1.017    2.844
    10.45    51.08    1978    0.809    1.039    0.261    0.120    1.200    1.419    4.848
    10.45    51.08    1979    0.793    1.018    0.255    0.118    1.176    1.462    4.821
    10.45    51.08    1980    0.914    1.173    0.294    0.135    1.355    1.367    5.238
    10.45    51.08    1981    0.162    0.208    0.052    0.024    0.240    1.194    1.879
    10.45    51.08    1982    0.954    1.225    0.307    0.141    1.415    1.639    5.681
    10.45    51.08    1983    0.905    1.162    0.292    0.134    1.343    1.307    5.143
    10.45    51.08    1984    0.101    0.129    0.032    0.015    0.149    1.041    1.467
    10.45    51.08    1985    1.087    1.396    0.350    0.161    1.613    1.517    6.125
    10.45    51.08    1986    0.649    0.833    0.209    0.096    0.962    1.331    4.080
    10.45    51.08    1987    0.097    0.125    0.031    0.014    0.144    1.017    1.429
    10.45    51.08    1988    0.953    1.224    0.307    0.141    1.414    1.556    5.596
    10.45    51.08    1989    0.789    1.013    0.254    0.117    1.171    1.427    4.772
    10.45    51.08    1990    0.751    0.964    0.242    0.111    1.113    1.308    4.489
    10.45    51.08    1991    0.868    1.115    0.280    0.129    1.288    1.390    5.070
    10.45    51.08    1992    0.688    0.883    0.221    0.102    1.020    1.361    4.275
    10.45    51.08    1993    0.366    0.470    0.118    0.054    0.543    1.098    2.648
    10.45    51.08    1994    0.151    0.194    0.049    0.022    0.224    0.282    0.921
    10.45    51.08    1995    0.145    0.186    0.047    0.021    0.215    0.700    1.314
    10.45    51.08    1996    0.142    0.183    0.046    0.021    0.211    1.140    1.744
    10.45    51.08    1997    1.129    1.450    0.364    0.167    1.675    0.868    5.654
    10.45    51.08    1998    0.846    1.086    0.272    0.125    1.255    1.128    4.712
    10.45    51.08    1999    0.162    0.208    0.052    0.024    0.240    1.136    1.821
    10.45    51.08    2000    0.914    1.173    0.294    0.136    1.355    1.534    5.407
    10.45    51.08    2001    0.597    0.766    0.192    0.088    0.885    1.197    3.726
    10.45    51.08    2002    0.120    0.155    0.039    0.018    0.179    1.086    1.597
    10.45    51.08    2003    0.988    1.269    0.318    0.147    1.466    1.663    5.850
    10.45    51.08    2004    0.970    1.245    0.312    0.144    1.438    1.471    5.579
    10.45    51.08    2005    0.941    1.208    0.303    0.140    1.396    1.639    5.626
    10.45    51.08    2006    0.864    1.109    0.278    0.128    1.281    1.677    5.338
    10.45    51.08    2007    0.463    0.595    0.149    0.069    0.687    1.502    3.465
    10.45    51.08    2008    0.899    1.154    0.290    0.133    1.333    1.799    5.608
    10.45    51.08    2009    0.776    0.996    0.250    0.115    1.151    1.628    4.916
    10.45    51.08    2010    0.521    0.669    0.168    0.077    0.772    1.396    3.603
    10.45    51.08    2011    0.976    1.254    0.314    0.145    1.448    1.895    6.032
    10.45    51.08    2012    0.837    1.074    0.269    0.124    1.241    1.713    5.259
