      Lon      Lat    Year     VegN  LitterN    SoilN     Total
    10.45    51.08    1951   0.0673   0.0311   0.9456    1.0440
    10.45    51.08    1952   0.0689   0.0302   0.9442    1.0434
    10.45    51.08    1953   0.0704   0.0286   0.9435    1.0426
    10.45    51.08    1954   0.0697   0.0306   0.9434    1.0436
    10.45    51.08    1955   0.0683   0.0328   0.9439    1.0450
    10.45    51.08    1956   0.0000   0.0903   0.9591    1.0493
    10.45    51.08    1957   0.0076   0.0847   0.9592    1.0515
    10.45    51.08    1958   0.0158   0.0800   0.9581    1.0539
    10.45    51.08    1959   0.0191   0.0756   0.9636    1.0583
    10.45    51.08    1960   0.0178   0.0734   0.9684    1.0596
    10.45    51.08    1961   0.0202   0.0693   0.9705    1.0600
    10.45    51.08    1962   0.0221   0.0669   0.9707    1.0597
    10.45    51.08    1963   0.0273   0.0649   0.9711    1.0633
    10.45    51.08    1964   0.0314   0.0623   0.9720    1.0657
    10.45    51.08    1965   0.0345   0.0617   0.9739    1.0700
    10.45    51.08    1966   0.0367   0.0608   0.9763    1.0738
    10.45    51.08    1967   0.0395   0.0584   0.9773    1.0752
    10.45    51.08    1968   0.0405   0.0574   0.9783    1.0762
    10.45    51.08    1969   0.0417   0.0568   0.9803    1.0788
    10.45    51.08    1970   0.0423   0.0563   0.9814    1.0800
    10.45    51.08    1971   0.0428   0.0540   0.9820    1.0788
    10.45    51.08    1972   0.0415   0.0555   0.9848    1.0818
    10.45    51.08    1973   0.0421   0.0529   0.9843    1.0792
    10.45    51.08    1974   0.0400   0.0529   0.9861    1.0790
    10.45    51.08    1975   0.0408   0.0506   0.9852    1.0766
    10.45    51.08    1976   0.0419   0.0486   0.9847    1.0753
    10.45    51.08    1977   0.0402   0.0500   0.9871    1.0773
    10.45    51.08    1978   0.0406   0.0484   0.9869    1.0758
    10.45    51.08    1979   0.0418   0.0471   0.9856    1.0744
    10.45    51.08    1980   0.0429   0.0460   0.9850    1.0738
    10.45    51.08    1981   0.0444   0.0458   0.9854    1.0756
    10.45    51.08    1982   0.0461   0.0430   0.9839    1.0731
    10.45    51.08    1983   0.0452   0.0421   0.9847    1.0721
    10.45    51.08    1984   0.0458   0.0432   0.9856    1.0747
    10.45    51.08    1985   0.0461   0.0411   0.9842    1.0715
    10.45    51.08    1986   0.0478   0.0405   0.9830    1.0712
    10.45    51.08    1987   0.0488   0.0416   0.9838    1.0742
    10.45    51.08    1988   0.0499   0.0393   0.9824    1.0717
    10.45    51.08    1989   0.0498   0.0384   0.9816    1.0698
    10.45    51.08    1990   0.0509   0.0369   0.9811    1.0689
    10.45    51.08    1991   0.0524   0.0357   0.9797    1.0679
    10.45    51.08    1992   0.0526   0.0348   0.9787    1.0661
    10.45    51.08    1993   0.0529   0.0352   0.9787    1.0668
    10.45    51.08    1994   0.0000   0.0739   0.9961    1.0699
    10.45    51.08    1995   0.0076   0.0688   0.9941    1.0704
    10.45    51.08    1996   0.0163   0.0662   0.9901    1.0726
    10.45    51.08    1997   0.0176   0.0628   0.9945    1.0749
    10.45    51.08    1998   0.0190   0.0597   0.9962    1.0749
    10.45    51.08    1999   0.0203   0.0569   0.9973    1.0744
    10.45    51.08    2000   0.0232   0.0537   0.9952    1.0721
    10.45    51.08    2001   0.0288   0.0518   0.9948    1.0754
    10.45    51.08    2002   0.0334   0.0515   0.9961    1.0810
    10.45    51.08    2003   0.0365   0.0485   0.9960    1.0810
    10.45    51.08    2004   0.0385   0.0474   0.9969    1.0827
    10.45    51.08    2005   0.0386   0.0460   0.9977    1.0822
    10.45    51.08    2006   0.0401   0.0441   0.9975    1.0818
    10.45    51.08    2007   0.0412   0.0441   0.9983    1.0836
    10.45    51.08    2008   0.0433   0.0426   0.9973    1.0831
    10.45    51.08    2009   0.0442   0.0417   0.9974    1.0833
    10.45    51.08    2010   0.0449   0.0423   0.9984    1.0856
    10.45    51.08    2011   0.0457   0.0399   0.9971    1.0828
    10.45    51.08    2012   0.0466   0.0389   0.9966    1.0821
