      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951   4.733   3.048  10.766    18.547
    10.45    51.08    1952   4.903   2.984  10.742    18.628
    10.45    51.08    1953   5.131   2.907  10.702    18.740
    10.45    51.08    1954   5.316   2.853  10.683    18.852
    10.45    51.08    1955   5.455   2.838  10.673    18.966
    10.45    51.08    1956   5.648   2.790  10.667    19.105
    10.45    51.08    1957   5.828   2.743  10.647    19.218
    10.45    51.08    1958   6.019   2.679  10.626    19.324
    10.45    51.08    1959   6.255   2.596  10.589    19.439
    10.45    51.08    1960   6.416   2.585  10.570    19.571
    10.45    51.08    1961   6.625   2.501  10.541    19.667
    10.45    51.08    1962   6.728   2.548  10.522    19.798
    10.45    51.08    1963   6.936   2.495  10.509    19.940
    10.45    51.08    1964   7.163   2.421  10.481    20.065
    10.45    51.08    1965   7.356   2.390  10.470    20.216
    10.45    51.08    1966   7.586   2.339  10.456    20.382
    10.45    51.08    1967   7.772   2.281  10.434    20.487
    10.45    51.08    1968   7.972   2.230  10.414    20.616
    10.45    51.08    1969   8.148   2.180  10.397    20.725
    10.45    51.08    1970   8.282   2.178  10.384    20.843
    10.45    51.08    1971   8.415   2.157  10.354    20.926
    10.45    51.08    1972   8.590   2.139  10.346    21.075
    10.45    51.08    1973   8.756   2.071  10.322    21.149
    10.45    51.08    1974   8.955   2.033  10.305    21.293
    10.45    51.08    1975   9.112   1.968  10.276    21.355
    10.45    51.08    1976   8.264   2.924  10.240    21.429
    10.45    51.08    1977   8.451   2.849  10.240    21.540
    10.45    51.08    1978   8.634   2.767  10.232    21.633
    10.45    51.08    1979   8.796   2.686  10.218    21.700
    10.45    51.08    1980   8.958   2.608  10.203    21.769
    10.45    51.08    1981   9.126   2.582  10.190    21.898
    10.45    51.08    1982   9.293   2.451  10.152    21.895
    10.45    51.08    1983   9.503   2.367  10.123    21.993
    10.45    51.08    1984   9.639   2.339  10.116    22.094
    10.45    51.08    1985   9.856   2.263  10.097    22.216
    10.45    51.08    1986  10.041   2.211  10.078    22.330
    10.45    51.08    1987  10.224   2.184  10.073    22.481
    10.45    51.08    1988  10.432   2.099  10.044    22.575
    10.45    51.08    1989  10.687   2.026  10.011    22.725
    10.45    51.08    1990  10.961   1.968   9.983    22.912
    10.45    51.08    1991  11.167   1.914   9.956    23.037
    10.45    51.08    1992  11.325   1.866   9.933    23.123
    10.45    51.08    1993  11.548   1.835   9.921    23.304
    10.45    51.08    1994  11.725   1.791   9.901    23.416
    10.45    51.08    1995  11.891   1.758   9.887    23.537
    10.45    51.08    1996  12.010   1.789   9.886    23.685
    10.45    51.08    1997  12.209   1.729   9.868    23.806
    10.45    51.08    1998  12.417   1.690   9.850    23.957
    10.45    51.08    1999  12.640   1.645   9.828    24.113
    10.45    51.08    2000  12.830   1.602   9.803    24.235
    10.45    51.08    2001  11.740   2.861   9.786    24.387
    10.45    51.08    2002  11.917   2.782   9.787    24.486
    10.45    51.08    2003  12.101   2.651   9.770    24.521
    10.45    51.08    2004  12.374   2.568   9.757    24.699
    10.45    51.08    2005  12.615   2.498   9.747    24.859
    10.45    51.08    2006  12.806   2.430   9.734    24.970
    10.45    51.08    2007  13.047   2.370   9.728    25.146
    10.45    51.08    2008  13.192   2.355   9.712    25.259
    10.45    51.08    2009  13.408   2.293   9.702    25.402
    10.45    51.08    2010  13.516   2.326   9.700    25.542
    10.45    51.08    2011  13.780   2.238   9.688    25.705
    10.45    51.08    2012  13.991   2.180   9.675    25.845
