      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   6.086  12.656  21.805  18.773   6.211  36.404  18.837  22.997  10.339   3.636   5.682   6.186
    10.45    51.08    1952   4.344   3.318  26.862  30.669  24.791  13.279   3.121   1.689  14.596  11.432   7.232   3.906
    10.45    51.08    1953   0.146   5.232  22.758   8.905   5.601  15.831  23.749  10.800   2.523   1.886   3.946   2.692
    10.45    51.08    1954   4.387   9.859  20.216  24.482  11.596   6.539  21.646  21.997  11.087   9.290   4.206   5.012
    10.45    51.08    1955   0.726   6.021  10.127  28.657  11.564  11.594  23.207  28.127  12.104   5.233   4.518   5.581
    10.45    51.08    1956   6.420   0.000  21.835  28.336  20.334  27.387  38.350  21.415   9.172   5.879   4.361   4.026
    10.45    51.08    1957   6.806  12.163  19.884  13.675  10.908  15.711  20.983  19.548   9.290  11.583   9.372   4.876
    10.45    51.08    1958   7.545  10.900  11.671  26.287  23.974  26.861  27.654  18.613   8.447   8.484   6.098   5.847
    10.45    51.08    1959   7.725   9.653  14.372  14.268  11.814  16.997   1.998  12.871   3.240   0.472   6.979   4.373
    10.45    51.08    1960   4.784  11.277  17.266  15.849  23.826  15.537   5.426  12.996  14.577  11.686   6.871   2.161
    10.45    51.08    1961   1.408  15.262  15.460  24.613  29.872  34.398   5.833   9.267   4.771   1.052   2.572   4.236
    10.45    51.08    1962   7.458  11.884   9.430  27.205  15.683   6.549  12.005   5.906   6.363   1.877   0.612   1.884
    10.45    51.08    1963   0.000   0.000  19.904  27.833  14.270  16.386  23.142  26.604   9.918   7.979   5.549   4.593
    10.45    51.08    1964   3.500  12.174  14.703  27.252  31.957  17.429  10.271  10.518   5.182   3.240   3.811   3.266
    10.45    51.08    1965   5.931   0.000  14.329  23.856  25.139  29.726  17.089  16.414   9.950   3.721   1.408   5.454
    10.45    51.08    1966   4.374   9.893  18.066  23.597  15.351  18.564  39.231  22.582  14.491   5.349   8.046   5.691
    10.45    51.08    1967   6.574  11.172  21.174  20.151  14.776  31.367  19.275  13.450  17.255   9.680   4.403   4.252
    10.45    51.08    1968   4.585  11.729  25.790  18.231  19.753  14.947   8.862   9.127  12.151  11.711   6.415   3.157
    10.45    51.08    1969   5.314   3.143   0.000  32.899  36.260  37.139  13.329   6.137  19.993   5.307   3.098   1.467
    10.45    51.08    1970   0.000   2.541  14.148  35.341  28.777  13.373  11.054  31.166  12.783   7.131   5.582   4.751
    10.45    51.08    1971   3.306   8.922  14.023  17.905  16.749  18.687   7.363   1.365   2.358   4.351   3.897   5.574
    10.45    51.08    1972   3.776   7.947  26.694  19.173  23.417  31.657  26.043  38.527  11.347   4.452   4.393   5.317
    10.45    51.08    1973   5.330   9.820  22.886  19.589  20.323  10.019   8.640   8.832  10.038  10.790   7.482   5.533
    10.45    51.08    1974   7.039  10.312  21.310  13.754  16.719  22.984  30.099  15.194   9.657   6.143   8.963   6.712
    10.45    51.08    1975   8.046  11.128  21.317  31.028  24.493  19.105  19.813   5.446   7.631   4.255   3.574   2.913
    10.45    51.08    1976   6.783  10.086  14.928  16.052  11.042  25.912   2.363   3.332   1.356   4.586   3.215   3.490
    10.45    51.08    1977   4.291  10.087  22.113  21.720  15.188  23.735  32.964  33.411  19.246   9.878   9.387   5.715
    10.45    51.08    1978   6.114   5.507  18.851  16.205  21.160   9.446  16.855  17.766  12.532  13.346   4.728   3.686
    10.45    51.08    1979   0.000   0.000  17.982  32.579  26.498  16.829  24.179  13.549   8.139   4.819   6.187   6.279
    10.45    51.08    1980   5.187  11.215  12.105  22.140  23.878  15.147  17.598   6.264   6.126   7.188   4.608   3.895
    10.45    51.08    1981   2.565   8.657  25.467  17.519  35.690  29.605  10.265  25.979  10.623  14.826   9.780   1.940
    10.45    51.08    1982   5.934  11.301  17.221  14.938  20.230   6.432   9.191   7.397   0.766   4.091   2.430   2.184
    10.45    51.08    1983   3.890   5.835  14.611  40.067  27.798  22.113   7.191  15.170   9.515   4.342   1.542   1.781
    10.45    51.08    1984   3.832   9.338  17.994  35.710  32.446  31.630  20.929  26.675  17.166  13.402   6.583   5.802
    10.45    51.08    1985   2.457  10.233  15.285  20.935  10.548  15.684  16.222  13.090   8.350   1.865   0.626   3.622
    10.45    51.08    1986   6.765   3.720  21.890  32.484  32.160  29.492   8.744  12.074  14.966  10.283   6.214   3.825
    10.45    51.08    1987   1.795   4.312   7.353  26.928  20.784  42.885  25.286  28.976  17.839  11.459   4.519   5.486
    10.45    51.08    1988   7.836   8.290  11.183  31.464  10.413  10.018  29.409   9.908   3.771   1.811   1.619   4.943
    10.45    51.08    1989   8.168   9.357  23.994  14.720  17.187  15.507   7.255   6.526   4.334   5.938   9.698   6.429
    10.45    51.08    1990   7.459  14.042  21.415  16.705  11.603  24.976  17.135   2.965   8.319   6.304   5.004   4.334
    10.45    51.08    1991   5.946   7.579  16.409  10.933  10.209  10.275   7.568  25.119   3.506   1.956   1.844   2.326
    10.45    51.08    1992   5.180   8.980  21.107  27.724  13.064  14.705  29.267   9.859  12.787   4.557   7.309   5.993
    10.45    51.08    1993   7.159   3.650  20.340  16.284  13.191  35.434  31.263  18.209  11.219   7.491   5.728   5.819
    10.45    51.08    1994   7.787   9.800  26.037  28.484  23.896  24.033  30.568  17.412  18.115   8.114   6.763   6.567
    10.45    51.08    1995   7.429  14.289  17.805  21.837  21.493  32.022  31.731  18.874  16.544  12.341   4.461   2.946
    10.45    51.08    1996   4.221  10.011  14.937  21.379  27.305  24.157  28.508  26.366  14.211   8.616   5.780   4.820
    10.45    51.08    1997   5.978  14.790  24.729  25.054  16.973   6.561  26.452  18.974   8.539   5.847   5.070   4.256
    10.45    51.08    1998   7.503  10.734  17.693  15.300  19.963  17.108  18.556   8.203  17.595  14.016   9.498   5.425
    10.45    51.08    1999   6.986   9.867  20.051  21.143  14.498  27.150  35.025  13.438   7.092   2.811   5.911   5.896
    10.45    51.08    2000   7.228  15.374  26.081  25.634  13.456   8.281  10.841  15.462  16.582  10.303   5.686   3.727
    10.45    51.08    2001   4.167   8.899  17.007  29.304  23.611  18.849  35.688   5.712   7.193   7.831   6.616   5.218
    10.45    51.08    2002   7.510  12.736  22.591  21.344  30.161  32.080  27.648  28.829  12.503  14.039  10.713   4.231
