      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.836   0.856   0.818   0.536   0.352   0.760   0.548   0.672   0.540   0.501   0.843   0.904
    10.45    51.08    1952   0.910   0.926   0.909   0.740   0.704   0.469   0.166   0.142   0.765   0.927   0.923   0.938
    10.45    51.08    1953   0.919   0.944   0.714   0.406   0.293   0.489   0.620   0.446   0.266   0.346   0.597   0.594
    10.45    51.08    1954   0.795   0.873   0.742   0.664   0.413   0.315   0.635   0.681   0.599   0.748   0.744   0.817
    10.45    51.08    1955   0.941   0.928   0.918   0.726   0.458   0.443   0.652   0.809   0.628   0.584   0.812   0.867
    10.45    51.08    1956   0.907   0.864   0.826   0.721   0.561   0.743   0.815   0.662   0.532   0.609   0.795   0.804
    10.45    51.08    1957   0.895   0.836   0.728   0.545   0.445   0.454   0.601   0.630   0.573   0.855   0.888   0.894
    10.45    51.08    1958   0.924   0.838   0.892   0.747   0.629   0.689   0.640   0.550   0.482   0.735   0.920   0.893
    10.45    51.08    1959   0.909   0.803   0.621   0.535   0.465   0.506   0.122   0.411   0.252   0.106   0.769   0.810
    10.45    51.08    1960   0.878   0.887   0.763   0.529   0.631   0.465   0.284   0.502   0.699   0.891   0.881   0.901
    10.45    51.08    1961   0.939   0.874   0.640   0.769   0.829   0.744   0.318   0.430   0.342   0.233   0.483   0.819
    10.45    51.08    1962   0.896   0.894   0.910   0.687   0.557   0.308   0.402   0.326   0.413   0.321   0.331   0.582
    10.45    51.08    1963   0.680   0.685   0.848   0.712   0.482   0.477   0.546   0.685   0.519   0.685   0.786   0.891
    10.45    51.08    1964   0.876   0.865   0.744   0.695   0.677   0.420   0.335   0.429   0.366   0.480   0.632   0.712
    10.45    51.08    1965   0.843   0.890   0.898   0.639   0.618   0.629   0.527   0.525   0.530   0.444   0.640   0.912
    10.45    51.08    1966   0.903   0.930   0.747   0.687   0.482   0.502   0.825   0.644   0.649   0.556   0.913   0.916
    10.45    51.08    1967   0.918   0.808   0.735   0.622   0.430   0.698   0.489   0.488   0.729   0.700   0.724   0.798
    10.45    51.08    1968   0.920   0.882   0.838   0.557   0.620   0.464   0.347   0.414   0.620   0.832   0.823   0.783
    10.45    51.08    1969   0.794   0.808   0.900   0.823   0.744   0.735   0.405   0.285   0.718   0.542   0.647   0.723
    10.45    51.08    1970   0.753   0.937   0.897   0.813   0.679   0.412   0.392   0.750   0.566   0.684   0.902   0.879
    10.45    51.08    1971   0.856   0.782   0.690   0.560   0.495   0.567   0.251   0.111   0.249   0.452   0.707   0.882
    10.45    51.08    1972   0.814   0.809   0.779   0.626   0.632   0.672   0.600   0.838   0.594   0.488   0.732   0.853
    10.45    51.08    1973   0.813   0.873   0.813   0.621   0.526   0.372   0.343   0.340   0.515   0.784   0.904   0.909
    10.45    51.08    1974   0.877   0.828   0.803   0.487   0.547   0.591   0.693   0.511   0.470   0.675   0.881   0.919
    10.45    51.08    1975   0.891   0.823   0.761   0.733   0.615   0.538   0.509   0.247   0.439   0.530   0.638   0.682
    10.45    51.08    1976   0.894   0.855   0.677   0.521   0.387   0.568   0.150   0.219   0.184   0.504   0.624   0.731
    10.45    51.08    1977   0.726   0.760   0.795   0.681   0.482   0.553   0.677   0.800   0.712   0.695   0.902   0.916
    10.45    51.08    1978   0.865   0.811   0.726   0.548   0.579   0.356   0.483   0.536   0.609   0.800   0.690   0.766
    10.45    51.08    1979   0.843   0.869   0.909   0.801   0.584   0.440   0.611   0.459   0.452   0.471   0.791   0.915
    10.45    51.08    1980   0.876   0.821   0.663   0.640   0.526   0.451   0.544   0.294   0.384   0.626   0.753   0.886
    10.45    51.08    1981   0.923   0.905   0.836   0.596   0.751   0.644   0.391   0.645   0.505   0.890   0.880   0.943
    10.45    51.08    1982   0.919   0.866   0.669   0.486   0.492   0.285   0.323   0.314   0.110   0.437   0.524   0.580
    10.45    51.08    1983   0.619   0.664   0.652   0.847   0.697   0.529   0.268   0.433   0.457   0.453   0.396   0.532
    10.45    51.08    1984   0.650   0.850   0.747   0.787   0.743   0.700   0.565   0.642   0.732   0.813   0.817   0.911
    10.45    51.08    1985   0.917   0.878   0.751   0.600   0.392   0.499   0.427   0.449   0.453   0.288   0.321   0.668
    10.45    51.08    1986   0.901   0.863   0.845   0.870   0.652   0.651   0.332   0.440   0.649   0.697   0.839   0.764
    10.45    51.08    1987   0.941   0.924   0.946   0.672   0.600   0.848   0.567   0.708   0.666   0.749   0.765   0.914
    10.45    51.08    1988   0.892   0.857   0.885   0.709   0.379   0.338   0.608   0.356   0.309   0.319   0.442   0.856
    10.45    51.08    1989   0.878   0.755   0.747   0.571   0.471   0.446   0.299   0.302   0.320   0.532   0.883   0.921
    10.45    51.08    1990   0.885   0.797   0.772   0.601   0.376   0.577   0.470   0.177   0.508   0.479   0.627   0.828
    10.45    51.08    1991   0.824   0.765   0.672   0.468   0.455   0.385   0.276   0.582   0.273   0.303   0.416   0.564
    10.45    51.08    1992   0.812   0.772   0.764   0.685   0.412   0.416   0.612   0.370   0.567   0.545   0.773   0.932
    10.45    51.08    1993   0.924   0.923   0.796   0.544   0.351   0.701   0.666   0.519   0.589   0.670   0.827   0.901
    10.45    51.08    1994   0.917   0.871   0.844   0.748   0.607   0.577   0.573   0.508   0.708   0.664   0.760   0.916
    10.45    51.08    1995   0.905   0.887   0.713   0.627   0.583   0.765   0.588   0.478   0.729   0.760   0.703   0.736
    10.45    51.08    1996   0.816   0.821   0.723   0.581   0.721   0.550   0.655   0.665   0.717   0.711   0.886   0.912
    10.45    51.08    1997   0.917   0.892   0.829   0.663   0.510   0.287   0.549   0.520   0.435   0.553   0.723   0.866
    10.45    51.08    1998   0.878   0.771   0.739   0.572   0.537   0.485   0.520   0.348   0.726   0.894   0.930   0.884
    10.45    51.08    1999   0.837   0.805   0.762   0.634   0.439   0.632   0.681   0.470   0.379   0.406   0.788   0.909
    10.45    51.08    2000   0.900   0.907   0.868   0.660   0.419   0.317   0.452   0.460   0.690   0.739   0.692   0.684
    10.45    51.08    2001   0.677   0.736   0.795   0.775   0.569   0.514   0.678   0.282   0.490   0.590   0.792   0.926
    10.45    51.08    2002   0.892   0.838   0.860   0.669   0.709   0.663   0.627   0.676   0.584   0.793   0.919   0.924
    10.45    51.08    2003   0.926   0.896   0.774   0.491   0.468   0.602   0.325   0.093   0.426   0.616   0.689   0.885
    10.45    51.08    2004   0.889   0.875   0.703   0.560   0.775   0.452   0.568   0.306   0.318   0.421   0.652   0.897
    10.45    51.08    2005   0.897   0.910   0.853   0.621   0.526   0.301   0.410   0.664   0.615   0.699   0.687   0.782
    10.45    51.08    2006   0.777   0.726   0.795   0.686   0.530   0.606   0.511   0.618   0.606   0.642   0.718   0.704
    10.45    51.08    2007   0.796   0.798   0.718   0.523   0.425   0.701   0.663   0.763   0.628   0.789   0.823   0.891
    10.45    51.08    2008   0.845   0.753   0.744   0.778   0.474   0.379   0.466   0.246   0.373   0.638   0.859   0.913
    10.45    51.08    2009   0.854   0.801   0.803   0.604   0.688   0.562   0.543   0.379   0.475   0.722   0.913   0.938
    10.45    51.08    2010   0.949   0.949   0.803   0.543   0.703   0.454   0.456   0.821   0.675   0.852   0.908   0.941
    10.45    51.08    2011   0.940   0.837   0.689   0.487   0.229   0.220   0.612   0.536   0.604   0.590   0.579   0.690
    10.45    51.08    2012   0.891   0.854   0.642   0.451   0.424   0.625   0.674   0.479   0.413   0.499   0.621   0.926
