      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.057    0.073    0.018    0.008    0.085    0.996    1.238
    10.45    51.08    1952    0.378    0.486    0.122    0.056    0.561    1.159    2.761
    10.45    51.08    1953    0.141    0.181    0.045    0.021    0.209    1.147    1.744
    10.45    51.08    1954    0.055    0.071    0.018    0.008    0.082    1.000    1.234
    10.45    51.08    1955    0.055    0.071    0.018    0.008    0.082    0.900    1.135
    10.45    51.08    1956    0.056    0.071    0.018    0.008    0.082    0.855    1.090
    10.45    51.08    1957    0.054    0.069    0.017    0.008    0.080    1.049    1.278
    10.45    51.08    1958    0.054    0.069    0.017    0.008    0.079    1.013    1.240
    10.45    51.08    1959    0.422    0.542    0.136    0.063    0.626    1.159    2.949
    10.45    51.08    1960    0.052    0.066    0.017    0.008    0.076    0.947    1.165
    10.45    51.08    1961    0.114    0.146    0.037    0.017    0.169    1.018    1.501
    10.45    51.08    1962    0.144    0.185    0.046    0.021    0.213    0.966    1.575
    10.45    51.08    1963    0.051    0.065    0.016    0.008    0.075    0.924    1.139
    10.45    51.08    1964    0.071    0.092    0.023    0.011    0.106    1.081    1.384
    10.45    51.08    1965    0.049    0.063    0.016    0.007    0.073    0.798    1.008
    10.45    51.08    1966    0.049    0.063    0.016    0.007    0.073    0.871    1.079
    10.45    51.08    1967    0.048    0.062    0.015    0.007    0.071    0.987    1.190
    10.45    51.08    1968    0.047    0.061    0.015    0.007    0.070    0.949    1.150
    10.45    51.08    1969    0.178    0.229    0.057    0.026    0.264    0.938    1.694
    10.45    51.08    1970    0.047    0.060    0.015    0.007    0.069    0.870    1.067
    10.45    51.08    1971    0.315    0.404    0.101    0.047    0.467    1.040    2.374
    10.45    51.08    1972    0.046    0.059    0.015    0.007    0.068    0.709    0.905
    10.45    51.08    1973    0.070    0.089    0.022    0.010    0.103    1.030    1.325
    10.45    51.08    1974    0.044    0.057    0.014    0.007    0.066    0.785    0.972
    10.45    51.08    1975    0.117    0.150    0.038    0.017    0.173    0.999    1.494
    10.45    51.08    1976    0.281    0.361    0.090    0.042    0.416    1.015    2.205
    10.45    51.08    1977    0.053    0.068    0.017    0.008    0.079    0.640    0.865
    10.45    51.08    1978    0.052    0.067    0.017    0.008    0.077    0.732    0.952
    10.45    51.08    1979    0.051    0.065    0.016    0.008    0.075    0.803    1.019
    10.45    51.08    1980    0.052    0.067    0.017    0.008    0.077    0.781    1.001
    10.45    51.08    1981    0.049    0.063    0.016    0.007    0.073    0.734    0.941
    10.45    51.08    1982    0.321    0.412    0.103    0.048    0.476    1.052    2.413
    10.45    51.08    1983    0.111    0.142    0.036    0.016    0.164    0.848    1.318
    10.45    51.08    1984    0.046    0.059    0.015    0.007    0.068    0.598    0.792
    10.45    51.08    1985    0.054    0.070    0.018    0.008    0.081    0.830    1.061
    10.45    51.08    1986    0.044    0.056    0.014    0.006    0.065    0.802    0.988
    10.45    51.08    1987    0.044    0.057    0.014    0.007    0.066    0.624    0.811
    10.45    51.08    1988    0.090    0.116    0.029    0.013    0.134    0.938    1.320
    10.45    51.08    1989    0.120    0.154    0.039    0.018    0.178    0.923    1.432
    10.45    51.08    1990    0.180    0.231    0.058    0.027    0.266    0.853    1.615
    10.45    51.08    1991    0.112    0.143    0.036    0.017    0.165    0.894    1.366
    10.45    51.08    1992    0.057    0.073    0.018    0.008    0.085    0.865    1.107
    10.45    51.08    1993    0.061    0.078    0.020    0.009    0.090    0.731    0.989
    10.45    51.08    1994    0.038    0.049    0.012    0.006    0.057    0.869    1.032
    10.45    51.08    1995    0.038    0.049    0.012    0.006    0.057    0.765    0.928
    10.45    51.08    1996    0.039    0.050    0.013    0.006    0.058    0.642    0.808
    10.45    51.08    1997    0.058    0.075    0.019    0.009    0.087    0.888    1.136
    10.45    51.08    1998    0.038    0.048    0.012    0.006    0.056    0.826    0.986
    10.45    51.08    1999    0.037    0.047    0.012    0.005    0.055    0.856    1.012
    10.45    51.08    2000    0.036    0.046    0.012    0.005    0.054    0.895    1.049
    10.45    51.08    2001    0.066    0.085    0.021    0.010    0.098    0.810    1.091
    10.45    51.08    2002    0.051    0.066    0.017    0.008    0.076    0.695    0.913
    10.45    51.08    2003    0.278    0.357    0.090    0.041    0.412    0.933    2.110
    10.45    51.08    2004    0.062    0.079    0.020    0.009    0.092    0.759    1.021
    10.45    51.08    2005    0.053    0.068    0.017    0.008    0.078    0.776    1.000
    10.45    51.08    2006    0.046    0.059    0.015    0.007    0.069    0.813    1.009
    10.45    51.08    2007    0.046    0.059    0.015    0.007    0.068    0.715    0.910
    10.45    51.08    2008    0.081    0.104    0.026    0.012    0.121    0.903    1.248
    10.45    51.08    2009    0.045    0.058    0.014    0.007    0.066    0.787    0.977
    10.45    51.08    2010    0.102    0.131    0.033    0.015    0.151    0.711    1.144
    10.45    51.08    2011    0.207    0.265    0.067    0.031    0.307    0.865    1.741
    10.45    51.08    2012    0.043    0.056    0.014    0.006    0.064    0.823    1.007
