      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951  10.699   8.672  10.526    29.896
    10.45    51.08    1952  10.678   8.561  10.546    29.785
    10.45    51.08    1953  10.917   8.228  10.559    29.704
    10.45    51.08    1954  11.095   8.007  10.576    29.679
    10.45    51.08    1955  11.255   7.822  10.597    29.673
    10.45    51.08    1956  11.429   7.661  10.618    29.707
    10.45    51.08    1957  11.617   7.444  10.632    29.692
    10.45    51.08    1958  11.776   7.247  10.643    29.666
    10.45    51.08    1959  11.998   6.954  10.644    29.596
    10.45    51.08    1960  12.168   6.792  10.652    29.612
    10.45    51.08    1961  12.332   6.594  10.654    29.580
    10.45    51.08    1962  12.515   6.424  10.661    29.600
    10.45    51.08    1963  12.672   6.298  10.669    29.639
    10.45    51.08    1964  12.863   6.112  10.668    29.642
    10.45    51.08    1965  13.040   5.998  10.677    29.715
    10.45    51.08    1966  13.237   5.864  10.683    29.784
    10.45    51.08    1967  13.391   5.718  10.682    29.791
    10.45    51.08    1968  13.565   5.580  10.682    29.827
    10.45    51.08    1969  13.702   5.441  10.683    29.827
    10.45    51.08    1970  13.817   5.350  10.687    29.854
    10.45    51.08    1971  13.981   5.158  10.677    29.816
    10.45    51.08    1972  14.055   5.166  10.681    29.902
    10.45    51.08    1973  14.196   5.012  10.674    29.883
    10.45    51.08    1974  14.374   4.908  10.671    29.953
    10.45    51.08    1975  11.067   8.194  10.657    29.917
    10.45    51.08    1976  11.212   7.928  10.653    29.792
    10.45    51.08    1977  11.367   7.780  10.665    29.812
    10.45    51.08    1978  11.524   7.609  10.675    29.808
    10.45    51.08    1979  11.660   7.431  10.679    29.771
    10.45    51.08    1980  11.793   7.263  10.682    29.738
    10.45    51.08    1981  11.885   7.187  10.687    29.759
    10.45    51.08    1982  12.027   6.883  10.670    29.581
    10.45    51.08    1983  12.200   6.669  10.660    29.529
    10.45    51.08    1984  11.180   7.698  10.667    29.545
    10.45    51.08    1985  11.330   7.490  10.680    29.500
    10.45    51.08    1986  11.502   7.282  10.684    29.467
    10.45    51.08    1987  11.676   7.140  10.694    29.510
    10.45    51.08    1988  11.867   6.888  10.687    29.443
    10.45    51.08    1989  12.065   6.675  10.676    29.416
    10.45    51.08    1990  12.319   6.449  10.667    29.435
    10.45    51.08    1991  12.503   6.240  10.657    29.399
    10.45    51.08    1992  12.647   6.055  10.649    29.350
    10.45    51.08    1993  12.834   5.928  10.650    29.411
    10.45    51.08    1994  12.986   5.760  10.643    29.389
    10.45    51.08    1995  13.123   5.625  10.641    29.389
    10.45    51.08    1996  13.260   5.536  10.648    29.445
    10.45    51.08    1997  13.443   5.367  10.640    29.451
    10.45    51.08    1998  13.632   5.232  10.631    29.494
    10.45    51.08    1999  13.833   5.084  10.617    29.534
    10.45    51.08    2000  14.001   4.935  10.600    29.536
    10.45    51.08    2001  14.176   4.807  10.589    29.572
    10.45    51.08    2002  14.309   4.717  10.585    29.611
    10.45    51.08    2003  14.438   4.547  10.562    29.548
    10.45    51.08    2004  14.682   4.423  10.547    29.653
    10.45    51.08    2005  14.884   4.324  10.534    29.741
    10.45    51.08    2006  15.048   4.208  10.518    29.775
    10.45    51.08    2007  15.260   4.114  10.509    29.883
    10.45    51.08    2008  15.435   3.993  10.487    29.916
    10.45    51.08    2009  15.621   3.895  10.473    29.990
    10.45    51.08    2010  15.757   3.841  10.470    30.068
    10.45    51.08    2011  15.973   3.730  10.452    30.155
    10.45    51.08    2012  16.159   3.636  10.434    30.229
