      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.379  11.060  19.623  18.056   8.340  47.209  23.952  29.763  13.295   4.811   6.009   5.361
    10.45    51.08    1952   3.730   2.829  23.356  30.381  31.149  16.603   4.888   2.466  18.856  14.671   6.970   3.503
    10.45    51.08    1953   0.127   4.569  20.731  10.197   8.547  21.527  29.007  13.744   3.673   2.790   3.766   2.455
    10.45    51.08    1954   3.793   8.666  18.307  22.776  13.274   9.282  26.993  26.010  13.009  11.064   4.485   4.210
    10.45    51.08    1955   0.621   5.146   8.913  26.687  13.667  14.426  27.712  33.398  14.104   6.075   4.614   4.711
    10.45    51.08    1956   6.285   0.000  19.229  25.814  22.207  31.994  44.155  24.091  10.333   6.727   4.376   3.395
    10.45    51.08    1957   5.910  10.856  18.677  14.203  12.836  18.319  24.134  21.745  10.468  12.483   7.849   4.251
    10.45    51.08    1958   6.478   9.771  10.376  23.923  26.032  29.936  30.864  20.709   9.314   9.462   5.875   5.044
    10.45    51.08    1959   6.681   8.658  13.463  14.873  13.308  18.889   2.253  14.641   3.597   0.467   5.931   3.810
    10.45    51.08    1960   4.122   9.823  15.643  14.846  25.339  16.639   5.985  14.347  15.919  12.961   6.693   1.833
    10.45    51.08    1961   1.201  13.298  14.325  25.057  31.993  37.160   6.053   9.813   5.005   1.045   2.109   3.592
    10.45    51.08    1962   6.508  10.369   8.167  24.627  16.280   6.887  12.776   6.154   6.780   1.962   0.584   1.575
    10.45    51.08    1963   0.000   0.000  17.248  25.322  14.419  16.591  23.018  26.655   9.759   8.088   5.267   3.914
    10.45    51.08    1964   3.038  10.768  13.446  25.395  32.855  17.373   9.913  10.330   5.028   3.216   3.252   2.789
    10.45    51.08    1965   5.213   0.000  12.469  21.567  24.244  30.727  17.188  16.427   9.944   3.685   1.335   4.678
    10.45    51.08    1966   3.812   8.754  16.239  21.915  15.567  18.385  40.380  23.066  14.716   5.370   6.876   4.935
    10.45    51.08    1967   5.703  10.043  19.018  18.106  14.122  31.695  18.833  13.151  17.332   9.701   3.997   3.620
    10.45    51.08    1968   3.968  10.279  23.209  17.188  19.834  14.606   8.372   8.748  12.052  12.059   5.709   2.749
    10.45    51.08    1969   4.676   2.784   0.000  29.218  35.453  38.020  13.075   6.171  20.464   5.303   3.073   1.240
    10.45    51.08    1970   0.000   2.209  13.232  31.852  28.294  13.210  10.674  31.500  12.831   7.158   5.689   4.065
    10.45    51.08    1971   2.890   7.948  12.832  16.441  16.132  18.553   6.996   1.314   2.278   4.263   3.649   4.946
    10.45    51.08    1972   3.414   7.237  24.092  17.610  22.786  30.743  25.063  38.655  11.094   4.264   4.029   4.634
    10.45    51.08    1973   4.748   9.293  20.618  17.664  19.102   9.408   7.774   8.034   9.253  10.532   7.064   4.886
    10.45    51.08    1974   6.322   9.400  19.389  13.065  16.213  22.105  29.114  14.294   9.081   5.986   7.958   5.972
    10.45    51.08    1975   7.144  10.072  19.993  28.699  23.910  18.263  18.622   4.733   6.970   3.994   3.170   2.508
    10.45    51.08    1976   6.056   9.195  13.984  15.134  10.603  26.076   2.246   3.130   1.217   4.448   3.017   3.074
    10.45    51.08    1977   3.834   9.143  20.345  20.123  13.930  22.132  30.977  31.517  18.243   9.263   8.459   5.149
    10.45    51.08    1978   5.557   5.046  17.451  14.720  19.426   8.217  14.729  15.729  11.368  12.787   4.343   3.306
    10.45    51.08    1979   0.000   0.000  16.219  29.656  24.298  14.942  21.789  12.102   6.995   4.219   5.521   5.639
    10.45    51.08    1980   4.740  10.254  11.351  20.147  21.524  13.258  15.936   5.103   4.968   6.360   4.002   3.579
    10.45    51.08    1981   2.402   7.784  23.237  16.485  33.809  27.543   8.979  24.381   9.807  14.034   8.664   1.727
    10.45    51.08    1982   5.319  10.232  16.061  13.600  18.304   5.309   7.489   5.949   0.403   3.790   2.239   1.884
    10.45    51.08    1983   3.409   5.238  13.351  37.017  26.911  21.037   5.840  12.928   8.295   3.822   1.257   1.499
    10.45    51.08    1984   3.336   8.373  16.659  32.427  30.873  30.812  19.530  25.116  16.278  12.902   6.129   5.212
    10.45    51.08    1985   2.195   9.268  14.142  20.054  10.665  16.183  16.455  13.287   8.443   1.853   0.575   3.193
