      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.266   0.329   0.662   0.606   1.909   7.994   2.327   4.070   2.103   0.551   1.056   0.181
    10.45    51.08    1952   0.428   0.267   1.338   1.603   4.030   2.244   1.101   2.124   5.208   3.224   1.869   0.304
    10.45    51.08    1953   0.353   0.308   0.091   0.813   2.592   5.537   3.034   2.349   1.142   1.242   0.081   0.254
    10.45    51.08    1954   0.408   0.322   0.234   1.505   1.504   2.601   6.380   4.122   2.552   2.142   0.692   0.376
    10.45    51.08    1955   0.304   0.533   0.480   1.114   2.278   3.479   5.474   3.220   2.622   1.188   0.312   0.430
    10.45    51.08    1956   0.342   0.313   0.462   1.945   2.067   7.106   8.557   4.691   1.337   2.580   1.003   0.275
    10.45    51.08    1957   0.300   0.675   1.015   1.010   3.001   3.875   5.333   2.726   3.642   0.924   0.290   0.256
    10.45    51.08    1958   0.399   0.895   1.251   1.134   4.461   3.560   4.115   4.652   2.968   1.954   1.014   0.331
    10.45    51.08    1959   0.328   0.086   0.520   2.014   2.909   2.804   0.929   3.159   0.032   1.164   0.394   0.210
    10.45    51.08    1960   0.514   0.247   0.430   1.366   3.489   1.780   2.907   4.306   2.602   3.145   1.234   0.332
    10.45    51.08    1961   0.294   0.466   0.780   4.763   6.257   4.684   2.832   2.616   1.403   0.856   0.278   0.379
    10.45    51.08    1962   0.330   0.418   0.482   0.841   3.025   0.940   4.016   1.914   1.611   0.458   0.337   0.278
    10.45    51.08    1963   0.302   0.218   0.650   0.941   1.765   5.606   2.088   6.573   2.284   1.521   1.710   0.098
    10.45    51.08    1964   0.153   0.338   0.418   1.749   3.603   2.572   2.514   2.825   1.540   1.308   0.352   0.122
    10.45    51.08    1965   0.388   0.307   0.354   1.642   1.628   5.143   3.670   2.497   2.453   0.509   0.968   0.428
    10.45    51.08    1966   0.260   0.335   0.739   2.273   3.094   5.420   5.109   4.017   1.163   2.180   0.560   0.446
    10.45    51.08    1967   0.287   0.259   1.046   0.862   2.756   5.330   2.735   3.720   3.449   1.662   0.484   0.296
    10.45    51.08    1968   0.265   0.547   0.409   2.384   2.241   3.823   2.405   3.293   3.098   1.959   0.552   0.186
    10.45    51.08    1969   0.226   0.477   0.528   1.399   4.683   5.340   0.613   4.650   1.779   0.708   0.975   0.187
    10.45    51.08    1970   0.201   0.522   0.320   1.116   3.910   2.717   2.472   6.065   1.111   2.669   1.393   0.346
    10.45    51.08    1971   0.096   0.247   0.217   1.322   2.046   4.016   0.736   2.228   1.462   1.297   0.708   0.157
    10.45    51.08    1972   0.087   0.022   0.382   1.013   3.482   4.183   4.774   4.940   1.399   0.983   0.735   0.023
    10.45    51.08    1973   0.184   0.347   0.165   0.576   2.092   2.430   3.336   1.419   2.507   1.933   0.555   0.214
    10.45    51.08    1974   0.153   0.373   0.530   0.654   3.196   4.953   3.805   2.868   1.538   2.690   0.161   0.421
    10.45    51.08    1975   0.102   0.207   0.345   0.849   2.624   4.138   1.673   2.267   1.638   1.560   0.335   0.089
    10.45    51.08    1976   0.446   0.080   0.149   0.552   2.045   2.605   1.444   1.861   1.829   1.158   0.774   0.117
    10.45    51.08    1977   0.203   0.287   0.837   0.744   1.562   4.408   3.256   5.828   1.699   1.463   1.292   0.193
    10.45    51.08    1978   0.122   0.174   0.293   0.436   2.959   1.333   2.844   3.237   3.193   1.077   0.036   0.243
    10.45    51.08    1979   0.191   0.283   0.744   0.815   1.806   3.576   3.165   1.276   2.349   0.408   1.236   0.249
    10.45    51.08    1980   0.205   0.249   0.195   1.149   1.315   3.281   2.925   0.988   2.558   1.118   0.331   0.212
    10.45    51.08    1981   0.319   0.164   0.866   1.066   3.693   2.867   1.713   4.000   1.654   1.608   0.324   0.291
    10.45    51.08    1982   0.174   0.033   0.171   0.518   1.424   2.189   2.521   0.865   0.547   1.799   0.581   0.170
