      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   5.850  11.779  25.156  66.786  85.997 114.574 119.518  98.686  66.333  31.166  10.329   5.148
    10.45    51.08    1952   5.459   8.925  24.758  69.889  95.929 114.068 130.155 100.417  47.160  26.213   9.005   4.024
    10.45    51.08    1953   4.712  10.294  41.644  75.922 109.184  98.224 115.288 100.751  64.975  31.379   8.964   5.268
    10.45    51.08    1954   4.790   8.215  29.019  53.408 103.174 112.877  87.764  90.621  58.906  31.399  10.896   5.094
    10.45    51.08    1955   5.298   8.763  22.185  55.629  92.981 102.757  95.814  80.972  58.987  28.978   8.468   4.960
    10.45    51.08    1956   5.897   5.223  26.934  46.839 104.722  89.154 108.184  87.577  59.604  30.132   8.148   4.854
    10.45    51.08    1957   5.775  12.405  35.287  62.402  89.004 132.084 110.948  88.472  52.658  27.402   8.543   4.301
    10.45    51.08    1958   5.603  12.525  18.962  43.399  95.960 100.595 116.848 105.267  67.239  30.787   8.316   4.818
    10.45    51.08    1959   6.068  10.311  31.928  67.763  98.453 118.586 131.622  90.967  75.292  36.500   8.095   4.313
    10.45    51.08    1960   5.483   9.253  22.677  54.271  92.062 124.839 106.730  88.555  54.000  27.649  10.998   4.351
    10.45    51.08    1961   4.571  15.201  32.313  54.905  77.149 115.242 100.026  88.375  70.376  31.987   7.256   4.286
    10.45    51.08    1962   6.111   9.223  20.584  53.901  74.262 113.069  98.190  94.786  62.937  29.462   8.207   3.691
    10.45    51.08    1963   3.243   6.084  23.777  51.767  93.499 107.234 121.256  93.840  61.217  26.862  11.804   3.443
    10.45    51.08    1964   4.398  10.296  17.709  54.375 106.179 138.654 127.449  93.829  64.763  25.243   7.187   4.125
    10.45    51.08    1965   5.511   7.324  22.204  50.706  85.147 107.830  98.923  96.410  57.683  29.723   7.125   4.489
    10.45    51.08    1966   4.423  12.076  25.365  52.458 105.888 120.732  95.010  91.561  55.067  31.819   7.124   4.361
    10.45    51.08    1967   5.665  12.072  32.078  48.917 102.874 101.276 133.019  90.186  53.767  33.062   9.156   4.027
    10.45    51.08    1968   4.610   9.471  30.745  68.741  81.486 109.173 114.713  87.632  52.404  26.874   8.793   3.150
    10.45    51.08    1969   5.254   8.148  14.611  49.687  92.795 110.065 124.198  96.168  60.964  29.243  10.958   2.740
    10.45    51.08    1970   4.117   8.295  20.809  39.452  81.461 126.914 111.317  88.548  63.798  24.490  10.346   4.221
    10.45    51.08    1971   5.383   9.200  20.123  55.301  93.049  89.869 135.951 110.591  61.329  34.208   9.118   4.643
    10.45    51.08    1972   4.113   9.191  33.668  46.497  82.845 110.054 104.883  86.697  50.096  27.586   9.802   4.544
    10.45    51.08    1973   4.847   9.766  26.846  40.266  92.152 107.541 110.041 106.815  62.675  27.836   9.385   4.095
    10.45    51.08    1974   6.027   9.921  28.248  60.890  81.469  98.703  97.286  93.204  63.209  20.576   7.637   5.271
    10.45    51.08    1975   6.829  10.046  25.015  50.435  88.982  94.569 118.218 115.552  62.172  24.077   8.180   3.852
    10.45    51.08    1976   5.371   9.102  22.029  53.926 103.099 122.759 135.735  99.582  49.346  27.821   9.416   4.043
    10.45    51.08    1977   5.339  11.594  28.333  46.553  94.299  86.429 104.564  76.654  52.420  29.388  10.958   4.321
    10.45    51.08    1978   5.131   8.428  27.601  50.953  79.948  98.687 101.716  88.467  49.591  28.573   8.831   3.954
    10.45    51.08    1979   4.042   7.372  23.464  43.159  94.687 110.629  91.137  88.396  61.082  29.825   9.149   4.988
    10.45    51.08    1980   4.240  11.160  18.767  45.566  94.463 102.853  85.545  97.928  60.943  27.623   7.017   4.045
    10.45    51.08    1981   4.954   7.852  30.906  56.595  91.760  99.083  93.207  88.167  58.921  27.390   8.540   3.374
