      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.849   0.866   0.831   0.547   0.371   0.753   0.537   0.660   0.531   0.500   0.841   0.909
    10.45    51.08    1952   0.914   0.929   0.913   0.748   0.692   0.462   0.200   0.155   0.765   0.923   0.924   0.939
    10.45    51.08    1953   0.922   0.945   0.725   0.424   0.326   0.514   0.606   0.447   0.287   0.373   0.617   0.611
    10.45    51.08    1954   0.802   0.883   0.759   0.670   0.426   0.341   0.642   0.665   0.582   0.732   0.726   0.808
    10.45    51.08    1955   0.942   0.931   0.921   0.734   0.463   0.449   0.645   0.797   0.613   0.569   0.795   0.861
    10.45    51.08    1956   0.911   0.862   0.836   0.729   0.566   0.736   0.801   0.644   0.518   0.598   0.784   0.801
    10.45    51.08    1957   0.898   0.847   0.743   0.551   0.446   0.452   0.593   0.612   0.561   0.837   0.886   0.905
    10.45    51.08    1958   0.928   0.851   0.899   0.753   0.627   0.677   0.629   0.541   0.472   0.724   0.915   0.900
    10.45    51.08    1959   0.915   0.821   0.638   0.543   0.462   0.499   0.123   0.411   0.249   0.108   0.772   0.818
    10.45    51.08    1960   0.886   0.895   0.780   0.538   0.627   0.453   0.281   0.497   0.687   0.885   0.873   0.900
    10.45    51.08    1961   0.940   0.881   0.653   0.772   0.817   0.736   0.309   0.422   0.334   0.226   0.474   0.817
    10.45    51.08    1962   0.904   0.902   0.916   0.696   0.556   0.301   0.395   0.317   0.406   0.312   0.322   0.576
    10.45    51.08    1963   0.675   0.679   0.849   0.722   0.483   0.467   0.527   0.666   0.500   0.671   0.774   0.890
    10.45    51.08    1964   0.880   0.877   0.767   0.711   0.676   0.405   0.318   0.413   0.350   0.466   0.620   0.707
    10.45    51.08    1965   0.845   0.894   0.901   0.645   0.617   0.621   0.514   0.510   0.515   0.430   0.628   0.909
    10.45    51.08    1966   0.908   0.932   0.752   0.690   0.475   0.488   0.818   0.635   0.638   0.544   0.917   0.920
    10.45    51.08    1967   0.921   0.819   0.742   0.622   0.423   0.685   0.472   0.470   0.713   0.685   0.711   0.793
    10.45    51.08    1968   0.921   0.889   0.851   0.560   0.608   0.449   0.329   0.396   0.604   0.826   0.818   0.787
    10.45    51.08    1969   0.801   0.819   0.903   0.827   0.741   0.728   0.390   0.276   0.711   0.531   0.636   0.716
    10.45    51.08    1970   0.746   0.936   0.901   0.824   0.683   0.400   0.376   0.738   0.555   0.672   0.893   0.875
    10.45    51.08    1971   0.856   0.789   0.704   0.565   0.489   0.555   0.235   0.105   0.241   0.440   0.699   0.889
    10.45    51.08    1972   0.828   0.826   0.791   0.630   0.627   0.658   0.584   0.835   0.584   0.475   0.722   0.853
    10.45    51.08    1973   0.819   0.885   0.822   0.625   0.522   0.358   0.321   0.319   0.490   0.771   0.903   0.912
    10.45    51.08    1974   0.885   0.839   0.809   0.491   0.539   0.577   0.679   0.493   0.453   0.663   0.886   0.924
    10.45    51.08    1975   0.896   0.835   0.779   0.744   0.613   0.524   0.492   0.224   0.418   0.513   0.625   0.676
    10.45    51.08    1976   0.894   0.863   0.693   0.527   0.380   0.559   0.142   0.208   0.169   0.490   0.612   0.727
    10.45    51.08    1977   0.725   0.764   0.801   0.684   0.473   0.537   0.669   0.793   0.706   0.686   0.902   0.920
    10.45    51.08    1978   0.872   0.822   0.735   0.547   0.568   0.334   0.459   0.512   0.591   0.797   0.689   0.767
    10.45    51.08    1979   0.845   0.871   0.912   0.806   0.579   0.421   0.590   0.439   0.426   0.448   0.780   0.916
