      Lon      Lat    Year     Veg    Repr    Soil    Fire     Est       NEE
    10.45    51.08    1951  -0.496   0.050   0.372   0.000   0.000  -0.07414
    10.45    51.08    1952  -0.474   0.047   0.414   0.000   0.000  -0.01342
    10.45    51.08    1953  -0.525   0.053   0.471   0.000   0.000  -0.00175
    10.45    51.08    1954  -0.456   0.046   0.369   0.000  -0.000  -0.04140
    10.45    51.08    1955  -0.442   0.044   0.362   0.000   0.000  -0.03621
    10.45    51.08    1956  -0.454   0.045   0.346   0.000   0.000  -0.06316
    10.45    51.08    1957  -0.499   0.050   0.406   0.000   0.000  -0.04324
    10.45    51.08    1958  -0.457   0.046   0.388   0.000   0.000  -0.02343
    10.45    51.08    1959  -0.537   0.054   0.528   0.000   0.000   0.04462
    10.45    51.08    1960  -0.472   0.047   0.424   0.000  -0.000  -0.00017
    10.45    51.08    1961  -0.485   0.048   0.488   0.000   0.000   0.05176
    10.45    51.08    1962  -0.484   0.048   0.419   0.000   0.000  -0.01679
    10.45    51.08    1963  -0.502   0.050   0.396   0.000   0.000  -0.05611
    10.45    51.08    1964  -0.517   0.052   0.462   0.000   0.000  -0.00273
    10.45    51.08    1965  -0.479   0.048   0.359   0.000   0.000  -0.07180
    10.45    51.08    1966  -0.500   0.050   0.452   0.000   0.000   0.00265
    10.45    51.08    1967  -0.472   0.047   0.493   0.000  -0.000   0.06772
    10.45    51.08    1968  -0.484   0.048   0.468   0.000  -0.000   0.03226
    10.45    51.08    1969  -0.464   0.046   0.446   0.000   0.000   0.02800
    10.45    51.08    1970  -0.454   0.045   0.420   0.000   0.000   0.01124
    10.45    51.08    1971  -0.483   0.048   0.508   0.000   0.000   0.07303
    10.45    51.08    1972  -0.463   0.046   0.366   0.000   0.000  -0.05043
    10.45    51.08    1973  -0.445   0.044   0.474   0.000   0.000   0.07331
    10.45    51.08    1974  -0.477   0.048   0.404   0.000   0.000  -0.02555
    10.45    51.08    1975  -0.427   0.043   0.477   0.000   0.000   0.09239
    10.45    51.08    1976  -0.465   0.047   0.489   0.000   0.000   0.07024
    10.45    51.08    1977  -0.440   0.044   0.358   0.000   0.000  -0.03820
    10.45    51.08    1978  -0.436   0.044   0.388   0.000   0.000  -0.00425
    10.45    51.08    1979  -0.404   0.040   0.398   0.000  -0.000   0.03447
    10.45    51.08    1980  -0.413   0.041   0.397   0.000   0.000   0.02558
    10.45    51.08    1981  -0.455   0.045   0.415   0.000   0.000   0.00619
    10.45    51.08    1982  -0.421   0.042   0.569   0.000   0.000   0.18961
    10.45    51.08    1983  -0.471   0.047   0.486   0.000   0.000   0.06261
    10.45    51.08    1984  -0.375   0.038   0.348   0.000   0.000   0.01029
    10.45    51.08    1985  -0.472   0.047   0.447   0.000   0.000   0.02222
    10.45    51.08    1986  -0.446   0.045   0.409   0.000   0.000   0.00751
    10.45    51.08    1987  -0.433   0.043   0.337   0.000   0.000  -0.05260
    10.45    51.08    1988  -0.452   0.045   0.478   0.000   0.000   0.07151
    10.45    51.08    1989  -0.513   0.051   0.473   0.000   0.000   0.01137
    10.45    51.08    1990  -0.534   0.053   0.444   0.000   0.000  -0.03685
    10.45    51.08    1991  -0.466   0.047   0.446   0.000   0.000   0.02617
    10.45    51.08    1992  -0.409   0.041   0.428   0.000   0.000   0.05984
    10.45    51.08    1993  -0.481   0.048   0.371   0.000   0.000  -0.06144
    10.45    51.08    1994  -0.436   0.044   0.413   0.000  -0.000   0.02144
    10.45    51.08    1995  -0.424   0.042   0.373   0.000   0.000  -0.00799
    10.45    51.08    1996  -0.410   0.041   0.309   0.000   0.000  -0.05986
    10.45    51.08    1997  -0.448   0.045   0.408   0.000   0.000   0.00471
    10.45    51.08    1998  -0.447   0.045   0.381   0.000   0.000  -0.02123
    10.45    51.08    1999  -0.472   0.047   0.446   0.000   0.000   0.02132
    10.45    51.08    2000  -0.442   0.044   0.465   0.000   0.000   0.06714
    10.45    51.08    2001  -0.450   0.045   0.428   0.000   0.000   0.02289
    10.45    51.08    2002  -0.404   0.040   0.388   0.000   0.000   0.02435
    10.45    51.08    2003  -0.448   0.045   0.484   0.000   0.000   0.08001
    10.45    51.08    2004  -0.516   0.052   0.418   0.000   0.000  -0.04672
    10.45    51.08    2005  -0.500   0.050   0.405   0.000   0.000  -0.04473
    10.45    51.08    2006  -0.474   0.047   0.421   0.000   0.000  -0.00572
    10.45    51.08    2007  -0.473   0.047   0.385   0.000   0.000  -0.04013
    10.45    51.08    2008  -0.454   0.045   0.433   0.000   0.000   0.02427
    10.45    51.08    2009  -0.447   0.045   0.397   0.000   0.000  -0.00470
    10.45    51.08    2010  -0.438   0.044   0.347   0.000   0.000  -0.04761
    10.45    51.08    2011  -0.507   0.051   0.421   0.000   0.000  -0.03478
    10.45    51.08    2012  -0.445   0.045   0.395   0.000   0.000  -0.00560
