      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951  10.525   7.908  13.095    31.528
    10.45    51.08    1952  10.783   7.657  13.101    31.542
    10.45    51.08    1953  11.082   7.367  13.094    31.543
    10.45    51.08    1954  10.110   8.378  13.096    31.585
    10.45    51.08    1955  10.248   8.259  13.114    31.621
    10.45    51.08    1956  10.393   8.162  13.128    31.684
    10.45    51.08    1957  10.670   7.923  13.135    31.727
    10.45    51.08    1958   8.298  10.314  13.139    31.751
    10.45    51.08    1959   8.580   9.968  13.159    31.706
    10.45    51.08    1960   8.825   9.707  13.175    31.706
    10.45    51.08    1961   9.039   9.430  13.186    31.655
    10.45    51.08    1962   9.260   9.213  13.199    31.671
    10.45    51.08    1963   9.478   9.036  13.213    31.728
    10.45    51.08    1964   9.757   8.754  13.219    31.730
    10.45    51.08    1965   6.947  11.622  13.232    31.802
    10.45    51.08    1966   7.234  11.295  13.271    31.799
    10.45    51.08    1967   7.446  10.992  13.294    31.732
    10.45    51.08    1968   7.702  10.682  13.315    31.699
    10.45    51.08    1969   7.878  10.458  13.335    31.671
    10.45    51.08    1970   8.098  10.207  13.356    31.660
    10.45    51.08    1971   8.341   9.879  13.367    31.587
    10.45    51.08    1972   8.561   9.691  13.386    31.638
    10.45    51.08    1973   8.763   9.406  13.396    31.564
    10.45    51.08    1974   8.875   9.307  13.408    31.590
    10.45    51.08    1975   9.059   9.027  13.412    31.497
    10.45    51.08    1976   9.218   8.800  13.409    31.427
    10.45    51.08    1977   9.353   8.693  13.420    31.465
    10.45    51.08    1978   9.544   8.496  13.429    31.470
    10.45    51.08    1979   9.708   8.294  13.433    31.435
    10.45    51.08    1980   7.910  10.065  13.434    31.410
    10.45    51.08    1981   8.136   9.817  13.450    31.403
    10.45    51.08    1982   8.205   9.564  13.444    31.214
    10.45    51.08    1983   8.380   9.328  13.443    31.151
    10.45    51.08    1984   8.510   9.175  13.455    31.141
    10.45    51.08    1985   8.746   8.916  13.457    31.119
    10.45    51.08    1986   8.953   8.700  13.458    31.111
    10.45    51.08    1987   9.146   8.550  13.468    31.164
    10.45    51.08    1988   9.356   8.277  13.458    31.092
    10.45    51.08    1989   9.619   8.019  13.443    31.081
    10.45    51.08    1990   9.850   7.837  13.431    31.118
    10.45    51.08    1991  10.015   7.659  13.417    31.092
    10.45    51.08    1992  10.174   7.451  13.407    31.032
    10.45    51.08    1993  10.335   7.353  13.405    31.093
    10.45    51.08    1994  10.518   7.160  13.394    31.072
    10.45    51.08    1995  10.690   7.001  13.389    31.080
    10.45    51.08    1996  10.851   6.894  13.394    31.140
    10.45    51.08    1997  11.048   6.704  13.383    31.135
    10.45    51.08    1998   8.863   8.922  13.371    31.156
    10.45    51.08    1999   9.092   8.673  13.369    31.135
    10.45    51.08    2000   9.227   8.477  13.364    31.068
    10.45    51.08    2001   9.432   8.252  13.361    31.045
    10.45    51.08    2002   9.593   8.064  13.363    31.020
    10.45    51.08    2003   9.796   7.797  13.347    30.940
    10.45    51.08    2004   9.993   7.656  13.338    30.987
    10.45    51.08    2005  10.236   7.465  13.331    31.032
    10.45    51.08    2006  10.453   7.264  13.321    31.038
    10.45    51.08    2007  10.602   7.160  13.315    31.078
    10.45    51.08    2008  10.798   6.954  13.301    31.053
    10.45    51.08    2009  10.987   6.781  13.291    31.058
    10.45    51.08    2010  11.169   6.648  13.289    31.106
    10.45    51.08    2011  11.412   6.455  13.273    31.140
    10.45    51.08    2012  11.598   6.290  13.258    31.146
