      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   1.915  20.693  42.468  52.883  60.699  47.534  32.032  14.715   2.489   0.000
    10.45    51.08    1952   0.000   0.000   0.513  24.658  45.369  56.170  63.058  42.670  18.124   9.296   0.823   0.000
    10.45    51.08    1953   0.000   0.121   6.516  36.574  53.970  44.815  56.123  49.324  31.629  13.685   0.838   0.000
    10.45    51.08    1954   0.000   0.000   1.577  15.402  51.939  56.857  39.626  43.378  27.632  13.269   3.313   0.000
    10.45    51.08    1955   0.000   0.000   1.290  16.642  44.387  48.667  42.388  36.812  26.676  12.221   2.206   0.000
    10.45    51.08    1956   0.000   0.000   0.738  10.828  49.265  38.348  46.947  40.126  28.074  11.859   1.479   0.000
    10.45    51.08    1957   0.002   0.087   9.212  27.817  41.842  62.865  49.710  41.748  22.500  11.503   0.050   0.000
    10.45    51.08    1958   0.000   0.535   1.419  12.111  43.504  47.914  56.475  50.148  31.405  12.822   1.567   0.000
    10.45    51.08    1959   0.000   0.008   5.880  26.837  43.399  52.414  53.696  38.580  34.534  15.032   0.097   0.000
    10.45    51.08    1960   0.000   0.000   1.990  15.087  38.223  57.837  48.445  38.362  22.572   9.550   2.378   0.000
    10.45    51.08    1961   0.000   0.092   6.388  20.409  31.998  51.914  44.967  40.287  32.300  13.391   0.000   0.000
    10.45    51.08    1962   0.000   0.001   0.278  12.735  32.193  54.989  44.700  44.859  29.079  12.650   1.950   0.000
    10.45    51.08    1963   0.000   0.000   0.611  13.667  43.881  48.472  58.188  40.607  27.711  10.595   2.833   0.000
    10.45    51.08    1964   0.000   0.000   0.032  12.989  49.401  66.749  60.380  43.307  30.067   9.873   0.479   0.000
    10.45    51.08    1965   0.009   0.000   0.564  12.732  37.099  48.797  45.354  45.781  25.740  12.846   1.078   0.000
    10.45    51.08    1966   0.000   1.174   3.209  16.743  44.470  48.825  37.283  36.781  22.378  11.288   0.291   0.000
    10.45    51.08    1967   0.000   0.387   5.383  12.712  41.328  41.116  57.526  36.943  20.580  12.394   1.945   0.000
