      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.004   0.053   0.169   0.205   0.199   0.161   0.121   0.075   0.018   0.000
    10.45    51.08    1952   0.000   0.000   0.001   0.080   0.191   0.204   0.181   0.135   0.095   0.055   0.009   0.000
    10.45    51.08    1953   0.000   0.000   0.015   0.133   0.185   0.169   0.185   0.169   0.125   0.070   0.005   0.000
    10.45    51.08    1954   0.000   0.000   0.003   0.038   0.186   0.196   0.164   0.157   0.110   0.071   0.020   0.000
    10.45    51.08    1955   0.000   0.000   0.002   0.037   0.177   0.186   0.157   0.137   0.112   0.064   0.013   0.000
    10.45    51.08    1956   0.000   0.000   0.001   0.027   0.176   0.164   0.176   0.163   0.119   0.063   0.010   0.000
    10.45    51.08    1957   0.000   0.000   0.027   0.101   0.174   0.208   0.160   0.159   0.104   0.063   0.001   0.000
    10.45    51.08    1958   0.000   0.001   0.003   0.032   0.164   0.174   0.199   0.176   0.125   0.067   0.012   0.000
    10.45    51.08    1959   0.000   0.000   0.015   0.095   0.182   0.191   0.163   0.141   0.145   0.078   0.001   0.000
    10.45    51.08    1960   0.000   0.000   0.004   0.040   0.154   0.204   0.190   0.151   0.105   0.055   0.016   0.000
    10.45    51.08    1961   0.000   0.000   0.017   0.088   0.153   0.196   0.171   0.157   0.120   0.069   0.000   0.000
    10.45    51.08    1962   0.000   0.000   0.000   0.033   0.142   0.202   0.182   0.173   0.127   0.062   0.011   0.000
    10.45    51.08    1963   0.000   0.000   0.001   0.041   0.177   0.197   0.206   0.162   0.122   0.058   0.022   0.000
    10.45    51.08    1964   0.000   0.000   0.000   0.041   0.200   0.236   0.210   0.166   0.131   0.053   0.003   0.000
    10.45    51.08    1965   0.000   0.000   0.001   0.033   0.152   0.201   0.185   0.190   0.125   0.066   0.007   0.000
    10.45    51.08    1966   0.000   0.003   0.007   0.060   0.195   0.192   0.169   0.158   0.108   0.061   0.001   0.000
    10.45    51.08    1967   0.000   0.001   0.012   0.035   0.169   0.183   0.211   0.156   0.104   0.069   0.011   0.000
    10.45    51.08    1968   0.000   0.000   0.007   0.066   0.165   0.199   0.203   0.155   0.104   0.056   0.008   0.000
    10.45    51.08    1969   0.000   0.000   0.000   0.018   0.162   0.201   0.204   0.150   0.125   0.068   0.021   0.000
    10.45    51.08    1970   0.000   0.000   0.000   0.014   0.138   0.221   0.203   0.161   0.131   0.048   0.018   0.001
    10.45    51.08    1971   0.000   0.000   0.001   0.039   0.157   0.181   0.235   0.172   0.132   0.071   0.014   0.000
    10.45    51.08    1972   0.000   0.000   0.007   0.044   0.158   0.220   0.180   0.166   0.107   0.052   0.015   0.000
    10.45    51.08    1973   0.000   0.000   0.002   0.013   0.161   0.207   0.196   0.193   0.122   0.054   0.010   0.000
    10.45    51.08    1974   0.000   0.001   0.018   0.085   0.171   0.203   0.195   0.167   0.131   0.032   0.000   0.000
    10.45    51.08    1975   0.000   0.000   0.001   0.031   0.169   0.190   0.208   0.193   0.124   0.045   0.009   0.000
    10.45    51.08    1976   0.000   0.000   0.001   0.038   0.187   0.219   0.197   0.195   0.107   0.059   0.012   0.000
    10.45    51.08    1977   0.000   0.000   0.017   0.047   0.202   0.167   0.198   0.147   0.107   0.066   0.015   0.000
    10.45    51.08    1978   0.000   0.000   0.006   0.043   0.149   0.199   0.199   0.170   0.107   0.063   0.005   0.000
    10.45    51.08    1979   0.000   0.000   0.000   0.020   0.133   0.203   0.185   0.177   0.124   0.061   0.008   0.000
    10.45    51.08    1980   0.000   0.000   0.001   0.019   0.140   0.210   0.172   0.183   0.127   0.060   0.000   0.000
    10.45    51.08    1981   0.000   0.000   0.020   0.077   0.168   0.184   0.172   0.160   0.122   0.053   0.001   0.000
    10.45    51.08    1982   0.000   0.000   0.001   0.032   0.148   0.200   0.196   0.176   0.135   0.060   0.023   0.000
    10.45    51.08    1983   0.000   0.000   0.005   0.061   0.161   0.208   0.216   0.173   0.129   0.061   0.012   0.000
    10.45    51.08    1984   0.000   0.000   0.000   0.020   0.112   0.190   0.188   0.166   0.100   0.066   0.011   0.000
    10.45    51.08    1985   0.000   0.000   0.000   0.046   0.169   0.186   0.225   0.180   0.126   0.057   0.006   0.000
    10.45    51.08    1986   0.000   0.000   0.001   0.017   0.178   0.201   0.202   0.174   0.115   0.074   0.021   0.000
    10.45    51.08    1987   0.000   0.000   0.000   0.049   0.154   0.178   0.206   0.165   0.119   0.061   0.010   0.000
    10.45    51.08    1988   0.000   0.000   0.000   0.035   0.201   0.191   0.215   0.192   0.121   0.064   0.009   0.000
    10.45    51.08    1989   0.000   0.000   0.012   0.056   0.240   0.224   0.207   0.184   0.122   0.074   0.010   0.000
    10.45    51.08    1990   0.000   0.003   0.040   0.080   0.257   0.193   0.228   0.188   0.109   0.068   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.015   0.078   0.143   0.214   0.222   0.180   0.146   0.069   0.005   0.000
    10.45    51.08    1992   0.000   0.000   0.004   0.047   0.221   0.197   0.211   0.174   0.134   0.036   0.001   0.000
    10.45    51.08    1993   0.000   0.000   0.011   0.097   0.218   0.209   0.202   0.188   0.110   0.049   0.001   0.000
    10.45    51.08    1994   0.000   0.000   0.013   0.065   0.208   0.221   0.214   0.177   0.128   0.049   0.014   0.000
    10.45    51.08    1995   0.000   0.000   0.003   0.052   0.185   0.186   0.219   0.200   0.108   0.075   0.006   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.044   0.141   0.217   0.206   0.173   0.091   0.058   0.014   0.000
    10.45    51.08    1997   0.000   0.001   0.016   0.048   0.185   0.220   0.196   0.187   0.150   0.050   0.006   0.000
    10.45    51.08    1998   0.000   0.003   0.017   0.097   0.218   0.212   0.190   0.178   0.109   0.042   0.000   0.000
    10.45    51.08    1999   0.000   0.000   0.007   0.070   0.214   0.216   0.200   0.178   0.143   0.050   0.009   0.000
    10.45    51.08    2000   0.000   0.000   0.009   0.080   0.224   0.208   0.165   0.191   0.115   0.069   0.009   0.000
    10.45    51.08    2001   0.000   0.000   0.004   0.045   0.227   0.194   0.225   0.176   0.099   0.080   0.008   0.000
    10.45    51.08    2002   0.000   0.003   0.023   0.076   0.186   0.212   0.179   0.166   0.122   0.041   0.000   0.000
    10.45    51.08    2003   0.000   0.000   0.006   0.061   0.200   0.251   0.205   0.197   0.137   0.036   0.005   0.000
    10.45    51.08    2004   0.000   0.000   0.018   0.107   0.183   0.216   0.213   0.191   0.146   0.073   0.000   0.000
