      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.131   0.791   2.426   2.712   2.712   2.712   2.712   2.712   1.748   0.000
    10.45    51.08    1952   0.000   0.000   0.057   1.257   2.584   2.584   2.584   2.584   2.584   2.584   0.970   0.000
    10.45    51.08    1953   0.000   0.008   0.239   1.765   2.657   2.657   2.657   2.657   2.657   2.657   0.345   0.000
    10.45    51.08    1954   0.000   0.000   0.072   0.686   2.259   2.771   2.771   2.771   2.771   2.771   2.207   0.000
    10.45    51.08    1955   0.000   0.000   0.068   0.693   2.404   2.596   2.596   2.596   2.596   2.596   1.644   0.000
    10.45    51.08    1956   0.001   0.000   0.030   0.543   2.129   2.618   2.618   2.618   2.618   2.618   1.658   0.000
    10.45    51.08    1957   0.008   0.034   0.558   1.736   2.636   2.648   2.648   2.648   2.648   2.623   0.039   0.000
    10.45    51.08    1958   0.000   0.155   0.435   0.708   2.362   2.737   2.737   2.737   2.737   2.737   1.492   0.000
    10.45    51.08    1959   0.000   0.004   0.402   1.569   2.354   2.354   2.354   2.354   2.354   2.346   0.112   0.000
    10.45    51.08    1960   0.000   0.001   0.177   0.835   2.137   2.530   2.530   2.530   2.530   2.530   1.639   0.000
    10.45    51.08    1961   0.000   0.008   0.503   1.824   2.627   2.627   2.627   2.627   2.627   2.580   0.000   0.000
    10.45    51.08    1962   0.000   0.004   0.037   0.564   2.291   2.709   2.709   2.709   2.709   2.709   1.355   0.000
    10.45    51.08    1963   0.000   0.000   0.047   0.702   2.423   2.781   2.781   2.781   2.781   2.781   2.039   0.000
    10.45    51.08    1964   0.000   0.000   0.005   0.613   2.588   2.853   2.853   2.853   2.853   2.853   0.666   0.009
    10.45    51.08    1965   0.019   0.000   0.027   0.688   2.162   2.943   2.943   2.943   2.943   2.943   1.373   0.001
    10.45    51.08    1966   0.003   0.116   0.478   1.129   2.456   2.501   2.501   2.501   2.501   2.501   0.542   0.001
    10.45    51.08    1967   0.001   0.068   0.386   0.812   2.190   2.652   2.652   2.652   2.652   2.652   1.557   0.001
    10.45    51.08    1968   0.001   0.002   0.104   1.324   2.726   2.740   2.740   2.740   2.740   2.740   0.996   0.001
    10.45    51.08    1969   0.001   0.001   0.001   0.440   2.309   2.838   2.838   2.838   2.838   2.838   2.649   0.001
    10.45    51.08    1970   0.001   0.001   0.015   0.320   2.079   2.884   2.884   2.884   2.884   2.884   2.884   0.179
    10.45    51.08    1971   0.001   0.002   0.055   0.757   2.449   2.931   2.931   2.931   2.931   2.931   2.052   0.001
    10.45    51.08    1972   0.003   0.001   0.162   1.062   2.605   2.996   2.996   2.996   2.996   2.996   1.798   0.001
    10.45    51.08    1973   0.001   0.001   0.054   0.411   2.146   3.035   3.035   3.035   3.035   3.035   1.619   0.001
    10.45    51.08    1974   0.004   0.124   0.462   1.787   2.878   3.054   3.054   3.054   3.054   3.054   0.001   0.005
    10.45    51.08    1975   0.001   0.003   0.078   0.557   2.537   3.064   3.064   3.064   3.064   3.064   1.329   0.001
    10.45    51.08    1976   0.001   0.001   0.023   0.904   2.602   3.062   3.062   3.062   3.062   3.062   2.042   0.001
    10.45    51.08    1977   0.001   0.005   0.575   1.279   2.802   3.073   3.073   3.073   3.073   3.073   1.100   0.001
    10.45    51.08    1978   0.001   0.002   0.227   0.970   2.507   3.066   3.066   3.066   3.066   3.066   1.431   0.002
