      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.009  -0.008  -0.007   0.025   0.102   0.120   0.109   0.079   0.057   0.039  -0.002  -0.010
    10.45    51.08    1952  -0.007  -0.006  -0.009   0.040   0.118   0.121   0.092   0.059   0.049   0.025  -0.002  -0.006
    10.45    51.08    1953  -0.006  -0.007  -0.001   0.081   0.108   0.092   0.097   0.088   0.064   0.029  -0.009  -0.011
    10.45    51.08    1954  -0.005  -0.004  -0.010   0.017   0.112   0.109   0.090   0.079   0.050   0.030   0.001  -0.012
    10.45    51.08    1955  -0.005  -0.005  -0.006   0.015   0.110   0.110   0.080   0.067   0.055   0.030  -0.001  -0.009
    10.45    51.08    1956  -0.008  -0.001  -0.009   0.009   0.106   0.095   0.095   0.091   0.062   0.027  -0.002  -0.010
    10.45    51.08    1957  -0.007  -0.010   0.006   0.061   0.110   0.118   0.076   0.085   0.053   0.028  -0.012  -0.007
    10.45    51.08    1958  -0.007  -0.009  -0.004   0.013   0.094   0.098   0.109   0.090   0.060   0.027  -0.004  -0.011
    10.45    51.08    1959  -0.006  -0.005   0.000   0.055   0.115   0.114   0.081   0.071   0.085   0.042  -0.008  -0.007
    10.45    51.08    1960  -0.007  -0.005  -0.006   0.018   0.092   0.120   0.111   0.080   0.054   0.023  -0.001  -0.007
    10.45    51.08    1961  -0.006  -0.010   0.000   0.047   0.094   0.115   0.095   0.085   0.054   0.028  -0.010  -0.008
    10.45    51.08    1962  -0.009  -0.006  -0.006   0.009   0.087   0.121   0.105   0.094   0.069   0.026  -0.001  -0.005
    10.45    51.08    1963  -0.002  -0.002  -0.009   0.015   0.107   0.114   0.112   0.084   0.061   0.025   0.000  -0.004
    10.45    51.08    1964  -0.004  -0.006  -0.007   0.014   0.120   0.135   0.113   0.084   0.067   0.022  -0.012  -0.008
    10.45    51.08    1965  -0.009  -0.005  -0.009   0.011   0.089   0.115   0.101   0.106   0.065   0.029  -0.004  -0.011
    10.45    51.08    1966  -0.004  -0.007  -0.003   0.031   0.122   0.111   0.097   0.087   0.056   0.023  -0.007  -0.008
    10.45    51.08    1967  -0.008  -0.008  -0.002   0.015   0.102   0.108   0.117   0.080   0.050   0.026  -0.002  -0.007
    10.45    51.08    1968  -0.006  -0.007  -0.007   0.032   0.101   0.116   0.115   0.080   0.049   0.020  -0.006  -0.005
    10.45    51.08    1969  -0.007  -0.004  -0.006  -0.001   0.094   0.119   0.108   0.071   0.064   0.029   0.000  -0.003
    10.45    51.08    1970  -0.005  -0.006  -0.008  -0.003   0.080   0.127   0.114   0.081   0.067   0.015  -0.003  -0.008
    10.45    51.08    1971  -0.007  -0.008  -0.008   0.013   0.087   0.104   0.133   0.081   0.071   0.031  -0.002  -0.012
    10.45    51.08    1972  -0.005  -0.008  -0.009   0.019   0.092   0.132   0.090   0.086   0.055   0.022  -0.002  -0.009
    10.45    51.08    1973  -0.007  -0.008  -0.011  -0.002   0.093   0.117   0.102   0.098   0.055   0.021  -0.005  -0.008
    10.45    51.08    1974  -0.012  -0.010  -0.000   0.047   0.103   0.120   0.108   0.080   0.064   0.008  -0.015  -0.015
    10.45    51.08    1975  -0.014  -0.008  -0.012   0.008   0.098   0.108   0.107   0.091   0.053   0.012  -0.005  -0.009
    10.45    51.08    1976  -0.011  -0.007  -0.009   0.012   0.109   0.122   0.090   0.104   0.047   0.019  -0.005  -0.008
    10.45    51.08    1977  -0.009  -0.011  -0.004   0.021   0.125   0.088   0.105   0.069   0.049   0.023  -0.006  -0.010
    10.45    51.08    1978  -0.009  -0.006  -0.010   0.017   0.085   0.112   0.109   0.085   0.050   0.023  -0.010  -0.010
    10.45    51.08    1979  -0.004  -0.005  -0.012  -0.000   0.070   0.107   0.099   0.091   0.058   0.022  -0.006  -0.015
    10.45    51.08    1980  -0.005  -0.011  -0.011  -0.000   0.082   0.120   0.091   0.090   0.059   0.023  -0.014  -0.010
    10.45    51.08    1981  -0.006  -0.006  -0.000   0.041   0.097   0.100   0.090   0.079   0.060   0.018  -0.013  -0.005
    10.45    51.08    1982  -0.007  -0.006  -0.013   0.010   0.083   0.108   0.096   0.083   0.058   0.020  -0.000  -0.010
    10.45    51.08    1983  -0.013  -0.005  -0.010   0.027   0.094   0.118   0.108   0.082   0.062   0.021  -0.004  -0.009
    10.45    51.08    1984  -0.009  -0.007  -0.010  -0.001   0.060   0.110   0.102   0.079   0.044   0.023  -0.007  -0.009
    10.45    51.08    1985  -0.004  -0.005  -0.011   0.016   0.094   0.107   0.124   0.092   0.060   0.017  -0.005  -0.015
    10.45    51.08    1986  -0.008  -0.002  -0.012  -0.003   0.096   0.112   0.105   0.083   0.059   0.029  -0.002  -0.011
    10.45    51.08    1987  -0.004  -0.006  -0.008   0.017   0.091   0.101   0.108   0.083   0.050   0.021  -0.008  -0.011
    10.45    51.08    1988  -0.014  -0.010  -0.011   0.008   0.114   0.105   0.112   0.093   0.054   0.021  -0.007  -0.013
    10.45    51.08    1989  -0.012  -0.011  -0.009   0.024   0.144   0.128   0.105   0.087   0.051   0.026  -0.007  -0.014
    10.45    51.08    1990  -0.012  -0.015   0.012   0.042   0.155   0.104   0.123   0.082   0.049   0.021  -0.017  -0.010
    10.45    51.08    1991  -0.012  -0.006  -0.008   0.040   0.082   0.123   0.104   0.078   0.063   0.024  -0.011  -0.010
    10.45    51.08    1992  -0.011  -0.012  -0.013   0.015   0.125   0.098   0.100   0.066   0.063   0.005  -0.017  -0.011
    10.45    51.08    1993  -0.015  -0.006  -0.006   0.046   0.120   0.111   0.103   0.091   0.049   0.011  -0.009  -0.014
    10.45    51.08    1994  -0.014  -0.008  -0.010   0.027   0.118   0.118   0.088   0.072   0.058   0.014  -0.011  -0.016
    10.45    51.08    1995  -0.010  -0.015  -0.011   0.018   0.104   0.100   0.100   0.089   0.045   0.021  -0.010  -0.007
    10.45    51.08    1996  -0.005  -0.006  -0.010   0.009   0.076   0.117   0.109   0.077   0.040   0.017  -0.007  -0.007
    10.45    51.08    1997  -0.006  -0.014  -0.006   0.019   0.102   0.121   0.096   0.077   0.071   0.011  -0.011  -0.012
    10.45    51.08    1998  -0.015  -0.014  -0.003   0.048   0.124   0.110   0.093   0.078   0.044   0.006  -0.012  -0.012
    10.45    51.08    1999  -0.014  -0.008  -0.011   0.032   0.124   0.122   0.094   0.083   0.058   0.012  -0.007  -0.013
    10.45    51.08    2000  -0.010  -0.013  -0.010   0.034   0.126   0.107   0.082   0.087   0.047   0.021  -0.013  -0.015
