      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   3.350   6.436  15.418  55.837  79.761 106.479 111.609  91.337  61.351  29.058   8.193   2.957
    10.45    51.08    1952   3.382   5.705  14.617  60.840  90.271 107.708 123.085  94.193  43.441  23.801   7.081   2.523
    10.45    51.08    1953   2.872   6.051  29.637  70.306 102.860  90.721 107.557  94.200  60.540  28.790   5.839   3.055
    10.45    51.08    1954   2.774   4.973  16.847  43.237  96.108 105.335  80.238  83.748  54.000  28.511   9.167   2.829
    10.45    51.08    1955   3.470   5.653  14.910  46.380  87.694  96.579  89.131  75.304  54.875  26.913   7.025   2.987
    10.45    51.08    1956   3.745   3.591  16.844  37.021  98.524  82.909 101.095  81.926  55.898  27.774   6.763   2.986
    10.45    51.08    1957   3.726   7.458  28.078  58.011  84.710 125.497 103.939  83.275  49.012  25.450   5.188   2.807
    10.45    51.08    1958   3.574   8.032  13.606  35.386  89.569  94.972 110.203  98.990  62.963  28.485   6.915   2.944
    10.45    51.08    1959   4.435   7.505  25.564  63.770  94.755 114.287 127.016  87.076  72.877  35.114   5.684   3.149
    10.45    51.08    1960   3.652   6.672  16.631  46.999  87.491 120.302 102.177  84.171  51.341  25.936   9.437   3.032
    10.45    51.08    1961   3.262   9.375  25.465  50.442  72.930 110.160  95.297  84.182  66.997  30.049   4.842   2.861
    10.45    51.08    1962   4.054   6.384  14.502  43.695  69.812 108.604  93.272  90.455  60.044  27.752   7.076   2.589
    10.45    51.08    1963   2.280   4.534  15.602  43.121  89.144 102.184 116.133  88.894  58.095  25.218  10.474   2.515
    10.45    51.08    1964   3.232   7.034  12.089  45.554 101.534 133.452 122.288  89.660  61.782  23.724   5.147   2.850
    10.45    51.08    1965   3.703   5.277  14.822  41.595  80.239 102.990  94.190  92.292  54.706  28.107   5.950   2.922
    10.45    51.08    1966   3.528   9.702  21.285  48.523 103.408 117.559  92.377  89.237  53.542  30.762   5.942   3.343
    10.45    51.08    1967   4.344   9.314  26.203  43.775  99.842  98.359 129.948  87.614  51.932  31.929   8.403   3.139
    10.45    51.08    1968   3.701   7.363  25.105  64.477  79.498 106.528 112.185  85.354  50.819  25.911   7.711   2.589
    10.45    51.08    1969   4.122   6.420  11.893  40.416  89.706 107.622 121.703  93.677  59.490  28.383  10.439   2.241
    10.45    51.08    1970   3.390   6.526  16.245  32.129  78.429 124.646 109.045  86.571  62.421  23.726   9.914   3.408
    10.45    51.08    1971   4.298   7.285  15.504  50.021  90.578  87.695 133.627 108.325  59.996  33.319   8.588   3.606
    10.45    51.08    1972   3.495   7.292  26.205  42.911  80.735 107.862 102.643  84.894  48.893  26.904   9.069   3.667
    10.45    51.08    1973   3.955   7.761  20.412  33.559  89.408 105.451 107.664 104.857  61.205  27.066   8.549   3.266
    10.45    51.08    1974   4.693   7.863  24.756  58.702  79.704  96.703  95.202  91.385  61.863  20.029   5.798   3.881
    10.45    51.08    1975   5.345   8.288  19.321  45.114  87.384  93.174 116.639 114.182  61.170  23.611   7.484   3.237
    10.45    51.08    1976   4.110   7.334  17.583  49.553 101.093 121.087 133.682  97.951  48.251  27.137   8.836   3.348
    10.45    51.08    1977   4.354   8.951  25.144  44.088  93.029  85.157 103.221  75.216  51.588  28.880   9.866   3.536
    10.45    51.08    1978   4.397   6.989  23.057  47.920  78.732  97.560 100.569  87.506  48.992  28.169   7.839   3.222
    10.45    51.08    1979   3.512   6.451  18.216  38.364  92.450 109.510  90.147  87.445  60.486  29.464   8.632   4.004
    10.45    51.08    1980   3.674   9.210  15.613  41.136  92.723 101.930  84.650  97.060  60.308  27.335   6.005   3.403
    10.45    51.08    1981   4.591   7.368  29.022  56.555  91.976  99.215  93.363  88.201  59.058  27.493   7.375   3.034
    10.45    51.08    1982   4.121   8.859  23.418  54.131  94.992 114.400 119.786 102.458  72.878  27.198  12.013   3.689
    10.45    51.08    1983   5.762   7.838  22.730  53.917  80.199 112.232 136.065 101.120  63.200  29.973   9.178   3.595
    10.45    51.08    1984   5.019   7.880  19.819  52.741  69.679  93.458 101.139  92.126  49.179  30.239   9.957   4.164
    10.45    51.08    1985   3.911   8.025  17.756  53.781  94.758  93.636 123.877  94.672  61.279  30.387   7.543   4.555
    10.45    51.08    1986   4.831   5.524  21.134  36.983 101.219 111.742 113.015  98.059  52.898  33.019  11.363   4.519
    10.45    51.08    1987   3.421   7.664  17.761  59.268  79.851  88.110 114.062  84.621  60.848  29.833   8.946   3.889
    10.45    51.08    1988   5.909   8.955  17.703  56.155 104.370  95.602 117.401 105.622  57.042  28.099   9.108   4.222
    10.45    51.08    1989   6.470  10.075  32.631  46.571 120.148 114.422 114.136 101.991  60.620  32.457  10.281   4.459
    10.45    51.08    1990   5.849  14.798  36.875  56.035 117.098  97.989 116.762 110.922  48.807  34.175   7.532   4.056
    10.45    51.08    1991   5.271   9.241  29.325  57.361  73.060 100.434 135.206 100.341  71.923  33.396   8.347   3.859
    10.45    51.08    1992   4.739   9.388  24.677  54.510 116.107 105.769 121.283 103.829  59.776  23.039   8.331   4.139
    10.45    51.08    1993   5.611   7.869  27.638  68.848 110.515 106.783 108.129  97.444  50.549  26.656   5.901   4.209
    10.45    51.08    1994   5.567   8.883  27.842  54.547  99.148 116.537 143.686 102.028  57.953  27.746  10.727   4.803
    10.45    51.08    1995   5.349  11.151  24.777  52.389  94.095  92.599 137.285 115.517  50.839  32.969   8.334   3.228
    10.45    51.08    1996   3.991   8.714  17.956  60.966  73.494 116.284 102.745  92.709  41.952  27.422   9.907   3.548
    10.45    51.08    1997   4.436  11.343  29.378  54.579  96.284 113.347 104.603 109.297  69.423  28.187   8.152   3.959
    10.45    51.08    1998   6.016  12.639  28.618  58.715 106.111 111.313  99.041  99.491  51.275  24.152   6.526   4.368
    10.45    51.08    1999   6.540  10.065  26.691  57.602 107.057 108.423 119.614  97.848  76.833  26.500   8.754   4.600
    10.45    51.08    2000   5.774  12.072  26.433  66.724 113.470 121.725  82.466 106.695  57.151  30.842  10.149   5.250
    10.45    51.08    2001   5.935  10.887  20.853  49.052 113.895  96.798 128.805 102.689  46.314  35.532  10.060   3.948
    10.45    51.08    2002   6.360  13.660  31.242  56.409  91.282 113.192 100.816  95.716  59.911  26.155   8.028   3.955
    10.45    51.08    2003   5.662   9.309  31.447  67.936  99.873 142.421 119.373 129.653  65.819  25.064   9.811   4.981
    10.45    51.08    2004   5.544  10.281  31.025  68.414  88.669 106.063 110.053 110.562  70.156  34.180   7.718   4.492
    10.45    51.08    2005   6.315   8.884  29.130  66.954 103.193 123.279 120.821  87.675  75.544  36.677  11.831   4.461
    10.45    51.08    2006   5.203   8.891  21.815  57.482 105.897 128.204 159.951  81.340  79.596  34.899  12.302   5.645
    10.45    51.08    2007   6.764  11.881  31.339  85.719 112.569 122.427 117.559 101.008  56.814  27.723   9.310   4.450
    10.45    51.08    2008   7.094  13.734  29.546  52.212 108.541 124.550 121.024  96.651  54.535  30.897   8.063   4.133
    10.45    51.08    2009   5.290   9.190  21.677  80.113  99.920  92.422 116.381 109.860  63.820  25.311  10.525   4.285
    10.45    51.08    2010   4.085   8.955  29.561  68.298  73.111 124.095 141.692  86.039  53.991  29.790   9.325   3.198
    10.45    51.08    2011   5.918  10.641  36.918  79.787 114.576 116.547 102.982  92.626  69.789  36.136  10.188   4.959
    10.45    51.08    2012   6.039   8.940  39.416  53.218 110.456  98.419 113.387 110.217  64.693  31.870   9.214   4.548
