      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.009   0.008   0.010   0.028   0.066   0.085   0.090   0.082   0.064   0.036   0.020   0.010
    10.45    51.08    1952   0.007   0.006   0.010   0.041   0.073   0.082   0.089   0.077   0.046   0.030   0.011   0.006
    10.45    51.08    1953   0.006   0.007   0.016   0.052   0.078   0.077   0.088   0.082   0.061   0.040   0.014   0.011
    10.45    51.08    1954   0.005   0.004   0.013   0.022   0.073   0.087   0.074   0.078   0.060   0.041   0.019   0.012
    10.45    51.08    1955   0.005   0.005   0.008   0.022   0.067   0.077   0.076   0.070   0.057   0.034   0.014   0.009
    10.45    51.08    1956   0.008   0.001   0.010   0.018   0.070   0.069   0.081   0.072   0.057   0.036   0.012   0.010
    10.45    51.08    1957   0.007   0.011   0.021   0.040   0.065   0.090   0.084   0.074   0.051   0.035   0.013   0.007
    10.45    51.08    1958   0.007   0.011   0.007   0.019   0.071   0.077   0.090   0.086   0.065   0.040   0.015   0.011
    10.45    51.08    1959   0.006   0.005   0.015   0.040   0.068   0.077   0.081   0.070   0.061   0.035   0.009   0.007
    10.45    51.08    1960   0.007   0.005   0.011   0.022   0.062   0.084   0.079   0.071   0.051   0.032   0.017   0.007
    10.45    51.08    1961   0.006   0.011   0.016   0.041   0.059   0.081   0.076   0.073   0.066   0.041   0.010   0.008
    10.45    51.08    1962   0.009   0.006   0.006   0.024   0.055   0.082   0.077   0.079   0.058   0.036   0.011   0.005
    10.45    51.08    1963   0.002   0.002   0.010   0.026   0.070   0.083   0.094   0.078   0.060   0.033   0.021   0.004
    10.45    51.08    1964   0.004   0.006   0.007   0.028   0.080   0.101   0.098   0.082   0.065   0.031   0.014   0.008
    10.45    51.08    1965   0.009   0.005   0.010   0.022   0.062   0.086   0.084   0.084   0.060   0.037   0.011   0.011
    10.45    51.08    1966   0.004   0.010   0.010   0.029   0.073   0.081   0.072   0.071   0.051   0.037   0.008   0.008
    10.45    51.08    1967   0.008   0.009   0.014   0.020   0.068   0.074   0.094   0.076   0.054   0.043   0.013   0.007
    10.45    51.08    1968   0.006   0.007   0.013   0.034   0.063   0.083   0.087   0.076   0.055   0.036   0.014   0.005
    10.45    51.08    1969   0.007   0.004   0.006   0.019   0.068   0.082   0.095   0.079   0.060   0.039   0.020   0.003
    10.45    51.08    1970   0.005   0.006   0.008   0.017   0.058   0.094   0.089   0.080   0.064   0.033   0.020   0.009
    10.45    51.08    1971   0.007   0.008   0.009   0.026   0.070   0.077   0.103   0.091   0.061   0.040   0.016   0.012
    10.45    51.08    1972   0.005   0.008   0.015   0.026   0.066   0.089   0.090   0.081   0.052   0.030   0.017   0.009
    10.45    51.08    1973   0.007   0.008   0.013   0.015   0.068   0.090   0.094   0.095   0.067   0.033   0.015   0.008
    10.45    51.08    1974   0.012   0.011   0.018   0.038   0.068   0.083   0.087   0.087   0.067   0.024   0.015   0.015
    10.45    51.08    1975   0.014   0.008   0.013   0.023   0.071   0.082   0.101   0.102   0.071   0.033   0.014   0.009
    10.45    51.08    1976   0.011   0.007   0.009   0.025   0.078   0.097   0.106   0.091   0.059   0.041   0.017   0.008
    10.45    51.08    1977   0.009   0.011   0.021   0.026   0.077   0.080   0.093   0.078   0.058   0.043   0.021   0.010
    10.45    51.08    1978   0.009   0.006   0.017   0.026   0.064   0.087   0.090   0.085   0.057   0.040   0.016   0.010
    10.45    51.08    1979   0.004   0.005   0.013   0.021   0.063   0.096   0.086   0.086   0.066   0.039   0.014   0.015
    10.45    51.08    1980   0.005   0.011   0.012   0.019   0.059   0.090   0.081   0.093   0.068   0.037   0.014   0.010
    10.45    51.08    1981   0.006   0.006   0.021   0.036   0.072   0.083   0.082   0.080   0.063   0.034   0.015   0.005
    10.45    51.08    1982   0.007   0.006   0.013   0.022   0.065   0.092   0.099   0.093   0.077   0.040   0.024   0.010
    10.45    51.08    1983   0.013   0.005   0.015   0.034   0.067   0.090   0.108   0.092   0.067   0.040   0.016   0.009
    10.45    51.08    1984   0.009   0.007   0.010   0.021   0.052   0.080   0.086   0.087   0.056   0.043   0.018   0.009
    10.45    51.08    1985   0.004   0.005   0.011   0.029   0.075   0.079   0.101   0.088   0.066   0.040   0.010   0.015
    10.45    51.08    1986   0.008   0.002   0.012   0.019   0.082   0.089   0.098   0.091   0.056   0.045   0.023   0.011
    10.45    51.08    1987   0.004   0.006   0.008   0.032   0.063   0.078   0.099   0.083   0.069   0.039   0.018   0.011
    10.45    51.08    1988   0.014   0.010   0.012   0.027   0.087   0.086   0.103   0.099   0.067   0.043   0.016   0.013
    10.45    51.08    1989   0.012   0.011   0.021   0.033   0.096   0.096   0.102   0.097   0.071   0.048   0.017   0.014
    10.45    51.08    1990   0.012   0.018   0.029   0.038   0.101   0.089   0.105   0.106   0.060   0.047   0.017   0.010
    10.45    51.08    1991   0.012   0.006   0.023   0.039   0.061   0.091   0.118   0.102   0.082   0.045   0.016   0.010
    10.45    51.08    1992   0.011   0.012   0.017   0.031   0.096   0.099   0.111   0.108   0.071   0.031   0.018   0.012
    10.45    51.08    1993   0.015   0.006   0.017   0.052   0.099   0.098   0.100   0.097   0.062   0.038   0.010   0.014
    10.45    51.08    1994   0.014   0.008   0.023   0.038   0.090   0.103   0.126   0.105   0.070   0.035   0.025   0.016
    10.45    51.08    1995   0.010   0.015   0.015   0.034   0.081   0.086   0.119   0.111   0.063   0.054   0.016   0.007
    10.45    51.08    1996   0.005   0.006   0.010   0.035   0.065   0.100   0.096   0.096   0.052   0.041   0.022   0.007
    10.45    51.08    1997   0.006   0.015   0.021   0.029   0.083   0.099   0.100   0.110   0.079   0.039   0.017   0.012
    10.45    51.08    1998   0.015   0.017   0.021   0.048   0.095   0.102   0.097   0.100   0.065   0.036   0.012   0.012
    10.45    51.08    1999   0.014   0.008   0.018   0.038   0.090   0.095   0.106   0.095   0.085   0.038   0.017   0.013
    10.45    51.08    2000   0.010   0.013   0.019   0.045   0.099   0.101   0.083   0.104   0.068   0.047   0.022   0.015
    10.45    51.08    2001   0.011   0.012   0.015   0.029   0.095   0.086   0.112   0.105   0.058   0.055   0.018   0.010
    10.45    51.08    2002   0.012   0.018   0.022   0.038   0.085   0.102   0.098   0.101   0.069   0.035   0.018   0.010
    10.45    51.08    2003   0.010   0.005   0.020   0.037   0.091   0.119   0.111   0.121   0.074   0.030   0.021   0.012
    10.45    51.08    2004   0.009   0.014   0.020   0.050   0.077   0.096   0.103   0.109   0.078   0.048   0.017   0.010
    10.45    51.08    2005   0.014   0.007   0.018   0.045   0.086   0.105   0.113   0.093   0.085   0.054   0.023   0.011
    10.45    51.08    2006   0.006   0.008   0.013   0.036   0.094   0.108   0.137   0.090   0.094   0.058   0.030   0.018
