      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.692   0.820   0.933   0.992   0.948   0.933   0.918   0.912   0.901   0.879   0.964   1.000
    10.45    51.08    1952   1.000   1.000   0.997   0.972   0.974   0.937   0.787   0.602   0.650   0.890   0.999   0.999
    10.45    51.08    1953   1.000   0.999   0.996   0.962   0.853   0.763   0.750   0.705   0.613   0.572   0.599   0.631
    10.45    51.08    1954   0.759   0.854   0.959   0.996   0.944   0.813   0.794   0.869   0.909   0.992   0.999   1.000
    10.45    51.08    1955   1.000   0.997   0.997   0.995   0.963   0.901   0.878   0.948   0.966   0.980   0.999   1.000
    10.45    51.08    1956   1.000   1.000   0.999   0.996   0.967   0.957   0.987   0.988   0.988   0.994   1.000   1.000
    10.45    51.08    1957   1.000   1.000   0.998   0.987   0.942   0.847   0.761   0.772   0.819   0.929   0.989   1.000
    10.45    51.08    1958   1.000   1.000   0.996   0.996   0.989   0.950   0.939   0.875   0.856   0.926   0.999   1.000
    10.45    51.08    1959   1.000   1.000   0.999   0.991   0.960   0.902   0.773   0.648   0.555   0.480   0.568   0.650
    10.45    51.08    1960   0.804   0.964   1.000   0.996   0.982   0.925   0.811   0.760   0.786   0.893   0.999   1.000
    10.45    51.08    1961   1.000   1.000   0.998   0.996   0.991   0.974   0.851   0.799   0.744   0.692   0.710   0.832
    10.45    51.08    1962   0.964   1.000   0.997   0.996   0.994   0.921   0.815   0.715   0.649   0.619   0.618   0.674
    10.45    51.08    1963   0.715   0.723   0.867   0.996   0.973   0.906   0.891   0.857   0.886   0.979   0.999   1.000
    10.45    51.08    1964   1.000   1.000   1.000   0.997   0.976   0.879   0.719   0.601   0.522   0.500   0.547   0.609
    10.45    51.08    1965   0.711   0.809   0.906   0.998   0.985   0.962   0.925   0.896   0.867   0.862   0.891   0.999
    10.45    51.08    1966   1.000   0.997   0.999   0.998   0.957   0.882   0.957   0.969   0.988   0.976   0.999   1.000
    10.45    51.08    1967   1.000   1.000   0.999   0.997   0.965   0.971   0.932   0.852   0.913   0.986   0.999   1.000
    10.45    51.08    1968   1.000   0.999   0.999   0.989   0.989   0.951   0.863   0.795   0.828   0.974   0.998   1.000
    10.45    51.08    1969   1.000   1.000   1.000   0.998   0.984   0.963   0.886   0.753   0.768   0.769   0.824   0.869
    10.45    51.08    1970   0.888   0.992   1.000   0.999   0.996   0.944   0.855   0.871   0.913   0.955   0.999   1.000
    10.45    51.08    1971   1.000   1.000   1.000   0.994   0.960   0.960   0.911   0.738   0.639   0.611   0.649   0.759
    10.45    51.08    1972   0.798   0.836   0.885   0.984   0.986   0.982   0.973   0.986   0.973   0.976   0.999   1.000
    10.45    51.08    1973   1.000   1.000   1.000   0.999   0.982   0.906   0.793   0.725   0.643   0.718   0.854   0.972
    10.45    51.08    1974   1.000   1.000   0.998   0.967   0.973   0.984   0.993   0.938   0.923   0.955   1.000   1.000
    10.45    51.08    1975   1.000   1.000   1.000   0.997   0.977   0.929   0.910   0.783   0.719   0.737   0.792   0.881
    10.45    51.08    1976   0.980   1.000   1.000   0.995   0.960   0.919   0.748   0.629   0.540   0.535   0.587   0.676
    10.45    51.08    1977   0.763   0.915   0.996   0.997   0.977   0.919   0.918   0.975   0.994   0.995   0.999   1.000
    10.45    51.08    1978   1.000   1.000   1.000   0.993   0.986   0.915   0.867   0.828   0.853   0.959   0.984   1.000
    10.45    51.08    1979   1.000   1.000   0.999   0.997   0.988   0.937   0.900   0.899   0.852   0.848   0.942   0.999
    10.45    51.08    1980   1.000   1.000   1.000   0.999   0.972   0.913   0.960   0.899   0.838   0.844   0.918   0.991
    10.45    51.08    1981   1.000   0.999   0.999   0.987   0.986   0.988   0.968   0.957   0.970   0.996   1.000   0.999
    10.45    51.08    1982   1.000   0.999   1.000   0.995   0.981   0.884   0.803   0.712   0.626   0.611   0.646   0.715
    10.45    51.08    1983   0.802   0.900   0.958   0.996   0.994   0.969   0.870   0.779   0.737   0.742   0.743   0.794
    10.45    51.08    1984   0.897   0.999   1.000   0.994   0.994   0.982   0.970   0.981   0.984   0.998   0.996   1.000
    10.45    51.08    1985   1.000   1.000   1.000   0.995   0.974   0.937   0.933   0.881   0.858   0.828   0.833   0.902
    10.45    51.08    1986   0.998   1.000   1.000   0.996   0.990   0.984   0.895   0.831   0.869   0.901   0.970   0.997
    10.45    51.08    1987   0.999   0.999   0.999   0.996   0.990   0.993   0.961   0.995   0.991   0.995   1.000   1.000
    10.45    51.08    1988   1.000   1.000   0.999   0.995   0.956   0.876   0.883   0.853   0.791   0.776   0.798   0.956
    10.45    51.08    1989   1.000   1.000   0.999   0.997   0.960   0.897   0.827   0.765   0.702   0.726   0.827   0.947
    10.45    51.08    1990   1.000   1.000   0.996   0.997   0.944   0.891   0.895   0.782   0.770   0.795   0.882   0.998
    10.45    51.08    1991   1.000   1.000   0.999   0.991   0.991   0.949   0.895   0.849   0.787   0.755   0.782   0.834
    10.45    51.08    1992   0.950   0.994   0.999   0.997   0.971   0.892   0.880   0.817   0.820   0.859   0.977   1.000
    10.45    51.08    1993   1.000   0.999   0.999   0.993   0.925   0.952   0.960   0.978   0.986   0.998   1.000   1.000
    10.45    51.08    1994   1.000   1.000   0.999   0.994   0.972   0.980   0.931   0.876   0.969   0.992   0.999   1.000
    10.45    51.08    1995   1.000   1.000   1.000   0.998   0.985   0.993   0.960   0.912   0.954   0.989   1.000   1.000
    10.45    51.08    1996   1.000   1.000   1.000   0.997   0.996   0.968   0.975   0.976   0.997   0.999   0.999   1.000
    10.45    51.08    1997   0.999   1.000   0.999   0.998   0.989   0.928   0.908   0.940   0.912   0.937   0.998   1.000
    10.45    51.08    1998   1.000   1.000   0.999   0.996   0.961   0.934   0.948   0.925   0.960   0.999   1.000   1.000
    10.45    51.08    1999   1.000   1.000   1.000   0.997   0.971   0.984   0.983   0.953   0.931   0.937   0.985   1.000
    10.45    51.08    2000   1.000   1.000   0.999   0.994   0.954   0.892   0.881   0.873   0.925   0.993   1.000   1.000
    10.45    51.08    2001   1.000   1.000   0.998   0.997   0.983   0.975   0.986   0.928   0.948   0.996   1.000   1.000
    10.45    51.08    2002   1.000   1.000   0.998   0.992   0.995   0.985   0.971   0.989   0.983   0.999   1.000   1.000
    10.45    51.08    2003   1.000   1.000   1.000   0.995   0.986   0.984   0.937   0.829   0.772   0.821   0.874   0.969
    10.45    51.08    2004   1.000   1.000   0.999   0.994   0.990   0.968   0.985   0.937   0.900   0.904   0.950   1.000
    10.45    51.08    2005   0.999   1.000   0.999   0.997   0.991   0.946   0.892   0.954   0.980   0.992   0.999   1.000
    10.45    51.08    2006   1.000   1.000   1.000   0.998   0.974   0.972   0.887   0.875   0.963   0.980   1.000   1.000
    10.45    51.08    2007   1.000   1.000   1.000   0.986   0.945   0.960   0.991   0.988   0.994   0.995   1.000   1.000
    10.45    51.08    2008   1.000   1.000   1.000   0.997   0.969   0.910   0.901   0.861   0.834   0.902   1.000   1.000
    10.45    51.08    2009   1.000   1.000   1.000   0.994   0.994   0.988   0.984   0.941   0.908   0.980   0.998   1.000
    10.45    51.08    2010   1.000   1.000   0.998   0.992   0.991   0.965   0.882   0.968   0.996   0.994   0.998   1.000
    10.45    51.08    2011   1.000   1.000   0.998   0.983   0.930   0.850   0.897   0.927   0.972   0.985   0.994   1.000
    10.45    51.08    2012   1.000   1.000   0.998   0.995   0.977   0.974   0.994   0.964   0.947   0.957   0.998   0.999
