      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.826   0.851   0.817   0.531   0.347   0.768   0.562   0.692   0.559   0.511   0.846   0.902
    10.45    51.08    1952   0.909   0.926   0.909   0.741   0.715   0.484   0.180   0.144   0.769   0.928   0.922   0.938
    10.45    51.08    1953   0.918   0.944   0.714   0.404   0.285   0.490   0.635   0.461   0.275   0.352   0.602   0.596
    10.45    51.08    1954   0.796   0.873   0.740   0.661   0.408   0.305   0.640   0.704   0.621   0.767   0.760   0.825
    10.45    51.08    1955   0.941   0.928   0.918   0.724   0.457   0.448   0.667   0.818   0.642   0.598   0.823   0.871
    10.45    51.08    1956   0.907   0.863   0.826   0.720   0.562   0.750   0.826   0.677   0.548   0.621   0.803   0.809
    10.45    51.08    1957   0.896   0.835   0.727   0.542   0.437   0.454   0.610   0.649   0.588   0.865   0.890   0.894
    10.45    51.08    1958   0.924   0.838   0.905   0.745   0.631   0.700   0.650   0.559   0.491   0.746   0.924   0.894
    10.45    51.08    1959   0.909   0.803   0.623   0.540   0.477   0.524   0.134   0.422   0.271   0.120   0.774   0.812
    10.45    51.08    1960   0.879   0.886   0.763   0.529   0.632   0.475   0.294   0.516   0.713   0.896   0.885   0.903
    10.45    51.08    1961   0.939   0.874   0.640   0.772   0.839   0.750   0.320   0.434   0.346   0.234   0.483   0.818
    10.45    51.08    1962   0.895   0.894   0.910   0.686   0.557   0.304   0.396   0.323   0.408   0.315   0.323   0.577
    10.45    51.08    1963   0.676   0.681   0.847   0.712   0.479   0.469   0.557   0.694   0.532   0.695   0.793   0.894
    10.45    51.08    1964   0.878   0.866   0.744   0.694   0.681   0.423   0.314   0.409   0.348   0.463   0.621   0.705
    10.45    51.08    1965   0.839   0.887   0.897   0.636   0.615   0.631   0.534   0.528   0.530   0.442   0.635   0.911
    10.45    51.08    1966   0.902   0.930   0.747   0.689   0.490   0.514   0.831   0.651   0.657   0.565   0.914   0.916
    10.45    51.08    1967   0.918   0.807   0.735   0.621   0.431   0.705   0.500   0.498   0.739   0.711   0.732   0.803
    10.45    51.08    1968   0.921   0.881   0.837   0.554   0.623   0.469   0.352   0.418   0.626   0.835   0.827   0.786
    10.45    51.08    1969   0.796   0.809   0.900   0.823   0.747   0.740   0.410   0.285   0.722   0.548   0.651   0.726
    10.45    51.08    1970   0.756   0.938   0.897   0.813   0.680   0.414   0.391   0.752   0.572   0.687   0.903   0.881
    10.45    51.08    1971   0.858   0.783   0.690   0.559   0.491   0.566   0.247   0.105   0.242   0.444   0.702   0.882
    10.45    51.08    1972   0.814   0.808   0.778   0.624   0.631   0.677   0.607   0.842   0.600   0.490   0.732   0.853
    10.45    51.08    1973   0.813   0.873   0.812   0.619   0.521   0.361   0.325   0.326   0.496   0.780   0.907   0.910
    10.45    51.08    1974   0.876   0.828   0.802   0.481   0.539   0.590   0.699   0.510   0.469   0.672   0.882   0.919
    10.45    51.08    1975   0.891   0.822   0.762   0.732   0.613   0.536   0.510   0.236   0.428   0.523   0.632   0.678
    10.45    51.08    1976   0.893   0.855   0.676   0.518   0.378   0.568   0.141   0.202   0.161   0.485   0.611   0.723
    10.45    51.08    1977   0.720   0.757   0.794   0.677   0.471   0.539   0.681   0.804   0.720   0.700   0.902   0.916
    10.45    51.08    1978   0.865   0.810   0.725   0.542   0.568   0.343   0.467   0.523   0.601   0.803   0.697   0.770
    10.45    51.08    1979   0.846   0.872   0.910   0.800   0.577   0.430   0.602   0.453   0.437   0.458   0.784   0.914
    10.45    51.08    1980   0.875   0.820   0.662   0.638   0.519   0.437   0.537   0.280   0.363   0.610   0.744   0.883
    10.45    51.08    1981   0.922   0.904   0.835   0.594   0.751   0.646   0.392   0.646   0.507   0.891   0.880   0.943
    10.45    51.08    1982   0.919   0.866   0.668   0.485   0.490   0.283   0.319   0.311   0.105   0.433   0.521   0.577
    10.45    51.08    1983   0.617   0.663   0.651   0.846   0.697   0.532   0.273   0.437   0.459   0.454   0.396   0.532
    10.45    51.08    1984   0.650   0.850   0.746   0.787   0.742   0.701   0.566   0.642   0.732   0.810   0.814   0.910
    10.45    51.08    1985   0.917   0.878   0.750   0.599   0.393   0.501   0.430   0.452   0.455   0.291   0.322   0.669
    10.45    51.08    1986   0.901   0.863   0.844   0.869   0.652   0.649   0.339   0.446   0.651   0.697   0.837   0.762
    10.45    51.08    1987   0.941   0.924   0.946   0.672   0.601   0.846   0.568   0.705   0.665   0.747   0.762   0.912
    10.45    51.08    1988   0.892   0.856   0.884   0.709   0.383   0.347   0.611   0.361   0.318   0.327   0.446   0.857
    10.45    51.08    1989   0.877   0.754   0.747   0.571   0.472   0.453   0.310   0.313   0.334   0.538   0.884   0.921
    10.45    51.08    1990   0.885   0.797   0.770   0.595   0.381   0.581   0.473   0.192   0.514   0.481   0.626   0.828
    10.45    51.08    1991   0.824   0.764   0.672   0.470   0.457   0.396   0.296   0.585   0.287   0.320   0.426   0.570
    10.45    51.08    1992   0.815   0.773   0.765   0.684   0.420   0.436   0.614   0.382   0.577   0.549   0.773   0.931
    10.45    51.08    1993   0.924   0.923   0.795   0.544   0.369   0.699   0.664   0.519   0.589   0.667   0.823   0.899
    10.45    51.08    1994   0.917   0.870   0.843   0.747   0.610   0.575   0.576   0.519   0.703   0.657   0.755   0.915
    10.45    51.08    1995   0.905   0.886   0.711   0.626   0.584   0.759   0.591   0.484   0.729   0.751   0.694   0.729
    10.45    51.08    1996   0.811   0.817   0.720   0.581   0.717   0.548   0.654   0.666   0.707   0.701   0.879   0.912
    10.45    51.08    1997   0.917   0.891   0.827   0.659   0.511   0.304   0.561   0.520   0.442   0.560   0.722   0.865
    10.45    51.08    1998   0.877   0.769   0.736   0.569   0.538   0.491   0.526   0.362   0.731   0.890   0.930   0.883
    10.45    51.08    1999   0.836   0.804   0.761   0.636   0.454   0.636   0.676   0.480   0.401   0.427   0.793   0.908
    10.45    51.08    2000   0.900   0.906   0.866   0.660   0.437   0.356   0.483   0.485   0.693   0.729   0.681   0.677
    10.45    51.08    2001   0.672   0.732   0.792   0.773   0.573   0.527   0.674   0.304   0.516   0.597   0.795   0.926
    10.45    51.08    2002   0.891   0.837   0.856   0.663   0.700   0.659   0.629   0.668   0.584   0.787   0.918   0.923
    10.45    51.08    2003   0.926   0.895   0.773   0.496   0.479   0.602   0.348   0.132   0.433   0.618   0.685   0.883
    10.45    51.08    2004   0.888   0.874   0.700   0.561   0.770   0.457   0.574   0.330   0.349   0.447   0.663   0.897
    10.45    51.08    2005   0.896   0.910   0.853   0.624   0.532   0.329   0.446   0.665   0.613   0.692   0.680   0.777
    10.45    51.08    2006   0.773   0.723   0.793   0.688   0.539   0.607   0.520   0.623   0.597   0.638   0.711   0.698
    10.45    51.08    2007   0.792   0.795   0.720   0.538   0.457   0.698   0.658   0.752   0.619   0.780   0.812   0.886
    10.45    51.08    2008   0.841   0.749   0.741   0.774   0.486   0.414   0.491   0.292   0.418   0.654   0.862   0.913
    10.45    51.08    2009   0.853   0.800   0.802   0.610   0.682   0.561   0.549   0.394   0.506   0.726   0.912   0.938
    10.45    51.08    2010   0.949   0.949   0.802   0.548   0.704   0.459   0.499   0.810   0.663   0.840   0.903   0.941
    10.45    51.08    2011   0.939   0.836   0.688   0.497   0.268   0.289   0.622   0.542   0.601   0.590   0.575   0.687
    10.45    51.08    2012   0.890   0.853   0.644   0.460   0.445   0.638   0.659   0.488   0.434   0.517   0.630   0.926
