      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.39    0.00   13.62 123.17  46.77  76.40  90.02
    10.45    51.08    1952   11.23    2.24    0.00   13.47 132.91  45.69  87.21 100.69
    10.45    51.08    1953   11.23    2.36    0.00   13.60 147.56  59.69  87.87 101.47
    10.45    51.08    1954   11.23    2.78    0.00   14.01 119.54  42.17  77.37  91.38
    10.45    51.08    1955   11.23    2.65    0.00   13.88 110.43  43.50  66.93  80.81
    10.45    51.08    1956   11.23    2.77    0.00   14.00 106.53  41.85  64.68  78.69
    10.45    51.08    1957   11.23    2.80    0.00   14.03 130.36  48.68  81.68  95.71
    10.45    51.08    1958   11.23    2.50    0.00   13.73 124.90  43.14  81.76  95.49
    10.45    51.08    1959   11.23    2.36    0.00   13.59 154.06  69.64  84.42  98.01
    10.45    51.08    1960   14.10    2.85    0.00   16.95 119.54  52.35  67.19  84.14
    10.45    51.08    1961   14.10    2.84    0.00   16.94 139.17  61.83  77.34  94.28
    10.45    51.08    1962   14.10    2.69    0.00   16.79 123.23  48.18  75.05  91.84
    10.45    51.08    1963   14.10    2.60    0.00   16.70 116.78  42.58  74.20  90.91
    10.45    51.08    1964   14.10    2.25    0.00   16.35 139.10  46.25  92.85 109.20
    10.45    51.08    1965   14.10    2.71    0.00   16.81 108.69  40.28  68.41  85.22
    10.45    51.08    1966   14.10    2.48    0.00   16.58 124.24  57.59  66.65  83.23
    10.45    51.08    1967   14.10    2.56    0.00   16.66 136.09  58.40  77.69  94.35
    10.45    51.08    1968   14.10    2.78    0.00   16.88 130.08  52.36  77.72  94.60
    10.45    51.08    1969   14.10    2.49    0.00   16.59 125.52  45.03  80.49  97.08
    10.45    51.08    1970   16.97    2.33    0.00   19.30 119.12  42.62  76.51  95.81
    10.45    51.08    1971   16.97    2.41    0.00   19.38 148.20  54.53  93.67 113.05
    10.45    51.08    1972   16.97    2.73    0.00   19.70 107.43  42.17  65.26  84.96
    10.45    51.08    1973   16.97    2.00    0.00   18.97 147.29  46.55 100.74 119.72
    10.45    51.08    1974   16.97    2.54    0.00   19.51 123.79  47.42  76.37  95.88
    10.45    51.08    1975   16.97    2.03    0.00   19.00 151.69  51.71  99.98 118.98
    10.45    51.08    1976   16.97    2.04    0.00   19.01 155.58  51.86 103.72 122.73
    10.45    51.08    1977   16.97    2.66    0.00   19.63 112.39  41.51  70.88  90.51
    10.45    51.08    1978   16.97    2.48    0.00   19.45 127.49  43.02  84.47 103.92
    10.45    51.08    1979   16.97    2.16    0.00   19.13 132.60  39.85  92.75 111.88
    10.45    51.08    1980   17.99    2.23    0.00   20.22 134.11  42.42  91.69 111.92
    10.45    51.08    1981   17.99    2.06    0.00   20.06 129.24  46.95  82.29 102.34
    10.45    51.08    1982   17.99    1.84    0.00   19.84 177.84  62.51 115.33 135.16
    10.45    51.08    1983   17.99    1.66    0.00   19.66 149.12  55.83  93.30 112.95
    10.45    51.08    1984   17.99    2.34    0.00   20.34 107.37  40.39  66.97  87.31
    10.45    51.08    1985   17.99    2.08    0.00   20.07 141.66  50.12  91.54 111.61
    10.45    51.08    1986   17.99    1.91    0.00   19.90 132.00  39.93  92.08 111.98
    10.45    51.08    1987   17.99    2.19    0.00   20.19 107.57  35.51  72.07  92.25
    10.45    51.08    1988   17.99    1.87    0.00   19.86 159.43  53.63 105.80 125.67
    10.45    51.08    1989   17.99    2.06    0.00   20.06 159.70  54.50 105.21 125.26
    10.45    51.08    1990   19.66    2.18    0.00   21.84 150.17  51.06  99.11 120.95
    10.45    51.08    1991   19.66    2.25    0.00   21.91 153.60  50.02 103.58 125.49
    10.45    51.08    1992   19.66    1.58    0.00   21.24 147.81  46.17 101.63 122.87
    10.45    51.08    1993   19.66    1.79    0.00   21.44 126.19  39.06  87.14 108.58
    10.45    51.08    1994   19.66    1.80    0.00   21.46 146.61  43.29 103.32 124.77
    10.45    51.08    1995   19.66    1.92    0.00   21.58 132.44  41.26  91.18 112.76
    10.45    51.08    1996   19.66    2.27    0.00   21.92 108.59  30.58  78.01  99.93
    10.45    51.08    1997   19.66    2.13    0.00   21.78 149.50  44.43 105.07 126.85
    10.45    51.08    1998   19.66    2.27    0.00   21.93 141.28  42.03  99.25 121.18
    10.45    51.08    1999   19.66    2.09    0.00   21.75 152.04  53.42  98.62 120.37
    10.45    51.08    2000   21.34    1.95    0.00   23.29 154.36  51.76 102.60 125.89
    10.45    51.08    2001   21.34    2.03    0.00   23.37 141.56  47.40  94.16 117.53
    10.45    51.08    2002   21.34    2.18    0.00   23.52 128.71  44.26  84.44 107.97
    10.45    51.08    2003   21.34    1.64    0.00   22.98 164.73  52.34 112.39 135.37
    10.45    51.08    2004   21.34    2.20    0.00   23.55 142.36  47.88  94.47 118.02
    10.45    51.08    2005   21.34    2.09    0.00   23.43 140.00  43.26  96.74 120.17
    10.45    51.08    2006   21.34    1.87    0.00   23.22 144.94  44.71 100.23 123.45
    10.45    51.08    2007   21.34    1.85    0.00   23.19 136.08  45.90  90.18 113.37
    10.45    51.08    2008   21.34    2.01    0.00   23.35 156.77  46.65 110.12 133.47
    10.45    51.08    2009   21.34    1.89    0.00   23.23 140.86  42.56  98.30 121.53
    10.45    51.08    2010   20.03    2.10    0.00   22.13 125.36  35.04  90.32 112.45
    10.45    51.08    2011   20.03    2.01    0.00   22.04 152.99  46.39 106.60 128.64
    10.45    51.08    2012   20.03    2.10    0.00   22.12 146.86  45.32 101.54 123.66
