      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.003   0.013   2.138  23.246  46.806  57.277  67.535  52.082  35.327  15.427   2.411   0.003
    10.45    51.08    1952   0.001   0.003   0.774  29.429  52.396  66.051  64.047  39.885  19.780   9.583   0.673   0.001
    10.45    51.08    1953   0.001   0.191   8.040  42.125  56.337  50.046  64.113  56.341  21.560  13.846   0.904   0.002
    10.45    51.08    1954   0.001   0.001   1.902  17.102  57.541  52.615  41.726  46.667  30.069  14.084   3.254   0.001
    10.45    51.08    1955   0.000   0.001   1.557  19.258  51.016  55.243  48.037  41.942  30.340  13.495   2.385   0.001
    10.45    51.08    1956   0.005   0.000   0.965  12.583  57.106  42.547  52.376  45.303  32.104  12.742   1.407   0.001
    10.45    51.08    1957   0.012   0.161  10.823  31.412  47.361  66.524  56.699  47.834  25.125  12.698   0.067   0.000
    10.45    51.08    1958   0.000   0.652   1.458  13.512  48.959  53.744  63.268  55.978  34.985  13.967   1.529   0.000
    10.45    51.08    1959   0.000   0.035   7.514  32.440  52.452  61.972  49.757  43.786  16.511   8.050   0.100   0.000
    10.45    51.08    1960   0.000   0.006   2.498  17.683  43.546  66.489  52.256  41.329  24.724  10.108   2.408   0.000
    10.45    51.08    1961   0.000   0.199   8.093  23.705  37.247  62.008  53.538  47.869  37.093  15.417   0.012   0.002
    10.45    51.08    1962   0.001   0.007   0.372  15.137  36.226  58.115  50.423  40.528  27.154   6.940   2.137   0.000
    10.45    51.08    1963   0.000   0.000   0.744  15.648  49.210  52.696  53.546  41.534  30.764  11.504   2.937   0.000
    10.45    51.08    1964   0.000   0.000   0.056  14.860  54.946  72.462  57.152  35.933  23.453   8.578   0.512   0.002
    10.45    51.08    1965   0.023   0.000   0.672  14.034  40.790  53.353  49.464  50.146  27.942  13.829   1.113   0.000
    10.45    51.08    1966   0.001   1.603   4.482  20.980  55.231  59.808  45.385  45.021  27.451  13.559   0.289   0.000
    10.45    51.08    1967   0.000   0.604   7.195  16.587  51.652  49.916  70.790  44.405  24.598  14.838   2.367   0.000
    10.45    51.08    1968   0.000   0.001   3.153  23.223  36.152  48.773  49.882  36.087  20.851   9.393   1.345   0.000
    10.45    51.08    1969   0.000   0.000   0.000   7.323  38.999  47.754  56.932  33.890  26.319  11.902   3.079   0.000
    10.45    51.08    1970   0.000   0.000   0.425   8.479  42.241  69.857  62.526  45.832  36.223   9.203   2.898   0.112
    10.45    51.08    1971   0.023   0.062   1.097  21.050  53.190  49.496  67.096  47.410  25.154  13.397   2.695   0.028
    10.45    51.08    1972   0.007   0.053   4.970  19.682  44.092  62.250  55.909  45.279  26.611  13.050   2.823   0.020
    10.45    51.08    1973   0.003   0.005   1.745   8.548  49.266  60.441  53.267  40.779  30.272  12.126   2.162   0.009
    10.45    51.08    1974   0.027   0.555   7.936  30.351  42.409  51.387  51.164  49.509  33.735   6.928   0.014   0.014
    10.45    51.08    1975   0.010   0.021   1.328  15.531  48.406  50.827  68.107  56.417  33.543  10.271   2.004   0.002
    10.45    51.08    1976   0.005   0.011   0.657  19.544  57.169  70.265  50.053  33.127  13.646  13.201   2.492   0.002
    10.45    51.08    1977   0.004   0.109   5.559  14.165  40.358  32.468  42.538  27.197  20.218  10.063   1.455   0.002
    10.45    51.08    1978   0.002   0.067   3.421  15.249  31.471  42.390  42.431  35.768  17.960  10.356   1.186   0.004
    10.45    51.08    1979   0.016   0.001   0.495  11.141  47.221  58.288  48.207  48.848  29.587  13.969   1.204   0.071
    10.45    51.08    1980   0.024   0.139   1.125  11.988  49.993  55.027  45.385  47.565  29.791  11.522   0.327   0.085
    10.45    51.08    1981   0.063   0.035   9.578  27.349  47.999  53.090  50.283  45.522  30.764  11.733   0.312   0.001
    10.45    51.08    1982   0.005   0.012   0.787  17.590  48.715  53.584  54.722  39.170  17.702   9.359   4.361   0.007
    10.45    51.08    1983   0.010   0.040   3.760  21.777  37.921  61.378  64.455  47.857  26.399  12.327   1.519   0.004
    10.45    51.08    1984   0.005   0.005   0.231  12.615  30.268  50.573  54.602  48.881  23.507  12.271   2.985   0.004
    10.45    51.08    1985   0.003   0.022   0.513  21.725  51.644  49.408  67.532  51.829  28.587  10.515   1.171   0.023
    10.45    51.08    1986   0.013   0.002   1.108   9.042  53.712  63.775  62.563  49.833  27.250  16.494   4.132   0.005
    10.45    51.08    1987   0.001   0.003   0.433  23.770  42.884  43.546  64.425  45.592  30.474  14.510   1.700   0.002
    10.45    51.08    1988   0.004   0.008   0.731  19.944  61.036  48.089  67.722  52.172  20.707   8.599   2.005   0.002
    10.45    51.08    1989   0.016   0.094   6.466  15.452  52.181  49.468  25.938  23.494  16.681  12.035   0.972   0.002
    10.45    51.08    1990   0.003   1.597  12.038  19.756  51.637  38.587  43.486  25.411  17.978  10.352   0.005   0.001
    10.45    51.08    1991   0.009   0.043   7.921  27.567  37.510  51.186  35.719  52.244  22.626  10.637   1.021   0.004
    10.45    51.08    1992   0.006   0.132   3.670  20.859  58.234  49.297  61.009  39.474  29.440   7.422   0.461   0.009
    10.45    51.08    1993   0.026   0.109   6.410  33.852  49.148  55.400  54.609  51.178  23.079  10.074   0.256   0.008
    10.45    51.08    1994   0.006   0.053   6.246  22.702  49.842  61.937  74.946  48.671  27.932  11.059   2.516   0.022
