      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.021   0.031   0.173   0.488   2.165  10.239   2.715   4.967   2.604   0.839   1.151   0.017
    10.45    51.08    1952   0.030   0.021   0.283   1.542   4.812   2.521   1.238   2.562   6.710   3.996   2.206   0.019
    10.45    51.08    1953   0.021   0.020   0.040   0.794   3.036   6.293   3.340   2.765   1.311   1.614   0.005   0.015
    10.45    51.08    1954   0.020   0.016   0.043   0.802   1.414   2.817   6.883   4.512   2.723   2.545   0.757   0.018
    10.45    51.08    1955   0.012   0.021   0.037   0.596   2.217   3.600   6.070   3.426   2.742   1.429   0.156   0.017
    10.45    51.08    1956   0.011   0.009   0.015   1.035   1.872   7.428   9.263   4.503   1.282   2.763   0.983   0.009
    10.45    51.08    1957   0.022   0.061   0.594   0.817   3.201   3.816   5.344   2.650   3.801   1.049   0.007   0.007
    10.45    51.08    1958   0.009   0.322   0.711   0.611   4.378   4.071   4.106   4.579   2.986   2.203   1.127   0.007
    10.45    51.08    1959   0.005   0.002   0.260   1.742   2.600   2.606   0.805   3.251   0.028   1.274   0.016   0.003
    10.45    51.08    1960   0.006   0.003   0.068   0.822   3.343   1.471   2.410   3.702   2.636   3.305   1.026   0.005
    10.45    51.08    1961   0.003   0.004   0.381   4.256   5.754   4.263   2.396   2.309   1.187   0.736   0.005   0.005
    10.45    51.08    1962   0.003   0.007   0.029   0.428   2.560   0.809   3.637   1.646   1.641   0.402   0.186   0.003
    10.45    51.08    1963   0.002   0.001   0.052   0.541   1.477   5.078   1.804   6.011   1.980   1.395   1.782   0.001
    10.45    51.08    1964   0.001   0.003   0.011   1.080   3.411   2.276   2.316   2.727   1.363   1.267   0.091   0.008
    10.45    51.08    1965   0.019   0.003   0.012   0.888   1.259   4.795   3.218   2.248   2.192   0.429   0.840   0.004
    10.45    51.08    1966   0.004   0.059   0.321   1.490   2.678   4.758   4.743   3.966   0.983   2.384   0.332   0.004
    10.45    51.08    1967   0.003   0.027   0.406   0.464   2.543   4.808   2.346   3.421   3.291   1.581   0.361   0.003
    10.45    51.08    1968   0.001   0.003   0.020   1.842   1.677   2.884   1.793   2.558   2.517   1.763   0.446   0.000
    10.45    51.08    1969   0.001   0.001   0.001   0.588   3.217   4.490   0.448   3.628   1.619   0.647   0.816   0.000
    10.45    51.08    1970   0.006   0.022   0.021   0.365   3.212   2.398   2.072   5.878   0.973   2.784   1.472   0.127
    10.45    51.08    1971   0.010   0.025   0.049   1.049   1.917   3.751   0.620   1.983   1.375   1.412   0.852   0.015
    10.45    51.08    1972   0.010   0.003   0.117   0.685   3.165   3.960   5.392   4.869   1.288   1.050   0.692   0.003
    10.45    51.08    1973   0.019   0.043   0.021   0.290   1.786   2.358   3.107   1.508   2.805   2.389   0.622   0.019
    10.45    51.08    1974   0.022   0.148   0.306   0.590   3.098   4.893   3.685   2.973   1.484   3.163   0.023   0.049
    10.45    51.08    1975   0.019   0.027   0.159   0.470   2.604   4.479   1.699   2.481   1.822   1.844   0.229   0.014
    10.45    51.08    1976   0.057   0.017   0.048   0.450   2.116   3.274   1.616   2.015   2.170   1.309   0.958   0.023
    10.45    51.08    1977   0.028   0.051   0.590   0.535   1.334   4.197   2.991   5.303   1.520   1.443   1.168   0.031
    10.45    51.08    1978   0.018   0.030   0.128   0.281   2.576   1.167   2.537   2.943   2.938   1.087   0.005   0.033
    10.45    51.08    1979   0.060   0.045   0.184   0.518   1.694   3.522   3.226   1.240   2.503   0.400   1.463   0.100
    10.45    51.08    1980   0.065   0.050   0.070   0.845   1.258   3.336   2.962   0.944   2.595   1.390   0.291   0.092
    10.45    51.08    1981   0.149   0.051   0.519   1.290   3.910   2.780   1.636   4.268   1.853   1.832   0.093   0.049
    10.45    51.08    1982   0.038   0.010   0.061   0.401   1.284   2.236   2.834   0.884   0.559   2.158   0.615   0.032
    10.45    51.08    1983   0.065   0.047   0.300   2.271   5.178   1.367   1.546   2.637   2.691   0.232   0.137   0.028
    10.45    51.08    1984   0.063   0.074   0.009   0.251   5.925   2.687   3.383   3.735   3.007   3.052   0.149   0.024
    10.45    51.08    1985   0.033   0.026   0.068   0.471   2.049   3.756   2.743   2.798   1.152   0.200   0.577   0.051
