      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.009  -0.008  -0.006   0.027   0.108   0.129   0.119   0.086   0.061   0.032  -0.004  -0.010
    10.45    51.08    1952  -0.008  -0.006  -0.009   0.044   0.127   0.132   0.091   0.050   0.050   0.021  -0.005  -0.007
    10.45    51.08    1953  -0.006  -0.007   0.001   0.086   0.105   0.099   0.105   0.095   0.035   0.023  -0.010  -0.012
    10.45    51.08    1954  -0.005  -0.004  -0.009   0.018   0.118   0.098   0.094   0.083   0.051   0.028  -0.003  -0.012
    10.45    51.08    1955  -0.005  -0.005  -0.006   0.018   0.115   0.117   0.086   0.072   0.059   0.028  -0.004  -0.010
    10.45    51.08    1956  -0.008  -0.001  -0.009   0.011   0.113   0.101   0.102   0.098   0.066   0.025  -0.005  -0.011
    10.45    51.08    1957  -0.008  -0.011   0.008   0.062   0.111   0.117   0.080   0.092   0.055   0.026  -0.013  -0.008
    10.45    51.08    1958  -0.007  -0.009  -0.004   0.013   0.099   0.112   0.114   0.096   0.064   0.026  -0.006  -0.011
    10.45    51.08    1959  -0.007  -0.005   0.002   0.061   0.124   0.120   0.069   0.071   0.031   0.016  -0.009  -0.008
    10.45    51.08    1960  -0.008  -0.006  -0.006   0.021   0.097   0.127   0.115   0.082   0.055   0.023  -0.003  -0.007
    10.45    51.08    1961  -0.006  -0.010   0.002   0.051   0.097   0.121   0.097   0.089   0.055   0.027  -0.010  -0.008
    10.45    51.08    1962  -0.010  -0.006  -0.006   0.010   0.090   0.122   0.110   0.077   0.060   0.006  -0.002  -0.005
    10.45    51.08    1963  -0.002  -0.002  -0.009   0.018   0.109   0.115   0.093   0.082   0.063   0.025  -0.000  -0.004
    10.45    51.08    1964  -0.004  -0.006  -0.007   0.016   0.124   0.134   0.099   0.066   0.047   0.015  -0.011  -0.008
    10.45    51.08    1965  -0.008  -0.004  -0.008   0.012   0.092   0.117   0.104   0.108   0.067   0.028  -0.004  -0.010
    10.45    51.08    1966  -0.005  -0.007  -0.002   0.037   0.131   0.116   0.103   0.092   0.060   0.024  -0.008  -0.009
    10.45    51.08    1967  -0.009  -0.008  -0.000   0.020   0.109   0.114   0.121   0.082   0.051   0.027  -0.003  -0.008
    10.45    51.08    1968  -0.005  -0.006  -0.005   0.032   0.091   0.100   0.095   0.064   0.042   0.018  -0.005  -0.004
    10.45    51.08    1969  -0.006  -0.004  -0.005   0.002   0.083   0.103   0.091   0.061   0.056   0.026   0.001  -0.003
    10.45    51.08    1970  -0.004  -0.005  -0.006   0.005   0.092   0.129   0.117   0.083   0.068   0.014  -0.003  -0.007
    10.45    51.08    1971  -0.005  -0.007  -0.006   0.028   0.098   0.108   0.120   0.067   0.049   0.021  -0.001  -0.010
    10.45    51.08    1972  -0.004  -0.006  -0.003   0.029   0.100   0.138   0.096   0.089   0.058   0.027  -0.000  -0.007
    10.45    51.08    1973  -0.006  -0.006  -0.007   0.005   0.105   0.125   0.099   0.066   0.056   0.027  -0.002  -0.006
    10.45    51.08    1974  -0.010  -0.007   0.005   0.059   0.113   0.130   0.118   0.089   0.071   0.014  -0.011  -0.012
    10.45    51.08    1975  -0.011  -0.006  -0.007   0.017   0.112   0.120   0.120   0.088   0.061   0.018  -0.002  -0.008
    10.45    51.08    1976  -0.009  -0.005  -0.006   0.022   0.123   0.135   0.063   0.061   0.023   0.025  -0.001  -0.007
    10.45    51.08    1977  -0.006  -0.006   0.002   0.023   0.107   0.077   0.091   0.061   0.044   0.022  -0.002  -0.007
    10.45    51.08    1978  -0.006  -0.004  -0.004   0.021   0.076   0.096   0.095   0.075   0.045   0.022  -0.006  -0.006
    10.45    51.08    1979  -0.003  -0.003  -0.007   0.013   0.089   0.112   0.105   0.095   0.059   0.024  -0.003  -0.010
    10.45    51.08    1980  -0.004  -0.007  -0.006   0.013   0.102   0.124   0.095   0.084   0.058   0.022  -0.010  -0.007
    10.45    51.08    1981  -0.004  -0.004   0.009   0.053   0.106   0.108   0.096   0.086   0.064   0.023  -0.009  -0.004
