      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   3.014   5.903  14.237  55.153  80.199 107.484 113.020  92.138  61.789  28.157   7.814   2.662
    10.45    51.08    1952   2.824   4.756  12.786  61.099  91.172 109.390 125.081  95.188  43.072  23.151   6.614   2.101
    10.45    51.08    1953   2.471   5.317  28.736  71.040 104.124  91.474 109.125  95.624  61.265  28.647   5.260   2.664
    10.45    51.08    1954   2.549   4.556  16.282  42.728  98.648 107.803  81.520  85.366  54.803  28.523   8.787   2.618
    10.45    51.08    1955   2.938   4.796  13.183  44.856  88.253  97.476  89.484  75.589  55.057  26.315   6.500   2.554
    10.45    51.08    1956   3.236   3.076  15.213  35.764  99.979  83.162 101.682  82.653  56.311  27.268   6.237   2.588
    10.45    51.08    1957   3.238   6.566  27.284  57.465  84.907 127.833 104.814  84.226  48.970  25.030   4.531   2.414
    10.45    51.08    1958   3.167   7.405  12.425  34.210  90.905  96.416 111.917 100.416  63.652  28.327   6.523   2.617
    10.45    51.08    1959   3.608   6.152  23.694  63.099  95.088 114.963 127.584  86.661  73.329  34.618   4.676   2.562
    10.45    51.08    1960   2.371   4.330  12.487  42.421  83.677 116.878  98.258  80.135  48.202  23.697   7.836   1.992
    10.45    51.08    1961   2.562   7.607  23.321  48.683  71.269 109.119  94.141  83.060  66.008  28.999   3.862   2.261
    10.45    51.08    1962   3.492   5.502  12.594  42.279  69.224 109.242  93.147  90.666  60.001  27.236   6.581   2.225
    10.45    51.08    1963   1.969   3.913  13.737  41.627  88.683 101.329 115.590  87.697  57.403  24.391   9.902   2.172
    10.45    51.08    1964   2.793   6.088  10.490  43.875 100.816 132.875 121.214  88.427  60.969  22.952   4.571   2.474
    10.45    51.08    1965   3.255   4.592  13.127  39.526  78.720 101.067  92.389  90.900  53.385  27.169   5.519   2.547
    10.45    51.08    1966   2.680   8.117  18.303  45.805 100.887 114.191  88.661  86.147  51.427  29.255   4.725   2.537
    10.45    51.08    1967   3.345   7.477  23.405  40.904  97.780  95.533 127.346  84.849  49.813  30.319   7.474   2.415
    10.45    51.08    1968   3.414   6.794  23.951  63.436  78.354 104.792 110.767  83.458  49.168  24.973   7.300   2.388
    10.45    51.08    1969   2.982   4.640   8.588  34.834  85.346 102.738 117.106  88.734  56.029  26.026   8.989   1.618
    10.45    51.08    1970   1.925   3.729   9.623  24.231  71.328 116.071 100.791  77.996  56.714  19.660   7.877   2.051
    10.45    51.08    1971   2.358   4.017   9.335  43.070  82.489  78.914 123.273  98.365  54.071  28.782   6.679   1.996
    10.45    51.08    1972   2.029   4.299  19.393  36.732  73.079  99.468  93.272  76.343  43.609  23.352   7.137   2.153
    10.45    51.08    1973   2.437   4.827  14.350  26.435  82.168  97.663  99.323  97.458  55.618  24.057   6.680   2.021
    10.45    51.08    1974   3.073   5.445  19.928  53.078  73.096  89.027  87.408  83.829  56.680  17.491   3.827   2.572
    10.45    51.08    1975   3.158   4.786  12.505  36.645  78.861  84.128 106.249 104.305  54.620  20.107   5.516   1.854
    10.45    51.08    1976   2.294   4.066  10.356  40.149  91.333 110.085 121.521  88.616  42.005  23.037   6.771   1.826
    10.45    51.08    1977   3.919   8.243  23.167  41.118  88.280  79.127  96.906  69.635  48.070  26.572   8.924   3.181
    10.45    51.08    1978   3.038   4.987  18.489  42.292  71.702  90.147  92.367  79.928  43.268  24.647   6.011   2.273
    10.45    51.08    1979   1.990   3.564  11.107  30.375  82.972  97.869  79.626  78.241  52.390  24.381   6.130   2.419
    10.45    51.08    1980   2.016   5.123   9.288  32.513  83.499  90.923  73.823  86.118  52.427  22.564   3.644   1.989
    10.45    51.08    1981   2.627   4.025  22.089  48.525  81.609  87.933  82.384  78.068  51.825  22.908   4.475   1.661
    10.45    51.08    1982   2.557   5.486  16.104  46.007  87.727 106.488 111.157  95.102  67.217  23.751   9.959   2.297
    10.45    51.08    1983   3.092   4.046  14.797  44.500  70.162 101.495 123.398  90.544  55.472  25.124   6.483   1.872
    10.45    51.08    1984   2.627   4.068  10.619  40.361  58.565  82.369  89.522  81.161  41.901  24.828   7.154   2.148
    10.45    51.08    1985   1.975   4.071   9.658  42.913  83.378  82.369 111.352  83.601  53.532  25.171   4.889   2.421
    10.45    51.08    1986   2.479   2.732  12.280  25.896  90.156 101.182 101.682  87.765  46.395  28.290   8.606   2.360
    10.45    51.08    1987   1.734   3.870   9.485  49.019  71.428  78.021 103.935  75.690  53.742  25.368   6.465   1.986
    10.45    51.08    1988   3.056   4.606   9.680  44.924  96.942  87.558 108.038  98.056  51.142  24.009   6.568   2.190
    10.45    51.08    1989   5.296   8.314  29.385  42.883 117.828 110.924 110.104  98.819  57.536  30.130   8.873   3.652
    10.45    51.08    1990   3.872  11.438  31.858  49.703 111.137  89.764 109.485 103.014  42.930  29.563   5.188   2.641
    10.45    51.08    1991   2.705   4.836  20.887  48.332  63.156  88.748 120.533  88.738  63.137  27.106   5.105   1.969
    10.45    51.08    1992   2.557   5.220  16.251  44.054 105.313  93.080 108.543  91.775  52.154  17.891   4.970   2.248
    10.45    51.08    1993   3.108   4.333  19.263  59.386  98.554  94.675  95.736  86.259  42.722  21.508   3.407   2.306
    10.45    51.08    1994   3.204   5.110  19.949  46.163  89.743 106.696 131.207  91.597  51.210  23.127   7.921   2.815
    10.45    51.08    1995   3.336   7.295  17.758  45.225  87.690  85.335 129.054 108.827  45.713  29.426   5.958   1.993
    10.45    51.08    1996   2.376   5.269  10.877  51.445  66.276 109.544  95.658  85.678  37.301  23.934   7.956   2.129
    10.45    51.08    1997   2.557   6.971  22.571  46.129  89.270 106.938  96.141 101.983  64.785  24.259   5.544   2.302
    10.45    51.08    1998   3.381   8.174  21.454  51.932  99.553 103.064  90.553  92.439  45.397  19.566   3.664   2.437
    10.45    51.08    1999   3.366   5.316  17.499  48.863  98.381  98.742 109.181  88.960  69.920  21.857   5.962   2.357
    10.45    51.08    2000   2.894   6.446  17.808  57.232 105.755 112.425  72.386  97.364  50.036  26.311   6.391   2.646
    10.45    51.08    2001   2.938   5.536  12.932  39.347 106.107  86.667 118.166  93.065  39.484  30.626   6.741   1.954
    10.45    51.08    2002   3.232   9.002  23.679  47.873  81.865 103.475  90.100  84.929  53.379  19.831   3.996   1.951
    10.45    51.08    2003   2.801   4.590  19.511  56.341  89.908 131.195 107.975 119.055  58.875  20.191   5.532   2.459
    10.45    51.08    2004   2.728   5.428  21.946  59.251  78.915  94.859  97.771  99.199  62.560  28.763   3.827   2.208
    10.45    51.08    2005   3.095   4.336  18.061  56.271  92.472 111.331 107.126  76.881  66.337  31.367   8.123   2.182
    10.45    51.08    2006   2.571   4.413  11.691  45.176  94.777 115.720 145.543  69.263  71.014  28.989   8.799   2.815
    10.45    51.08    2007   3.437   6.104  21.159  75.700 100.755 108.994 103.611  90.126  49.214  22.940   5.937   2.247
    10.45    51.08    2008   3.621   8.104  20.350  42.298  98.701 112.344 108.211  85.492  47.162  25.851   4.586   2.068
    10.45    51.08    2009   2.666   4.650  11.568  67.632  88.615  80.983 102.845  98.553  55.766  20.245   6.850   2.176
    10.45    51.08    2010   2.081   4.590  19.192  58.775  63.178 113.124 127.021  74.012  46.905  25.113   6.125   1.633
    10.45    51.08    2011   3.072   5.684  25.813  70.621 104.731 103.522  90.656  80.429  61.519  30.721   5.712   2.580
    10.45    51.08    2012   3.151   4.671  29.136  43.973 100.114  86.172  99.888  98.763  57.146  27.088   5.797   2.375
