      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.012   0.009   0.009   0.030   0.059   0.052   0.073   0.062   0.058   0.027   0.014   0.008
    10.45    51.08    1952   0.009   0.001   0.011   0.039   0.050   0.070   0.101   0.085   0.032   0.015   0.008   0.001
    10.45    51.08    1953   0.003   0.004   0.019   0.050   0.070   0.070   0.072   0.073   0.055   0.038   0.018   0.011
    10.45    51.08    1954   0.002   0.000   0.014   0.023   0.058   0.085   0.057   0.058   0.054   0.026   0.014   0.008
    10.45    51.08    1955   0.002   0.004   0.003   0.022   0.057   0.066   0.071   0.050   0.048   0.028   0.009   0.005
    10.45    51.08    1956   0.010   0.000   0.006   0.020   0.055   0.056   0.054   0.053   0.048   0.032   0.009   0.008
    10.45    51.08    1957   0.003   0.014   0.024   0.032   0.048   0.080   0.089   0.057   0.040   0.020   0.012   0.004
    10.45    51.08    1958   0.008   0.011   0.003   0.015   0.055   0.057   0.070   0.073   0.062   0.031   0.010   0.006
    10.45    51.08    1959   0.009   0.002   0.024   0.042   0.063   0.072   0.107   0.079   0.060   0.036   0.010   0.004
    10.45    51.08    1960   0.007   0.003   0.013   0.031   0.045   0.076   0.075   0.067   0.050   0.023   0.013   0.006
    10.45    51.08    1961   0.003   0.010   0.027   0.032   0.035   0.054   0.089   0.068   0.075   0.052   0.017   0.005
    10.45    51.08    1962   0.007   0.006   0.001   0.026   0.044   0.072   0.066   0.078   0.051   0.036   0.012   0.002
    10.45    51.08    1963   0.000   0.000   0.006   0.026   0.054   0.074   0.080   0.061   0.051   0.025   0.015   0.003
    10.45    51.08    1964   0.000   0.003   0.003   0.025   0.052   0.091   0.086   0.073   0.058   0.027   0.012   0.007
    10.45    51.08    1965   0.006   0.001   0.004   0.026   0.041   0.054   0.066   0.061   0.043   0.032   0.008   0.005
    10.45    51.08    1966   0.003   0.007   0.015   0.025   0.063   0.076   0.046   0.054   0.040   0.038   0.006   0.005
    10.45    51.08    1967   0.005   0.011   0.019   0.022   0.058   0.050   0.085   0.075   0.040   0.036   0.013   0.003
    10.45    51.08    1968   0.002   0.008   0.009   0.039   0.049   0.075   0.095   0.078   0.056   0.031   0.014   0.002
    10.45    51.08    1969   0.003   0.004   0.001   0.018   0.049   0.055   0.093   0.100   0.042   0.035   0.020   0.001
    10.45    51.08    1970   0.000   0.000   0.003   0.017   0.044   0.085   0.093   0.067   0.056   0.029   0.014   0.007
    10.45    51.08    1971   0.002   0.011   0.006   0.035   0.074   0.072   0.094   0.109   0.058   0.039   0.014   0.008
    10.45    51.08    1972   0.004   0.005   0.018   0.031   0.044   0.059   0.080   0.055   0.040   0.023   0.015   0.006
    10.45    51.08    1973   0.003   0.008   0.012   0.021   0.058   0.089   0.106   0.090   0.068   0.025   0.010   0.002
    10.45    51.08    1974   0.013   0.013   0.014   0.039   0.043   0.055   0.057   0.078   0.063   0.020   0.010   0.010
    10.45    51.08    1975   0.018   0.009   0.014   0.018   0.052   0.061   0.091   0.102   0.067   0.036   0.011   0.006
    10.45    51.08    1976   0.011   0.001   0.006   0.030   0.064   0.071   0.119   0.074   0.056   0.041   0.013   0.006
    10.45    51.08    1977   0.003   0.012   0.025   0.019   0.058   0.068   0.071   0.054   0.046   0.031   0.019   0.005
    10.45    51.08    1978   0.009   0.002   0.018   0.028   0.046   0.086   0.068   0.080   0.046   0.027   0.013   0.004
    10.45    51.08    1979   0.000   0.000   0.008   0.020   0.050   0.103   0.072   0.082   0.065   0.040   0.010   0.010
    10.45    51.08    1980   0.002   0.010   0.012   0.024   0.046   0.088   0.069   0.098   0.067   0.035   0.011   0.005
    10.45    51.08    1981   0.004   0.003   0.018   0.040   0.047   0.072   0.095   0.071   0.057   0.027   0.012   0.003
    10.45    51.08    1982   0.001   0.005   0.014   0.032   0.062   0.109   0.108   0.105   0.083   0.046   0.022   0.009
    10.45    51.08    1983   0.017   0.005   0.016   0.023   0.046   0.071   0.112   0.090   0.065   0.043   0.015   0.005
    10.45    51.08    1984   0.016   0.005   0.006   0.021   0.038   0.053   0.069   0.071   0.046   0.029   0.013   0.007
    10.45    51.08    1985   0.000   0.002   0.009   0.037   0.069   0.078   0.090   0.086   0.062   0.050   0.011   0.010
    10.45    51.08    1986   0.004   0.001   0.007   0.016   0.067   0.063   0.101   0.092   0.039   0.037   0.014   0.008
    10.45    51.08    1987   0.002   0.001   0.001   0.032   0.048   0.042   0.085   0.055   0.058   0.027   0.013   0.004
    10.45    51.08    1988   0.016   0.011   0.009   0.029   0.077   0.082   0.082   0.094   0.061   0.044   0.016   0.007
    10.45    51.08    1989   0.015   0.010   0.024   0.035   0.064   0.077   0.094   0.087   0.063   0.039   0.016   0.005
    10.45    51.08    1990   0.008   0.018   0.025   0.025   0.065   0.052   0.071   0.090   0.049   0.037   0.016   0.004
    10.45    51.08    1991   0.012   0.001   0.024   0.030   0.036   0.061   0.095   0.070   0.064   0.040   0.014   0.004
    10.45    51.08    1992   0.011   0.008   0.018   0.025   0.070   0.086   0.075   0.092   0.049   0.027   0.010   0.006
    10.45    51.08    1993   0.008   0.001   0.012   0.036   0.083   0.058   0.054   0.067   0.038   0.026   0.005   0.004
    10.45    51.08    1994   0.011   0.005   0.017   0.024   0.061   0.061   0.099   0.089   0.038   0.020   0.015   0.008
    10.45    51.08    1995   0.004   0.014   0.014   0.025   0.048   0.044   0.082   0.087   0.037   0.028   0.011   0.001
    10.45    51.08    1996   0.000   0.000   0.004   0.026   0.040   0.071   0.052   0.063   0.030   0.023   0.012   0.003
    10.45    51.08    1997   0.000   0.010   0.021   0.020   0.062   0.076   0.065   0.082   0.060   0.029   0.008   0.005
    10.45    51.08    1998   0.015   0.009   0.019   0.032   0.063   0.074   0.068   0.080   0.036   0.017   0.007   0.002
    10.45    51.08    1999   0.013   0.004   0.015   0.031   0.062   0.064   0.066   0.073   0.067   0.033   0.011   0.006
    10.45    51.08    2000   0.007   0.010   0.015   0.032   0.083   0.077   0.060   0.072   0.044   0.028   0.016   0.011
    10.45    51.08    2001   0.007   0.012   0.011   0.019   0.056   0.058   0.067   0.089   0.044   0.035   0.012   0.003
    10.45    51.08    2002   0.002   0.020   0.015   0.021   0.047   0.062   0.064   0.059   0.048   0.017   0.010   0.003
    10.45    51.08    2003   0.005   0.003   0.014   0.031   0.074   0.082   0.086   0.097   0.048   0.022   0.011   0.006
    10.45    51.08    2004   0.008   0.010   0.012   0.030   0.036   0.062   0.062   0.086   0.053   0.032   0.015   0.004
    10.45    51.08    2005   0.012   0.001   0.008   0.034   0.050   0.075   0.081   0.056   0.055   0.030   0.019   0.005
    10.45    51.08    2006   0.002   0.002   0.002   0.027   0.062   0.059   0.094   0.063   0.051   0.036   0.018   0.012
    10.45    51.08    2007   0.018   0.011   0.020   0.039   0.063   0.061   0.053   0.044   0.032   0.019   0.008   0.004
    10.45    51.08    2008   0.011   0.012   0.016   0.018   0.060   0.078   0.074   0.076   0.045   0.023   0.010   0.004
    10.45    51.08    2009   0.001   0.004   0.013   0.041   0.047   0.050   0.070   0.077   0.050   0.022   0.011   0.005
    10.45    51.08    2010   0.000   0.001   0.012   0.034   0.036   0.066   0.087   0.042   0.031   0.017   0.011   0.000
    10.45    51.08    2011   0.006   0.005   0.013   0.048   0.065   0.075   0.056   0.061   0.048   0.030   0.011   0.008
    10.45    51.08    2012   0.012   0.001   0.024   0.030   0.064   0.054   0.054   0.068   0.049   0.027   0.011   0.004
