      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.621   0.715   0.782   0.818   0.762   0.725   0.685   0.644   0.605   0.584   0.632   0.696
    10.45    51.08    1952   0.744   0.799   0.874   0.913   0.892   0.823   0.622   0.437   0.508   0.696   0.853   0.921
    10.45    51.08    1953   0.970   0.999   0.995   0.952   0.813   0.693   0.643   0.564   0.493   0.481   0.507   0.530
    10.45    51.08    1954   0.606   0.659   0.719   0.766   0.723   0.570   0.558   0.593   0.598   0.616   0.641   0.682
    10.45    51.08    1955   0.741   0.826   0.855   0.917   0.882   0.787   0.716   0.726   0.712   0.710   0.733   0.785
    10.45    51.08    1956   0.869   0.889   0.936   0.965   0.945   0.891   0.941   0.970   0.963   0.959   0.992   1.000
    10.45    51.08    1957   1.000   1.000   0.998   0.981   0.916   0.787   0.661   0.626   0.621   0.659   0.693   0.730
    10.45    51.08    1958   0.832   0.887   0.949   0.992   0.979   0.918   0.890   0.799   0.744   0.762   0.829   0.878
    10.45    51.08    1959   0.949   0.976   0.980   0.961   0.896   0.792   0.601   0.488   0.453   0.424   0.528   0.603
    10.45    51.08    1960   0.710   0.795   0.847   0.859   0.834   0.756   0.616   0.557   0.568   0.620   0.718   0.783
    10.45    51.08    1961   0.873   0.962   0.995   0.995   0.990   0.971   0.819   0.734   0.639   0.541   0.547   0.639
    10.45    51.08    1962   0.715   0.781   0.815   0.883   0.876   0.779   0.641   0.533   0.506   0.502   0.507   0.545
    10.45    51.08    1963   0.570   0.575   0.660   0.741   0.712   0.614   0.581   0.584   0.587   0.613   0.642   0.678
    10.45    51.08    1964   0.692   0.747   0.778   0.834   0.832   0.710   0.530   0.469   0.449   0.455   0.496   0.543
    10.45    51.08    1965   0.616   0.679   0.728   0.787   0.802   0.755   0.699   0.649   0.605   0.595   0.605   0.703
    10.45    51.08    1966   0.776   0.834   0.872   0.922   0.889   0.769   0.766   0.746   0.757   0.740   0.821   0.896
    10.45    51.08    1967   0.964   0.989   0.999   0.994   0.937   0.884   0.797   0.671   0.676   0.700   0.722   0.773
    10.45    51.08    1968   0.821   0.877   0.935   0.940   0.922   0.856   0.725   0.626   0.617   0.662   0.688   0.718
    10.45    51.08    1969   0.756   0.809   0.846   0.940   0.970   0.939   0.849   0.677   0.666   0.654   0.683   0.710
    10.45    51.08    1970   0.721   0.810   0.894   0.964   0.991   0.927   0.786   0.736   0.739   0.749   0.829   0.882
    10.45    51.08    1971   0.906   0.961   0.986   0.986   0.931   0.869   0.741   0.512   0.445   0.438   0.473   0.572
    10.45    51.08    1972   0.603   0.634   0.672   0.732   0.720   0.690   0.656   0.663   0.660   0.651   0.679   0.716
    10.45    51.08    1973   0.728   0.778   0.836   0.865   0.859   0.744   0.571   0.481   0.427   0.480   0.578   0.674
    10.45    51.08    1974   0.751   0.807   0.858   0.830   0.802   0.760   0.770   0.691   0.644   0.661   0.778   0.872
    10.45    51.08    1975   0.942   0.968   0.985   0.996   0.948   0.851   0.772   0.576   0.465   0.456   0.492   0.558
    10.45    51.08    1976   0.671   0.771   0.809   0.823   0.747   0.631   0.408   0.312   0.283   0.294   0.337   0.416
    10.45    51.08    1977   0.483   0.592   0.668   0.740   0.739   0.674   0.671   0.721   0.760   0.773   0.847   0.918
    10.45    51.08    1978   0.974   0.994   1.000   0.991   0.969   0.885   0.807   0.730   0.703   0.733   0.739   0.772
    10.45    51.08    1979   0.814   0.825   0.920   0.996   0.978   0.883   0.801   0.748   0.663   0.635   0.673   0.743
    10.45    51.08    1980   0.801   0.876   0.904   0.949   0.922   0.812   0.771   0.648   0.557   0.553   0.593   0.657
    10.45    51.08    1981   0.746   0.788   0.844   0.850   0.841   0.818   0.761   0.707   0.693   0.732   0.794   0.878
    10.45    51.08    1982   0.934   0.953   0.966   0.967   0.924   0.762   0.608   0.475   0.395   0.395   0.428   0.484
    10.45    51.08    1983   0.553   0.622   0.657   0.773   0.817   0.804   0.637   0.474   0.440   0.439   0.437   0.458
    10.45    51.08    1984   0.518   0.622   0.676   0.754   0.795   0.846   0.783   0.739   0.722   0.812   0.853   0.892
    10.45    51.08    1985   0.911   0.955   0.974   0.980   0.930   0.803   0.689   0.544   0.460   0.399   0.391   0.422
    10.45    51.08    1986   0.506   0.553   0.622   0.749   0.766   0.764   0.600   0.438   0.413   0.413   0.445   0.474
    10.45    51.08    1987   0.593   0.668   0.751   0.853   0.802   0.839   0.813   0.819   0.802   0.821   0.891   0.973
    10.45    51.08    1988   1.000   1.000   0.999   0.989   0.893   0.689   0.583   0.454   0.380   0.380   0.392   0.481
    10.45    51.08    1989   0.596   0.632   0.722   0.759   0.731   0.626   0.551   0.558   0.555   0.579   0.621   0.674
    10.45    51.08    1990   0.722   0.758   0.806   0.809   0.755   0.649   0.608   0.561   0.576   0.590   0.610   0.653
    10.45    51.08    1991   0.718   0.736   0.759   0.752   0.721   0.621   0.558   0.556   0.534   0.523   0.539   0.566
    10.45    51.08    1992   0.625   0.658   0.707   0.766   0.716   0.577   0.567   0.541   0.547   0.558   0.610   0.703
    10.45    51.08    1993   0.763   0.806   0.854   0.858   0.740   0.705   0.670   0.665   0.643   0.659   0.702   0.777
    10.45    51.08    1994   0.876   0.937   0.990   0.991   0.932   0.899   0.778   0.641   0.646   0.656   0.700   0.773
    10.45    51.08    1995   0.828   0.926   0.975   0.987   0.949   0.961   0.883   0.756   0.737   0.780   0.820   0.850
    10.45    51.08    1996   0.875   0.895   0.938   0.961   0.953   0.898   0.843   0.782   0.814   0.852   0.924   0.977
    10.45    51.08    1997   0.991   0.999   0.998   0.995   0.958   0.808   0.689   0.648   0.561   0.541   0.578   0.656
    10.45    51.08    1998   0.739   0.776   0.830   0.843   0.777   0.663   0.576   0.511   0.520   0.634   0.816   0.863
    10.45    51.08    1999   0.892   0.947   0.995   0.993   0.921   0.822   0.759   0.655   0.555   0.515   0.535   0.622
    10.45    51.08    2000   0.699   0.810   0.929   0.969   0.855   0.661   0.528   0.462   0.453   0.473   0.506   0.547
    10.45    51.08    2001   0.593   0.638   0.726   0.854   0.829   0.729   0.650   0.526   0.501   0.522   0.566   0.715
    10.45    51.08    2002   0.761   0.813   0.898   0.925   0.950   0.916   0.846   0.827   0.781   0.834   0.959   0.999
    10.45    51.08    2003   1.000   1.000   0.999   0.983   0.903   0.797   0.630   0.422   0.366   0.392   0.423   0.486
    10.45    51.08    2004   0.566   0.635   0.668   0.665   0.688   0.615   0.539   0.443   0.400   0.389   0.412   0.459
    10.45    51.08    2005   0.506   0.582   0.653   0.697   0.652   0.514   0.398   0.401   0.398   0.401   0.414   0.447
    10.45    51.08    2006   0.496   0.529   0.570   0.651   0.607   0.534   0.407   0.384   0.404   0.404   0.434   0.470
    10.45    51.08    2007   0.542   0.624   0.720   0.741   0.603   0.504   0.486   0.488   0.486   0.510   0.600   0.750
    10.45    51.08    2008   0.809   0.873   0.927   0.986   0.928   0.770   0.633   0.467   0.415   0.434   0.477   0.560
    10.45    51.08    2009   0.611   0.653   0.780   0.814   0.791   0.750   0.679   0.558   0.469   0.510   0.618   0.761
    10.45    51.08    2010   0.841   0.872   0.937   0.941   0.918   0.902   0.700   0.743   0.829   0.849   0.909   0.971
    10.45    51.08    2011   0.994   1.000   0.997   0.953   0.805   0.593   0.535   0.483   0.471   0.466   0.469   0.506
    10.45    51.08    2012   0.612   0.672   0.700   0.680   0.598   0.510   0.546   0.511   0.492   0.486   0.498   0.562
