      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951   0.791  14.488  12.818    28.098
    10.45    51.08    1952   0.970  13.870  12.913    27.754
    10.45    51.08    1953   1.389  13.131  12.996    27.515
    10.45    51.08    1954   1.708  12.717  13.049    27.474
    10.45    51.08    1955   1.963  12.408  13.111    27.482
    10.45    51.08    1956   2.226  12.155  13.178    27.559
    10.45    51.08    1957   2.471  11.764  13.241    27.476
    10.45    51.08    1958   2.668  11.449  13.303    27.420
    10.45    51.08    1959   2.717  10.974  13.357    27.048
    10.45    51.08    1960   2.862  10.659  13.412    26.933
    10.45    51.08    1961   3.067  10.265  13.464    26.796
    10.45    51.08    1962   3.055   9.958  13.509    26.522
    10.45    51.08    1963   3.194   9.669  13.551    26.414
    10.45    51.08    1964   3.232   9.365  13.581    26.178
    10.45    51.08    1965   3.376   9.200  13.616    26.191
    10.45    51.08    1966   3.643   8.980  13.649    26.273
    10.45    51.08    1967   3.827   8.745  13.664    26.235
    10.45    51.08    1968   4.008   8.475  13.682    26.165
    10.45    51.08    1969   4.097   8.381  13.706    26.184
    10.45    51.08    1970   4.256   8.197  13.735    26.187
    10.45    51.08    1971   4.196   8.005  13.741    25.941
    10.45    51.08    1972   4.386   7.923  13.769    26.078
    10.45    51.08    1973   4.426   7.652  13.778    25.856
    10.45    51.08    1974   4.659   7.507  13.784    25.950
    10.45    51.08    1975   4.724   7.358  13.773    25.855
    10.45    51.08    1976   4.651   7.134  13.762    25.546
    10.45    51.08    1977   4.714   7.186  13.775    25.675
    10.45    51.08    1978   4.965   6.961  13.779    25.705
    10.45    51.08    1979   5.160   6.780  13.766    25.706
    10.45    51.08    1980   5.301   6.662  13.755    25.718
    10.45    51.08    1981   5.524   6.595  13.754    25.873
    10.45    51.08    1982   5.391   6.476  13.720    25.588
    10.45    51.08    1983   5.608   6.236  13.698    25.543
    10.45    51.08    1984   5.752   6.219  13.704    25.675
    10.45    51.08    1985   5.839   6.156  13.683    25.677
    10.45    51.08    1986   5.961   6.146  13.668    25.775
    10.45    51.08    1987   6.098   6.206  13.677    25.980
    10.45    51.08    1988   6.339   5.933  13.651    25.923
    10.45    51.08    1989   6.482   5.725  13.614    25.821
    10.45    51.08    1990   6.784   5.505  13.583    25.872
    10.45    51.08    1991   6.871   5.350  13.552    25.774
    10.45    51.08    1992   7.028   5.181  13.520    25.729
    10.45    51.08    1993   7.313   5.098  13.511    25.923
    10.45    51.08    1994   0.000  12.592  13.484    26.076
    10.45    51.08    1995   0.000  11.785  13.604    25.389
    10.45    51.08    1996   0.419  11.372  13.611    25.401
    10.45    51.08    1997   0.643  10.975  13.604    25.222
    10.45    51.08    1998   0.706  10.526  13.660    24.892
    10.45    51.08    1999   1.059   9.916  13.722    24.697
    10.45    51.08    2000   1.457   9.421  13.736    24.614
    10.45    51.08    2001   1.856   9.074  13.752    24.681
    10.45    51.08    2002   2.177   8.869  13.778    24.824
    10.45    51.08    2003   2.412   8.465  13.790    24.666
    10.45    51.08    2004   2.645   8.143  13.812    24.600
    10.45    51.08    2005   2.853   7.829  13.825    24.507
    10.45    51.08    2006   3.028   7.520  13.834    24.381
    10.45    51.08    2007   3.334   7.307  13.856    24.497
    10.45    51.08    2008   3.392   7.081  13.863    24.335
    10.45    51.08    2009   3.511   6.848  13.874    24.233
    10.45    51.08    2010   3.702   6.729  13.902    24.333
    10.45    51.08    2011   3.870   6.456  13.892    24.218
    10.45    51.08    2012   3.846   6.334  13.880    24.060
