      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.001   0.002   0.012   0.101   0.151   0.195   0.189   0.142   0.094   0.042   0.010   0.001
    10.45    51.08    1952   0.001   0.001   0.009   0.101   0.183   0.204   0.129   0.118   0.082   0.044   0.006   0.001
    10.45    51.08    1953   0.001   0.003   0.030   0.138   0.186   0.176   0.195   0.178   0.130   0.069   0.008   0.002
    10.45    51.08    1954   0.001   0.001   0.016   0.056   0.216   0.221   0.188   0.180   0.124   0.076   0.019   0.003
    10.45    51.08    1955   0.001   0.002   0.008   0.059   0.210   0.227   0.193   0.168   0.136   0.071   0.014   0.002
    10.45    51.08    1956   0.002   0.000   0.012   0.050   0.228   0.202   0.220   0.202   0.147   0.071   0.009   0.002
    10.45    51.08    1957   0.002   0.006   0.049   0.127   0.205   0.246   0.206   0.200   0.127   0.072   0.005   0.001
    10.45    51.08    1958   0.001   0.006   0.006   0.052   0.214   0.233   0.249   0.220   0.156   0.079   0.012   0.002
    10.45    51.08    1959   0.001   0.002   0.036   0.142   0.243   0.253   0.169   0.175   0.010   0.020   0.004   0.001
    10.45    51.08    1960   0.001   0.001   0.012   0.070   0.211   0.274   0.223   0.181   0.131   0.068   0.020   0.001
    10.45    51.08    1961   0.000   0.004   0.032   0.120   0.187   0.255   0.215   0.199   0.143   0.080   0.002   0.001
    10.45    51.08    1962   0.001   0.001   0.002   0.059   0.178   0.233   0.227   0.113   0.114   0.014   0.012   0.000
    10.45    51.08    1963   0.000   0.000   0.004   0.065   0.221   0.233   0.176   0.183   0.148   0.067   0.025   0.000
    10.45    51.08    1964   0.000   0.000   0.001   0.065   0.247   0.271   0.178   0.130   0.090   0.041   0.003   0.000
    10.45    51.08    1965   0.001   0.000   0.003   0.049   0.188   0.241   0.219   0.223   0.147   0.070   0.008   0.000
    10.45    51.08    1966   0.000   0.007   0.015   0.094   0.253   0.249   0.216   0.202   0.138   0.078   0.002   0.000
    10.45    51.08    1967   0.000   0.003   0.024   0.063   0.233   0.231   0.271   0.187   0.131   0.088   0.015   0.000
    10.45    51.08    1968   0.000   0.000   0.014   0.105   0.211   0.247   0.236   0.146   0.130   0.072   0.011   0.000
    10.45    51.08    1969   0.000   0.000   0.000   0.032   0.211   0.253   0.244   0.174   0.154   0.085   0.027   0.000
    10.45    51.08    1970   0.000   0.000   0.001   0.025   0.183   0.260   0.245   0.195   0.160   0.061   0.024   0.001
    10.45    51.08    1971   0.000   0.000   0.002   0.068   0.204   0.219   0.244   0.092   0.074   0.057   0.018   0.000
    10.45    51.08    1972   0.000   0.000   0.012   0.068   0.196   0.260   0.213   0.195   0.129   0.069   0.019   0.000
    10.45    51.08    1973   0.000   0.000   0.004   0.024   0.205   0.238   0.187   0.064   0.126   0.070   0.014   0.000
    10.45    51.08    1974   0.000   0.002   0.027   0.120   0.204   0.236   0.224   0.191   0.152   0.045   0.000   0.000
    10.45    51.08    1975   0.000   0.000   0.004   0.052   0.208   0.225   0.244   0.176   0.143   0.059   0.013   0.000
    10.45    51.08    1976   0.000   0.000   0.001   0.059   0.230   0.236   0.055   0.090   0.056   0.073   0.019   0.000
    10.45    51.08    1977   0.000   0.000   0.026   0.067   0.236   0.188   0.223   0.163   0.125   0.078   0.017   0.000
    10.45    51.08    1978   0.000   0.000   0.012   0.064   0.178   0.225   0.223   0.190   0.122   0.076   0.009   0.000
    10.45    51.08    1979   0.000   0.000   0.001   0.033   0.170   0.229   0.209   0.199   0.144   0.077   0.013   0.000
    10.45    51.08    1980   0.000   0.000   0.002   0.035   0.181   0.240   0.195   0.199   0.146   0.078   0.001   0.000
    10.45    51.08    1981   0.000   0.000   0.033   0.117   0.210   0.218   0.203   0.188   0.145   0.073   0.002   0.000
    10.45    51.08    1982   0.000   0.000   0.001   0.057   0.189   0.212   0.196   0.123   0.025   0.061   0.035   0.000
    10.45    51.08    1983   0.000   0.000   0.011   0.085   0.195   0.242   0.223   0.178   0.106   0.067   0.006   0.000
    10.45    51.08    1984   0.000   0.000   0.000   0.038   0.143   0.219   0.217   0.187   0.117   0.082   0.021   0.000
    10.45    51.08    1985   0.000   0.000   0.001   0.072   0.201   0.220   0.249   0.203   0.146   0.028   0.009   0.000
    10.45    51.08    1986   0.000   0.000   0.001   0.027   0.207   0.238   0.228   0.188   0.138   0.090   0.033   0.000
    10.45    51.08    1987   0.000   0.000   0.001   0.069   0.198   0.204   0.231   0.186   0.136   0.083   0.019   0.000
    10.45    51.08    1988   0.000   0.000   0.002   0.057   0.233   0.193   0.238   0.212   0.116   0.048   0.016   0.000
    10.45    51.08    1989   0.000   0.000   0.023   0.085   0.277   0.257   0.125   0.102   0.085   0.091   0.013   0.000
    10.45    51.08    1990   0.000   0.007   0.065   0.124   0.278   0.209   0.246   0.096   0.123   0.077   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.026   0.114   0.188   0.240   0.109   0.190   0.078   0.050   0.008   0.000
    10.45    51.08    1992   0.000   0.000   0.010   0.068   0.242   0.199   0.211   0.121   0.147   0.057   0.003   0.000
    10.45    51.08    1993   0.000   0.000   0.020   0.122   0.218   0.226   0.222   0.202   0.124   0.065   0.002   0.000
    10.45    51.08    1994   0.000   0.000   0.022   0.090   0.233   0.246   0.242   0.191   0.141   0.074   0.020   0.000
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1997   0.000   0.004   0.036   0.101   0.180   0.154   0.129   0.156   0.113   0.025   0.003   0.000
    10.45    51.08    1998   0.002   0.007   0.029   0.095   0.197   0.183   0.156   0.102   0.072   0.025   0.001   0.001
    10.45    51.08    1999   0.002   0.002   0.017   0.088   0.202   0.199   0.187   0.160   0.123   0.045   0.009   0.001
    10.45    51.08    2000   0.001   0.005   0.021   0.105   0.233   0.213   0.168   0.194   0.118   0.072   0.012   0.002
    10.45    51.08    2001   0.002   0.004   0.013   0.070   0.261   0.220   0.255   0.193   0.112   0.090   0.012   0.001
    10.45    51.08    2002   0.003   0.014   0.041   0.107   0.218   0.252   0.212   0.193   0.144   0.050   0.004   0.001
    10.45    51.08    2003   0.002   0.001   0.024   0.111   0.240   0.306   0.221   0.120   0.164   0.048   0.010   0.001
    10.45    51.08    2004   0.001   0.004   0.035   0.153   0.224   0.261   0.254   0.159   0.063   0.089   0.003   0.001
