      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951  -0.001   0.001   0.007   0.069   0.098   0.126   0.117   0.080   0.046   0.017  -0.004  -0.004
    10.45    51.08    1952  -0.001  -0.000   0.004   0.064   0.119   0.132   0.073   0.062   0.043   0.020  -0.001  -0.001
    10.45    51.08    1953  -0.002   0.000   0.018   0.095   0.124   0.114   0.125   0.113   0.081   0.039   0.001  -0.001
    10.45    51.08    1954  -0.002  -0.001   0.007   0.036   0.146   0.142   0.119   0.110   0.071   0.042   0.005  -0.004
    10.45    51.08    1955  -0.002  -0.002   0.002   0.036   0.140   0.146   0.114   0.097   0.078   0.038   0.002  -0.004
    10.45    51.08    1956  -0.004  -0.001   0.004   0.030   0.150   0.126   0.133   0.124   0.086   0.035  -0.001  -0.005
    10.45    51.08    1957  -0.004  -0.003   0.026   0.082   0.134   0.151   0.113   0.118   0.071   0.036  -0.005  -0.004
    10.45    51.08    1958  -0.004  -0.003  -0.000   0.031   0.134   0.144   0.149   0.125   0.084   0.036  -0.002  -0.006
    10.45    51.08    1959  -0.005  -0.003   0.017   0.089   0.156   0.156   0.079   0.089  -0.032  -0.010  -0.005  -0.005
    10.45    51.08    1960  -0.005  -0.003   0.002   0.041   0.133   0.170   0.132   0.098   0.069   0.030   0.001  -0.005
    10.45    51.08    1961  -0.004  -0.005   0.014   0.072   0.119   0.160   0.126   0.116   0.070   0.034  -0.007  -0.005
    10.45    51.08    1962  -0.006  -0.004  -0.003   0.032   0.114   0.144   0.138   0.043   0.057  -0.016  -0.000  -0.003
    10.45    51.08    1963  -0.001  -0.001  -0.004   0.037   0.142   0.143   0.089   0.100   0.082   0.032   0.004  -0.003
    10.45    51.08    1964  -0.003  -0.004  -0.004   0.036   0.159   0.166   0.089   0.057   0.035   0.012  -0.007  -0.005
    10.45    51.08    1965  -0.005  -0.003  -0.004   0.027   0.121   0.151   0.131   0.135   0.085   0.034  -0.002  -0.007
    10.45    51.08    1966  -0.004  -0.002   0.004   0.058   0.164   0.152   0.131   0.119   0.078   0.035  -0.006  -0.006
    10.45    51.08    1967  -0.006  -0.005   0.009   0.037   0.149   0.144   0.160   0.101   0.068   0.038   0.001  -0.006
    10.45    51.08    1968  -0.005  -0.005   0.002   0.062   0.135   0.152   0.138   0.069   0.067   0.030  -0.003  -0.004
    10.45    51.08    1969  -0.006  -0.004  -0.005   0.012   0.131   0.157   0.138   0.087   0.086   0.041   0.004  -0.003
    10.45    51.08    1970  -0.004  -0.004  -0.006   0.009   0.115   0.158   0.146   0.107   0.089   0.025   0.002  -0.006
    10.45    51.08    1971  -0.005  -0.006  -0.005   0.038   0.125   0.133   0.141   0.012   0.022   0.018   0.002  -0.010
    10.45    51.08    1972  -0.003  -0.006  -0.000   0.039   0.124   0.165   0.120   0.110   0.073   0.036   0.003  -0.006
    10.45    51.08    1973  -0.005  -0.006  -0.006   0.009   0.131   0.145   0.099  -0.002   0.060   0.035   0.000  -0.006
    10.45    51.08    1974  -0.008  -0.006   0.011   0.076   0.132   0.149   0.135   0.105   0.084   0.019  -0.010  -0.010
    10.45    51.08    1975  -0.010  -0.006  -0.006   0.028   0.132   0.139   0.141   0.085   0.072   0.024  -0.000  -0.007
    10.45    51.08    1976  -0.008  -0.005  -0.006   0.033   0.146   0.140  -0.020   0.024   0.010   0.031   0.002  -0.006
    10.45    51.08    1977  -0.006  -0.007   0.009   0.041   0.155   0.111   0.132   0.089   0.068   0.037   0.001  -0.007
    10.45    51.08    1978  -0.006  -0.004  -0.000   0.038   0.113   0.140   0.136   0.109   0.068   0.038  -0.004  -0.006
    10.45    51.08    1979  -0.003  -0.003  -0.008   0.015   0.105   0.135   0.125   0.115   0.079   0.038   0.000  -0.010
    10.45    51.08    1980  -0.004  -0.007  -0.007   0.016   0.117   0.149   0.115   0.110   0.079   0.040  -0.010  -0.007
    10.45    51.08    1981  -0.005  -0.005   0.013   0.073   0.130   0.129   0.115   0.103   0.079   0.034  -0.010  -0.004
    10.45    51.08    1982  -0.005  -0.005  -0.010   0.031   0.116   0.119   0.100   0.041  -0.032   0.019   0.010  -0.008
    10.45    51.08    1983  -0.010  -0.004  -0.001   0.050   0.123   0.148   0.120   0.090   0.046   0.027  -0.007  -0.007
    10.45    51.08    1984  -0.007  -0.005  -0.007   0.018   0.087   0.136   0.129   0.101   0.060   0.038   0.003  -0.007
    10.45    51.08    1985  -0.003  -0.004  -0.007   0.040   0.124   0.137   0.148   0.116   0.080  -0.006  -0.000  -0.011
    10.45    51.08    1986  -0.006  -0.002  -0.008   0.010   0.124   0.146   0.131   0.100   0.081   0.045   0.010  -0.008
    10.45    51.08    1987  -0.003  -0.005  -0.005   0.037   0.128   0.126   0.134   0.105   0.069   0.042   0.002  -0.008
    10.45    51.08    1988  -0.010  -0.007  -0.007   0.030   0.145   0.112   0.138   0.116   0.055   0.011   0.001  -0.009
    10.45    51.08    1989  -0.009  -0.008   0.005   0.049   0.178   0.159   0.047   0.026   0.026   0.043  -0.002  -0.010
    10.45    51.08    1990  -0.009  -0.006   0.035   0.078   0.178   0.123   0.145   0.016   0.065   0.034  -0.012  -0.007
    10.45    51.08    1991  -0.009  -0.005   0.006   0.070   0.120   0.149   0.022   0.095   0.014   0.011  -0.005  -0.007
    10.45    51.08    1992  -0.008  -0.008  -0.002   0.037   0.150   0.110   0.111   0.035   0.080   0.025  -0.010  -0.008
    10.45    51.08    1993  -0.010  -0.004   0.005   0.072   0.128   0.134   0.129   0.112   0.066   0.029  -0.006  -0.009
    10.45    51.08    1994  -0.010  -0.006   0.004   0.052   0.144   0.147   0.123   0.094   0.075   0.037  -0.000  -0.012
    10.45    51.08    1995   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1997  -0.000   0.002   0.022   0.069   0.119   0.100   0.078   0.089   0.063   0.002  -0.001  -0.001
    10.45    51.08    1998  -0.002   0.003   0.014   0.057   0.124   0.109   0.087   0.049   0.027  -0.001  -0.008  -0.000
    10.45    51.08    1999  -0.001   0.000   0.010   0.058   0.138   0.132   0.118   0.098   0.071   0.021   0.001  -0.001
    10.45    51.08    2000  -0.002   0.000   0.011   0.070   0.155   0.139   0.107   0.121   0.070   0.040   0.002   0.004
    10.45    51.08    2001  -0.002  -0.002   0.005   0.045   0.177   0.145   0.163   0.113   0.065   0.049   0.002  -0.003
    10.45    51.08    2002  -0.003   0.003   0.023   0.069   0.141   0.159   0.127   0.108   0.083   0.023  -0.004  -0.004
    10.45    51.08    2003  -0.004  -0.002   0.010   0.071   0.152   0.191   0.125   0.035   0.094   0.020  -0.002  -0.005
    10.45    51.08    2004  -0.004  -0.005   0.018   0.100   0.145   0.165   0.155   0.070   0.010   0.045  -0.006  -0.005
    10.45    51.08    2005  -0.006  -0.003   0.009   0.085   0.150   0.139   0.090   0.117   0.077   0.054   0.005  -0.005
    10.45    51.08    2006  -0.003  -0.003  -0.001   0.058   0.173   0.180   0.081   0.104   0.063   0.043   0.001  -0.008
    10.45    51.08    2007  -0.009  -0.006   0.010   0.119   0.158   0.163   0.141   0.130   0.083   0.032  -0.002  -0.006
    10.45    51.08    2008  -0.009  -0.001   0.013   0.059   0.177   0.156   0.131   0.029   0.024   0.037  -0.007  -0.006
    10.45    51.08    2009  -0.004  -0.005  -0.006   0.100   0.160   0.142   0.142   0.045   0.050   0.020  -0.008  -0.006
    10.45    51.08    2010  -0.003  -0.004   0.008   0.090   0.112   0.167   0.130   0.101   0.078   0.036  -0.003  -0.003
    10.45    51.08    2011  -0.007  -0.005   0.014   0.124   0.149   0.151   0.131   0.078   0.044   0.014  -0.006  -0.009
    10.45    51.08    2012  -0.008  -0.004   0.021   0.060   0.134   0.138   0.135   0.063   0.017   0.028  -0.005  -0.008
