      Lon      Lat    Year     dep     fix    fert    flux   leach     NEE
    10.45    51.08    1951  -11.23   -2.50   -0.00    5.24    0.42   -8.07
    10.45    51.08    1952  -11.23   -2.32   -0.00    7.71    0.81   -5.03
    10.45    51.08    1953  -11.23   -2.33   -0.00    5.90    0.26   -7.41
    10.45    51.08    1954  -11.23   -2.79   -0.00    5.12    0.16   -8.74
    10.45    51.08    1955  -11.23   -2.84   -0.00    2.55    0.40  -11.11
    10.45    51.08    1956  -11.23   -3.20   -0.00    1.67    0.49  -12.27
    10.45    51.08    1957  -11.23   -3.03   -0.00    4.64    0.33   -9.30
    10.45    51.08    1958  -11.23   -2.93   -0.00    3.24    0.19  -10.74
    10.45    51.08    1959  -11.23   -3.01   -0.00    8.62    0.03   -5.59
    10.45    51.08    1960  -14.10   -2.66   -0.00    7.06    0.00   -9.70
    10.45    51.08    1961  -14.10   -3.12   -0.00    7.41    0.08   -9.72
    10.45    51.08    1962  -14.10   -3.25   -0.00   11.47    0.02   -5.86
    10.45    51.08    1963  -14.10   -2.34   -0.00    6.10    0.00  -10.34
    10.45    51.08    1964  -14.10   -2.24   -0.00    7.14    0.00   -9.20
    10.45    51.08    1965  -14.10   -2.77   -0.00    5.79    0.01  -11.07
    10.45    51.08    1966  -14.10   -3.10   -0.00    3.42    0.02  -13.76
    10.45    51.08    1967  -14.10   -3.04   -0.00    5.44    0.16  -11.54
    10.45    51.08    1968  -14.10   -3.10   -0.00    6.39    0.01  -10.80
    10.45    51.08    1969  -14.10   -2.71   -0.00    4.61    0.01  -12.19
    10.45    51.08    1970  -16.97   -2.91   -0.00    4.98    0.01  -14.89
    10.45    51.08    1971  -16.97   -2.92   -0.00    6.35    0.00  -13.53
    10.45    51.08    1972  -16.97   -2.85   -0.00    1.65    0.00  -18.18
    10.45    51.08    1973  -16.97   -2.65   -0.00    6.21    0.00  -13.40
    10.45    51.08    1974  -16.97   -2.80   -0.00    2.33    0.01  -17.43
    10.45    51.08    1975  -16.97   -2.47   -0.00    5.63    0.03  -13.77
    10.45    51.08    1976  -16.97   -2.52   -0.00    5.91    0.00  -13.58
    10.45    51.08    1977  -16.97   -2.48   -0.00    2.85    0.01  -16.59
    10.45    51.08    1978  -16.97   -3.07   -0.00    4.48    0.08  -15.48
    10.45    51.08    1979  -16.97   -2.82   -0.00    4.52    0.10  -15.17
    10.45    51.08    1980  -17.99   -2.84   -0.00    5.20    0.00  -15.64
    10.45    51.08    1981  -17.99   -2.81   -0.00    1.61    0.02  -19.18
    10.45    51.08    1982  -17.99   -2.34   -0.00    5.63    0.01  -14.69
    10.45    51.08    1983  -17.99   -1.99   -0.00    5.07    0.01  -14.90
    10.45    51.08    1984  -17.99   -2.74   -0.00    1.39    0.02  -19.32
    10.45    51.08    1985  -17.99   -2.62   -0.00    5.47    0.05  -15.10
    10.45    51.08    1986  -17.99   -2.30   -0.00    3.56    0.02  -16.71
    10.45    51.08    1987  -17.99   -3.06   -0.00    1.35    0.16  -19.55
    10.45    51.08    1988  -17.99   -2.47   -0.00    5.37    0.47  -14.63
    10.45    51.08    1989  -17.99   -2.53   -0.00    4.82    0.00  -15.71
    10.45    51.08    1990  -19.66   -2.51   -0.00    4.53    0.00  -17.63
    10.45    51.08    1991  -19.66   -2.75   -0.00    4.99    0.00  -17.41
    10.45    51.08    1992  -19.66   -1.80   -0.00    4.24    0.01  -17.20
    10.45    51.08    1993  -19.66   -2.26   -0.00    2.58    0.01  -19.32
    10.45    51.08    1994  -19.66   -2.32   -0.00    1.67    0.24  -20.06
    10.45    51.08    1995  -19.66   -0.00   -0.00    0.91    1.01  -17.74
    10.45    51.08    1996  -19.66   -1.74   -0.00    1.29    0.95  -19.16
    10.45    51.08    1997  -19.66   -2.69   -0.00    6.81    0.49  -15.06
    10.45    51.08    1998  -19.66   -3.05   -0.00    6.19    0.47  -16.05
    10.45    51.08    1999  -19.66   -2.47   -0.00    3.94    0.34  -17.84
    10.45    51.08    2000  -21.34   -2.33   -0.00    5.70    0.48  -17.50
    10.45    51.08    2001  -21.34   -2.69   -0.00    3.96    0.24  -19.84
    10.45    51.08    2002  -21.34   -2.92   -0.00    1.57    0.71  -21.97
    10.45    51.08    2003  -21.34   -2.37   -0.00    6.24    0.19  -17.28
    10.45    51.08    2004  -21.34   -3.02   -0.00    6.03    0.00  -18.34
    10.45    51.08    2005  -21.34   -2.61   -0.00    6.10    0.01  -17.84
    10.45    51.08    2006  -21.34   -2.40   -0.00    5.80    0.00  -17.94
    10.45    51.08    2007  -21.34   -2.43   -0.00    3.85    0.00  -19.92
    10.45    51.08    2008  -21.34   -2.96   -0.00    6.11    0.01  -18.18
    10.45    51.08    2009  -21.34   -2.35   -0.00    5.42    0.01  -18.26
    10.45    51.08    2010  -20.03   -2.68   -0.00    3.92    0.02  -18.77
    10.45    51.08    2011  -20.03   -2.88   -0.00    6.63    0.11  -16.16
    10.45    51.08    2012  -20.03   -2.72   -0.00    5.73    0.00  -17.02
