      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    1.090    1.400    0.351    0.162    1.617    0.619    5.239
    10.45    51.08    1952    1.594    2.046    0.513    0.236    2.364    0.960    7.713
    10.45    51.08    1953    1.159    1.488    0.373    0.172    1.718    0.989    5.898
    10.45    51.08    1954    0.930    1.194    0.299    0.138    1.379    1.177    5.117
    10.45    51.08    1955    0.387    0.496    0.125    0.057    0.573    0.911    2.549
    10.45    51.08    1956    0.180    0.232    0.058    0.027    0.268    0.910    1.675
    10.45    51.08    1957    0.780    1.002    0.251    0.116    1.158    1.329    4.637
    10.45    51.08    1958    0.455    0.584    0.146    0.067    0.674    1.311    3.238
    10.45    51.08    1959    1.673    2.148    0.539    0.248    2.481    1.536    8.625
    10.45    51.08    1960    1.355    1.740    0.436    0.201    2.010    1.314    7.057
    10.45    51.08    1961    1.412    1.813    0.455    0.209    2.094    1.430    7.413
    10.45    51.08    1962    2.358    3.027    0.759    0.350    3.497    1.482   11.473
    10.45    51.08    1963    1.111    1.426    0.358    0.165    1.647    1.391    6.097
    10.45    51.08    1964    1.320    1.694    0.425    0.196    1.957    1.551    7.143
    10.45    51.08    1965    1.065    1.367    0.343    0.158    1.579    1.279    5.791
    10.45    51.08    1966    0.488    0.626    0.157    0.072    0.724    1.351    3.418
    10.45    51.08    1967    0.906    1.163    0.292    0.134    1.343    1.599    5.437
    10.45    51.08    1968    1.148    1.473    0.370    0.170    1.702    1.526    6.389
    10.45    51.08    1969    0.771    0.989    0.248    0.114    1.143    1.344    4.609
    10.45    51.08    1970    0.844    1.083    0.272    0.125    1.251    1.406    4.981
    10.45    51.08    1971    1.119    1.437    0.360    0.166    1.659    1.612    6.353
    10.45    51.08    1972    0.130    0.166    0.042    0.019    0.192    1.097    1.647
    10.45    51.08    1973    1.073    1.378    0.346    0.159    1.591    1.667    6.213
    10.45    51.08    1974    0.243    0.312    0.078    0.036    0.360    1.296    2.326
    10.45    51.08    1975    0.945    1.213    0.304    0.140    1.401    1.629    5.633
    10.45    51.08    1976    1.042    1.337    0.335    0.154    1.545    1.494    5.908
    10.45    51.08    1977    0.436    0.560    0.140    0.065    0.647    1.000    2.848
    10.45    51.08    1978    0.734    0.943    0.236    0.109    1.089    1.369    4.480
    10.45    51.08    1979    0.734    0.943    0.236    0.109    1.089    1.410    4.521
    10.45    51.08    1980    0.912    1.170    0.294    0.135    1.352    1.335    5.198
    10.45    51.08    1981    0.109    0.140    0.035    0.016    0.162    1.144    1.607
    10.45    51.08    1982    0.951    1.221    0.306    0.141    1.411    1.604    5.635
    10.45    51.08    1983    0.900    1.156    0.290    0.133    1.335    1.260    5.074
    10.45    51.08    1984    0.103    0.132    0.033    0.015    0.153    0.957    1.393
    10.45    51.08    1985    0.946    1.214    0.305    0.140    1.402    1.460    5.467
    10.45    51.08    1986    0.541    0.695    0.174    0.080    0.803    1.269    3.563
    10.45    51.08    1987    0.102    0.130    0.033    0.015    0.151    0.915    1.346
    10.45    51.08    1988    0.924    1.186    0.298    0.137    1.370    1.452    5.367
    10.45    51.08    1989    0.811    1.041    0.261    0.120    1.203    1.381    4.817
    10.45    51.08    1990    0.775    0.995    0.250    0.115    1.149    1.251    4.535
    10.45    51.08    1991    0.865    1.111    0.279    0.128    1.283    1.327    4.994
    10.45    51.08    1992    0.694    0.891    0.223    0.103    1.029    1.301    4.242
    10.45    51.08    1993    0.364    0.467    0.117    0.054    0.539    1.042    2.583
    10.45    51.08    1994    0.085    0.109    0.027    0.013    0.126    1.315    1.674
    10.45    51.08    1995    0.172    0.220    0.055    0.025    0.255    0.178    0.906
    10.45    51.08    1996    0.167    0.214    0.054    0.025    0.247    0.588    1.294
    10.45    51.08    1997    1.331    1.709    0.429    0.197    1.974    1.165    6.806
    10.45    51.08    1998    1.247    1.601    0.401    0.185    1.849    0.905    6.188
    10.45    51.08    1999    0.674    0.866    0.217    0.100    1.000    1.080    3.938
    10.45    51.08    2000    1.052    1.351    0.339    0.156    1.561    1.238    5.697
    10.45    51.08    2001    0.619    0.795    0.199    0.092    0.918    1.336    3.959
    10.45    51.08    2002    0.136    0.174    0.044    0.020    0.201    0.996    1.571
    10.45    51.08    2003    1.108    1.422    0.357    0.164    1.643    1.543    6.237
    10.45    51.08    2004    1.094    1.405    0.352    0.162    1.623    1.390    6.025
    10.45    51.08    2005    1.066    1.369    0.343    0.158    1.581    1.581    6.099
    10.45    51.08    2006    0.981    1.259    0.316    0.145    1.454    1.649    5.804
    10.45    51.08    2007    0.551    0.708    0.178    0.082    0.818    1.510    3.846
    10.45    51.08    2008    1.016    1.304    0.327    0.151    1.506    1.811    6.114
    10.45    51.08    2009    0.888    1.141    0.286    0.132    1.317    1.659    5.423
    10.45    51.08    2010    0.590    0.758    0.190    0.088    0.875    1.423    3.923
    10.45    51.08    2011    1.112    1.427    0.358    0.165    1.649    1.922    6.633
    10.45    51.08    2012    0.939    1.205    0.302    0.139    1.392    1.748    5.725
