      Lon      Lat    Year     dep     fix    fert   input    min    imm netmin  Total
    10.45    51.08    1951   11.23    2.50    0.00   13.73 152.79  99.01  53.78  67.51
    10.45    51.08    1952   11.23    2.32    0.00   13.55 165.17  73.70  91.47 105.02
    10.45    51.08    1953   11.23    2.33    0.00   13.56 191.12  96.49  94.63 108.20
    10.45    51.08    1954   11.23    2.79    0.00   14.02 163.53  45.85 117.68 131.69
    10.45    51.08    1955   11.23    2.84    0.00   14.07 135.61  47.52  88.09 102.16
    10.45    51.08    1956   11.23    3.20    0.00   14.44 134.21  47.55  86.66 101.09
    10.45    51.08    1957   11.23    3.03    0.00   14.26 190.12  60.57 129.55 143.81
    10.45    51.08    1958   11.23    2.93    0.00   14.16 183.65  56.58 127.08 141.24
    10.45    51.08    1959   11.23    3.01    0.00   14.24 217.79  68.02 149.77 164.02
    10.45    51.08    1960   14.10    2.66    0.00   16.76 188.51  61.28 127.24 144.00
    10.45    51.08    1961   14.10    3.12    0.00   17.22 207.61  69.06 138.55 155.76
    10.45    51.08    1962   14.10    3.25    0.00   17.35 190.94  45.43 145.51 162.86
    10.45    51.08    1963   14.10    2.34    0.00   16.44 190.59  53.53 137.06 153.51
    10.45    51.08    1964   14.10    2.24    0.00   16.34 208.18  54.82 153.36 169.70
    10.45    51.08    1965   14.10    2.77    0.00   16.87 174.39  48.62 125.77 142.64
    10.45    51.08    1966   14.10    3.10    0.00   17.20 181.95  49.73 132.23 149.43
    10.45    51.08    1967   14.10    3.04    0.00   17.14 214.77  57.20 157.57 174.71
    10.45    51.08    1968   14.10    3.10    0.00   17.20 199.30  48.27 151.02 168.23
    10.45    51.08    1969   14.10    2.71    0.00   16.81 175.66  43.23 132.43 149.24
    10.45    51.08    1970   16.97    2.91    0.00   19.88 179.06  40.10 138.96 158.85
    10.45    51.08    1971   16.97    2.92    0.00   19.89 214.61  55.75 158.86 178.75
    10.45    51.08    1972   16.97    2.85    0.00   19.82 154.12  46.73 107.40 127.22
    10.45    51.08    1973   16.97    2.65    0.00   19.62 214.49  50.58 163.90 183.52
    10.45    51.08    1974   16.97    2.80    0.00   19.77 181.48  53.71 127.76 147.53
    10.45    51.08    1975   16.97    2.47    0.00   19.44 219.03  58.36 160.67 180.11
    10.45    51.08    1976   16.97    2.52    0.00   19.49 206.41  58.96 147.45 166.95
    10.45    51.08    1977   16.97    2.48    0.00   19.45 145.70  47.45  98.25 117.70
    10.45    51.08    1978   16.97    3.07    0.00   20.04 186.50  51.91 134.59 154.64
    10.45    51.08    1979   16.97    2.82    0.00   19.79 185.88  45.74 140.14 159.93
    10.45    51.08    1980   17.99    2.84    0.00   20.84 179.23  47.28 131.95 152.79
    10.45    51.08    1981   17.99    2.81    0.00   20.80 155.14  41.75 113.39 134.20
    10.45    51.08    1982   17.99    2.34    0.00   20.33 220.53  61.53 159.00 179.33
    10.45    51.08    1983   17.99    1.99    0.00   19.99 190.35  66.86 123.49 143.48
    10.45    51.08    1984   17.99    2.74    0.00   20.74 134.30  40.81  93.49 114.23
    10.45    51.08    1985   17.99    2.62    0.00   20.61 197.16  51.94 145.22 165.84
    10.45    51.08    1986   17.99    2.30    0.00   20.29 167.47  41.75 125.72 146.01
    10.45    51.08    1987   17.99    3.06    0.00   21.06 126.21  36.00  90.21 111.27
    10.45    51.08    1988   17.99    2.47    0.00   20.46 202.24  58.63 143.61 164.07
    10.45    51.08    1989   17.99    2.53    0.00   20.53 198.96  62.39 136.57 157.10
    10.45    51.08    1990   19.66    2.51    0.00   22.17 186.95  63.38 123.57 145.73
    10.45    51.08    1991   19.66    2.75    0.00   22.41 188.07  56.77 131.30 153.71
    10.45    51.08    1992   19.66    1.80    0.00   21.46 187.84  59.63 128.21 149.67
    10.45    51.08    1993   19.66    2.26    0.00   21.92 144.61  41.77 102.84 124.76
    10.45    51.08    1994   19.66    2.32    0.00   21.98 176.11  45.56 130.56 152.53
    10.45    51.08    1995   19.66    0.00    0.00   19.66 159.78 201.34 -41.56 -21.90
    10.45    51.08    1996   19.66    1.74    0.00   21.40 118.31  59.54  58.78  80.17
    10.45    51.08    1997   19.66    2.69    0.00   22.35 202.45  85.97 116.48 138.83
    10.45    51.08    1998   19.66    3.05    0.00   22.71 175.23  87.32  87.91 110.62
    10.45    51.08    1999   19.66    2.47    0.00   22.13 206.87 106.95  99.92 122.05
    10.45    51.08    2000   21.34    2.33    0.00   23.67 200.09  80.07 120.02 143.69
    10.45    51.08    2001   21.34    2.69    0.00   24.04 186.19  52.61 133.58 157.62
    10.45    51.08    2002   21.34    2.92    0.00   24.26 148.74  51.86  96.88 121.14
    10.45    51.08    2003   21.34    2.37    0.00   23.71 222.59  72.48 150.11 173.82
    10.45    51.08    2004   21.34    3.02    0.00   24.36 199.51  63.94 135.56 159.92
    10.45    51.08    2005   21.34    2.61    0.00   23.95 223.32  68.41 154.90 178.85
    10.45    51.08    2006   21.34    2.40    0.00   23.74 233.97  71.49 162.48 186.22
    10.45    51.08    2007   21.34    2.43    0.00   23.77 210.76  65.90 144.86 168.63
    10.45    51.08    2008   21.34    2.96    0.00   24.31 242.14  65.06 177.09 201.39
    10.45    51.08    2009   21.34    2.35    0.00   23.70 225.02  62.27 162.75 186.45
    10.45    51.08    2010   20.03    2.68    0.00   22.71 186.56  45.78 140.78 163.49
    10.45    51.08    2011   20.03    2.88    0.00   22.91 254.94  65.02 189.92 212.83
    10.45    51.08    2012   20.03    2.72    0.00   22.75 242.44  70.23 172.21 194.96
