      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.002   0.043   0.167   0.214   0.210   0.170   0.125   0.057   0.014   0.000
    10.45    51.08    1952   0.000   0.000   0.000   0.080   0.197   0.217   0.205   0.164   0.094   0.047   0.006   0.000
    10.45    51.08    1953   0.000   0.000   0.014   0.126   0.184   0.177   0.196   0.180   0.131   0.067   0.004   0.000
    10.45    51.08    1954   0.000   0.000   0.002   0.031   0.186   0.203   0.170   0.163   0.111   0.067   0.014   0.000
    10.45    51.08    1955   0.000   0.000   0.002   0.033   0.173   0.196   0.167   0.146   0.118   0.058   0.010   0.000
    10.45    51.08    1956   0.000   0.000   0.001   0.024   0.180   0.171   0.186   0.172   0.125   0.057   0.006   0.000
    10.45    51.08    1957   0.000   0.000   0.024   0.088   0.164   0.219   0.168   0.167   0.105   0.058   0.001   0.000
    10.45    51.08    1958   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1959   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1960   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1961   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    10.45    51.08    1962   0.001   0.001   0.004   0.070   0.139   0.149   0.158   0.120   0.080   0.033   0.004   0.000
    10.45    51.08    1963   0.000   0.000   0.008   0.070   0.175   0.166   0.179   0.137   0.094   0.034   0.013   0.000
    10.45    51.08    1964   0.000   0.002   0.004   0.065   0.197   0.209   0.187   0.145   0.110   0.041   0.004   0.001
    10.45    51.08    1965   0.002   0.000   0.009   0.051   0.160   0.205   0.186   0.189   0.124   0.061   0.007   0.002
    10.45    51.08    1966   0.001   0.009   0.017   0.084   0.232   0.231   0.200   0.187   0.127   0.072   0.003   0.002
    10.45    51.08    1967   0.002   0.007   0.027   0.061   0.225   0.223   0.264   0.190   0.126   0.084   0.014   0.001
    10.45    51.08    1968   0.001   0.002   0.024   0.102   0.202   0.245   0.245   0.190   0.128   0.068   0.012   0.000
    10.45    51.08    1969   0.002   0.001   0.002   0.045   0.212   0.253   0.248   0.171   0.153   0.083   0.025   0.000
    10.45    51.08    1970   0.000   0.001   0.005   0.035   0.187   0.265   0.249   0.198   0.161   0.058   0.021   0.002
    10.45    51.08    1971   0.001   0.002   0.007   0.077   0.207   0.221   0.249   0.148   0.079   0.055   0.017   0.002
    10.45    51.08    1972   0.000   0.002   0.021   0.069   0.199   0.266   0.219   0.199   0.128   0.061   0.018   0.001
    10.45    51.08    1973   0.000   0.001   0.011   0.029   0.210   0.247   0.189   0.064   0.126   0.065   0.012   0.001
    10.45    51.08    1974   0.001   0.003   0.031   0.116   0.203   0.239   0.230   0.196   0.154   0.038   0.002   0.001
    10.45    51.08    1975   0.002   0.001   0.007   0.058   0.210   0.225   0.249   0.176   0.146   0.054   0.011   0.001
    10.45    51.08    1976   0.001   0.001   0.003   0.063   0.236   0.234   0.059   0.093   0.058   0.070   0.015   0.000
    10.45    51.08    1977   0.000   0.002   0.027   0.063   0.236   0.192   0.229   0.168   0.124   0.076   0.018   0.000
    10.45    51.08    1978   0.000   0.001   0.014   0.066   0.181   0.231   0.231   0.196   0.125   0.074   0.007   0.000
    10.45    51.08    1979   0.000   0.000   0.002   0.036   0.177   0.237   0.217   0.206   0.143   0.073   0.011   0.000
    10.45    51.08    1980   0.000   0.001   0.003   0.036   0.194   0.246   0.201   0.147   0.126   0.057   0.001   0.001
    10.45    51.08    1981   0.000   0.000   0.035   0.111   0.209   0.223   0.208   0.193   0.148   0.069   0.002   0.000
    10.45    51.08    1982   0.000   0.000   0.002   0.057   0.201   0.215   0.204   0.065   0.021   0.059   0.031   0.000
    10.45    51.08    1983   0.000   0.000   0.011   0.088   0.195   0.249   0.219   0.155   0.110   0.057   0.006   0.000
    10.45    51.08    1984   0.000   0.000   0.001   0.040   0.141   0.223   0.222   0.192   0.117   0.080   0.017   0.000
    10.45    51.08    1985   0.000   0.000   0.001   0.071   0.205   0.223   0.251   0.210   0.107   0.014   0.008   0.000
    10.45    51.08    1986   0.000   0.000   0.002   0.028   0.216   0.243   0.236   0.188   0.138   0.089   0.029   0.000
    10.45    51.08    1987   0.000   0.000   0.001   0.078   0.196   0.211   0.244   0.193   0.140   0.080   0.016   0.000
    10.45    51.08    1988   0.000   0.000   0.002   0.062   0.239   0.203   0.250   0.177   0.078   0.047   0.014   0.000
    10.45    51.08    1989   0.000   0.000   0.025   0.083   0.278   0.260   0.100   0.102   0.087   0.090   0.012   0.000
    10.45    51.08    1990   0.000   0.008   0.064   0.117   0.285   0.216   0.219   0.089   0.126   0.075   0.000   0.000
    10.45    51.08    1991   0.000   0.000   0.027   0.112   0.184   0.243   0.086   0.195   0.061   0.046   0.007   0.000
    10.45    51.08    1992   0.000   0.000   0.009   0.066   0.242   0.201   0.212   0.109   0.148   0.051   0.002   0.000
    10.45    51.08    1993   0.000   0.000   0.019   0.122   0.223   0.231   0.227   0.206   0.124   0.062   0.001   0.000
    10.45    51.08    1994   0.000   0.000   0.021   0.087   0.233   0.249   0.246   0.194   0.142   0.068   0.019   0.000
    10.45    51.08    1995   0.000   0.001   0.010   0.082   0.222   0.214   0.257   0.224   0.123   0.088   0.009   0.000
    10.45    51.08    1996   0.000   0.000   0.000   0.067   0.176   0.256   0.235   0.195   0.111   0.076   0.021   0.000
    10.45    51.08    1997   0.000   0.002   0.031   0.079   0.223   0.244   0.207   0.211   0.174   0.066   0.008   0.000
    10.45    51.08    1998   0.000   0.007   0.031   0.135   0.257   0.243   0.219   0.132   0.127   0.054   0.000   0.000
    10.45    51.08    1999   0.000   0.001   0.017   0.111   0.258   0.253   0.236   0.208   0.166   0.071   0.013   0.000
    10.45    51.08    2000   0.000   0.001   0.021   0.119   0.269   0.226   0.192   0.189   0.136   0.087   0.013   0.000
    10.45    51.08    2001   0.000   0.000   0.012   0.082   0.275   0.232   0.264   0.162   0.120   0.096   0.015   0.000
    10.45    51.08    2002   0.000   0.012   0.047   0.124   0.220   0.250   0.209   0.189   0.147   0.053   0.000   0.000
    10.45    51.08    2003   0.000   0.000   0.013   0.096   0.237   0.295   0.211   0.073   0.161   0.060   0.007   0.000
    10.45    51.08    2004   0.000   0.002   0.034   0.153   0.229   0.249   0.241   0.153   0.057   0.094   0.000   0.000
    10.45    51.08    2005   0.000   0.000   0.016   0.130   0.240   0.235   0.181   0.184   0.167   0.107   0.021   0.000
    10.45    51.08    2006   0.000   0.000   0.004   0.085   0.257   0.278   0.230   0.180   0.161   0.095   0.026   0.000
