      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.826   0.850   0.817   0.546   0.389   0.761   0.550   0.673   0.548   0.520   0.849   0.902
    10.45    51.08    1952   0.909   0.926   0.909   0.746   0.700   0.484   0.248   0.186   0.774   0.923   0.922   0.938
    10.45    51.08    1953   0.918   0.944   0.716   0.430   0.355   0.541   0.617   0.470   0.320   0.405   0.640   0.625
    10.45    51.08    1954   0.806   0.873   0.741   0.668   0.442   0.379   0.667   0.678   0.596   0.741   0.732   0.809
    10.45    51.08    1955   0.940   0.928   0.918   0.728   0.478   0.480   0.667   0.799   0.625   0.586   0.807   0.863
    10.45    51.08    1956   0.906   0.862   0.826   0.722   0.573   0.746   0.805   0.654   0.537   0.618   0.794   0.800
    10.45    51.08    1957   0.893   0.833   0.729   0.553   0.470   0.489   0.625   0.632   0.580   0.847   0.883   0.892
    10.45    51.08    1958   0.924   0.838   0.910   0.751   0.670   0.689   0.656   0.630   0.569   0.771   0.903   0.878
    10.45    51.08    1959   0.910   0.807   0.649   0.681   0.716   0.762   0.509   0.711   0.591   0.530   0.930   0.870
    10.45    51.08    1960   0.907   0.884   0.761   0.562   0.666   0.522   0.464   0.625   0.743   0.881   0.843   0.878
    10.45    51.08    1961   0.939   0.875   0.673   0.868   0.893   0.828   0.613   0.708   0.639   0.559   0.715   0.887
    10.45    51.08    1962   0.904   0.898   0.909   0.641   0.454   0.109   0.216   0.044   0.205   0.086   0.119   0.440
    10.45    51.08    1963   0.571   0.579   0.818   0.687   0.377   0.263   0.366   0.511   0.388   0.629   0.778   0.921
    10.45    51.08    1964   0.900   0.883   0.757   0.680   0.660   0.303   0.109   0.164   0.050   0.191   0.431   0.579
    10.45    51.08    1965   0.762   0.835   0.870   0.619   0.592   0.594   0.495   0.446   0.421   0.338   0.554   0.893
    10.45    51.08    1966   0.905   0.930   0.744   0.678   0.438   0.403   0.835   0.656   0.682   0.565   0.917   0.918
    10.45    51.08    1967   0.920   0.811   0.727   0.596   0.331   0.617   0.449   0.333   0.649   0.709   0.754   0.818
    10.45    51.08    1968   0.925   0.885   0.842   0.513   0.593   0.358   0.133   0.119   0.398   0.848   0.900   0.850
    10.45    51.08    1969   0.843   0.840   0.911   0.823   0.757   0.753   0.342   0.228   0.698   0.541   0.640   0.725
    10.45    51.08    1970   0.755   0.938   0.899   0.812   0.671   0.285   0.154   0.586   0.560   0.643   0.915   0.916
    10.45    51.08    1971   0.889   0.807   0.707   0.530   0.360   0.368   0.084   0.049   0.031   0.200   0.551   0.877
    10.45    51.08    1972   0.812   0.810   0.780   0.603   0.584   0.629   0.553   0.869   0.622   0.476   0.722   0.853
    10.45    51.08    1973   0.815   0.878   0.816   0.610   0.448   0.089   0.054   0.018   0.235   0.562   0.905   0.914
    10.45    51.08    1974   0.880   0.832   0.807   0.420   0.441   0.457   0.650   0.353   0.270   0.516   0.888   0.923
    10.45    51.08    1975   0.893   0.827   0.767   0.731   0.565   0.383   0.321   0.116   0.206   0.171   0.357   0.509
    10.45    51.08    1976   0.839   0.857   0.681   0.483   0.186   0.362   0.021   0.032   0.025   0.316   0.463   0.630
    10.45    51.08    1977   0.656   0.729   0.789   0.693   0.409   0.354   0.674   0.839   0.818   0.807   0.917   0.917
    10.45    51.08    1978   0.866   0.812   0.725   0.518   0.498   0.152   0.179   0.198   0.338   0.733   0.686   0.766
    10.45    51.08    1979   0.843   0.870   0.910   0.798   0.536   0.223   0.354   0.214   0.158   0.178   0.606   0.866
    10.45    51.08    1980   0.878   0.823   0.665   0.627   0.435   0.185   0.341   0.036   0.047   0.228   0.472   0.754
    10.45    51.08    1981   0.870   0.893   0.835   0.570   0.798   0.714   0.297   0.596   0.506   0.902   0.904   0.943
    10.45    51.08    1982   0.919   0.866   0.669   0.451   0.368   0.078   0.087   0.022   0.000   0.403   0.493   0.560
    10.45    51.08    1983   0.607   0.659   0.647   0.851   0.711   0.539   0.077   0.201   0.143   0.050   0.031   0.274
    10.45    51.08    1984   0.500   0.808   0.733   0.781   0.725   0.746   0.528   0.630   0.736   0.883   0.904   0.911
    10.45    51.08    1985   0.917   0.878   0.751   0.569   0.254   0.201   0.154   0.124   0.075   0.000   0.078   0.499
    10.45    51.08    1986   0.841   0.860   0.844   0.868   0.633   0.701   0.133   0.171   0.415   0.516   0.883   0.817
    10.45    51.08    1987   0.941   0.924   0.946   0.652   0.518   0.886   0.576   0.743   0.686   0.819   0.844   0.924
    10.45    51.08    1988   0.892   0.856   0.884   0.689   0.195   0.108   0.466   0.140   0.022   0.043   0.161   0.753
    10.45    51.08    1989   0.877   0.754   0.742   0.536   0.373   0.193   0.058   0.035   0.087   0.241   0.732   0.873
    10.45    51.08    1990   0.884   0.795   0.771   0.586   0.261   0.498   0.391   0.050   0.195   0.093   0.385   0.725
    10.45    51.08    1991   0.770   0.726   0.644   0.401   0.333   0.143   0.036   0.517   0.016   0.018   0.156   0.374
    10.45    51.08    1992   0.706   0.700   0.735   0.669   0.307   0.262   0.570   0.090   0.283   0.221   0.637   0.931
    10.45    51.08    1993   0.924   0.923   0.794   0.512   0.218   0.771   0.731   0.577   0.590   0.689   0.860   0.910
    10.45    51.08    1994   0.916   0.868   0.843   0.747   0.568   0.609   0.522   0.368   0.698   0.706   0.792   0.915
    10.45    51.08    1995   0.903   0.887   0.712   0.608   0.536   0.828   0.585   0.465   0.698   0.827   0.780   0.794
    10.45    51.08    1996   0.857   0.850   0.735   0.571   0.723   0.583   0.676   0.664   0.812   0.794   0.923   0.917
    10.45    51.08    1997   0.917   0.891   0.824   0.647   0.424   0.078   0.408   0.518   0.311   0.386   0.630   0.817
    10.45    51.08    1998   0.851   0.752   0.736   0.549   0.470   0.308   0.317   0.109   0.537   0.917   0.930   0.882
    10.45    51.08    1999   0.834   0.802   0.759   0.609   0.306   0.493   0.700   0.431   0.195   0.183   0.666   0.863
    10.45    51.08    2000   0.900   0.906   0.867   0.636   0.252   0.043   0.246   0.202   0.412   0.581   0.602   0.625
    10.45    51.08    2001   0.635   0.710   0.786   0.778   0.539   0.375   0.604   0.154   0.330   0.496   0.740   0.925
    10.45    51.08    2002   0.890   0.839   0.869   0.687   0.764   0.705   0.617   0.760   0.607   0.816   0.920   0.923
    10.45    51.08    2003   0.926   0.895   0.771   0.437   0.302   0.479   0.118   0.015   0.216   0.311   0.469   0.751
    10.45    51.08    2004   0.817   0.846   0.688   0.510   0.815   0.423   0.464   0.068   0.065   0.129   0.391   0.744
    10.45    51.08    2005   0.788   0.879   0.851   0.589   0.450   0.125   0.130   0.359   0.154   0.230   0.321   0.540
    10.45    51.08    2006   0.618   0.628   0.749   0.666   0.451   0.540   0.358   0.253   0.307   0.278   0.467   0.543
    10.45    51.08    2007   0.700   0.749   0.704   0.457   0.243   0.636   0.707   0.832   0.706   0.847   0.881   0.914
    10.45    51.08    2008   0.857   0.759   0.744   0.781   0.404   0.113   0.227   0.026   0.079   0.408   0.738   0.907
    10.45    51.08    2009   0.852   0.799   0.802   0.571   0.707   0.604   0.539   0.325   0.280   0.628   0.910   0.938
    10.45    51.08    2010   0.949   0.949   0.801   0.504   0.688   0.493   0.377   0.874   0.761   0.900   0.927   0.941
    10.45    51.08    2011   0.939   0.837   0.682   0.422   0.070   0.137   0.555   0.488   0.607   0.540   0.546   0.670
    10.45    51.08    2012   0.883   0.853   0.630   0.389   0.271   0.482   0.760   0.484   0.145   0.081   0.284   0.775
