      Lon      Lat    Year    VegC LitterC   SoilC     Total
    10.45    51.08    1951   9.562   7.596  11.754    28.911
    10.45    51.08    1952   9.750   7.361  11.754    28.865
    10.45    51.08    1953   9.965   7.119  11.746    28.829
    10.45    51.08    1954  10.114   6.951  11.746    28.811
    10.45    51.08    1955  10.263   6.805  11.751    28.819
    10.45    51.08    1956  10.426   6.670  11.757    28.853
    10.45    51.08    1957  10.603   6.498  11.754    28.855
    10.45    51.08    1958  10.759   6.340  11.750    28.849
    10.45    51.08    1959  10.997   6.107  11.734    28.838
    10.45    51.08    1960  10.860   6.279  11.729    28.868
    10.45    51.08    1961  11.039   6.097  11.721    28.857
    10.45    51.08    1962  11.219   5.963  11.717    28.899
    10.45    51.08    1963  11.397   5.835  11.714    28.946
    10.45    51.08    1964  11.586   5.678  11.703    28.968
    10.45    51.08    1965  11.755   5.576  11.702    29.033
    10.45    51.08    1966  11.949   5.454  11.698    29.101
    10.45    51.08    1967  12.101   5.320  11.688    29.110
    10.45    51.08    1968  12.273   5.199  11.680    29.152
    10.45    51.08    1969  12.433   5.077  11.672    29.182
    10.45    51.08    1970  12.572   4.978  11.667    29.216
    10.45    51.08    1971  12.747   4.825  11.649    29.221
    10.45    51.08    1972  12.898   4.750  11.646    29.294
    10.45    51.08    1973  12.797   4.864  11.633    29.294
    10.45    51.08    1974  12.967   4.762  11.625    29.354
    10.45    51.08    1975  13.088   4.630  11.607    29.325
    10.45    51.08    1976  13.238   4.487  11.584    29.309
    10.45    51.08    1977  13.384   4.412  11.577    29.373
    10.45    51.08    1978  13.531   4.322  11.569    29.422
    10.45    51.08    1979  13.654   4.228  11.558    29.440
    10.45    51.08    1980  11.131   6.784  11.546    29.461
    10.45    51.08    1981  11.186   6.767  11.543    29.496
    10.45    51.08    1982  11.311   6.521  11.526    29.359
    10.45    51.08    1983  11.483   6.335  11.514    29.333
    10.45    51.08    1984  11.592   6.227  11.516    29.335
    10.45    51.08    1985  11.776   6.064  11.510    29.349
    10.45    51.08    1986  11.931   5.926  11.503    29.360
    10.45    51.08    1987  12.085   5.826  11.504    29.414
    10.45    51.08    1988   9.513   8.391  11.489    29.394
    10.45    51.08    1989   9.734   8.070  11.505    29.309
    10.45    51.08    1990   9.919   7.921  11.512    29.351
    10.45    51.08    1991  10.091   7.642  11.513    29.246
    10.45    51.08    1992  10.228   7.367  11.527    29.122
    10.45    51.08    1993  10.421   7.158  11.539    29.117
    10.45    51.08    1994  10.575   6.927  11.542    29.044
    10.45    51.08    1995  10.716   6.735  11.546    28.997
    10.45    51.08    1996  10.861   6.600  11.554    29.015
    10.45    51.08    1997  11.037   6.398  11.551    28.986
    10.45    51.08    1998  11.219   6.223  11.546    28.988
    10.45    51.08    1999  11.414   6.038  11.538    28.989
    10.45    51.08    2000  11.582   5.858  11.527    28.966
    10.45    51.08    2001  11.756   5.700  11.519    28.975
    10.45    51.08    2002  11.901   5.567  11.515    28.984
    10.45    51.08    2003  12.062   5.371  11.498    28.930
    10.45    51.08    2004  12.299   5.229  11.486    29.013
    10.45    51.08    2005  12.507   5.098  11.476    29.081
    10.45    51.08    2006  12.402   5.234  11.463    29.099
    10.45    51.08    2007  12.464   5.246  11.457    29.167
    10.45    51.08    2008  12.646   5.095  11.444    29.185
    10.45    51.08    2009  12.829   4.965  11.435    29.230
    10.45    51.08    2010  12.979   4.867  11.433    29.278
    10.45    51.08    2011  13.217   4.720  11.420    29.356
    10.45    51.08    2012  13.403   4.599  11.407    29.410
