      Lon      Lat    Year  FireRT
    10.45    51.08    1951  1000.0
    10.45    51.08    1952   246.1
    10.45    51.08    1953  1000.0
    10.45    51.08    1954  1000.0
    10.45    51.08    1955  1000.0
    10.45    51.08    1956  1000.0
    10.45    51.08    1957  1000.0
    10.45    51.08    1958  1000.0
    10.45    51.08    1959   156.2
    10.45    51.08    1960  1000.0
    10.45    51.08    1961  1000.0
    10.45    51.08    1962  1000.0
    10.45    51.08    1963  1000.0
    10.45    51.08    1964  1000.0
    10.45    51.08    1965  1000.0
    10.45    51.08    1966  1000.0
    10.45    51.08    1967  1000.0
    10.45    51.08    1968  1000.0
    10.45    51.08    1969   456.9
    10.45    51.08    1970  1000.0
    10.45    51.08    1971   303.9
    10.45    51.08    1972  1000.0
    10.45    51.08    1973  1000.0
    10.45    51.08    1974  1000.0
    10.45    51.08    1975   834.0
    10.45    51.08    1976   390.7
    10.45    51.08    1977  1000.0
    10.45    51.08    1978  1000.0
    10.45    51.08    1979  1000.0
    10.45    51.08    1980  1000.0
    10.45    51.08    1981  1000.0
    10.45    51.08    1982   365.1
    10.45    51.08    1983  1000.0
    10.45    51.08    1984  1000.0
    10.45    51.08    1985  1000.0
    10.45    51.08    1986  1000.0
    10.45    51.08    1987  1000.0
    10.45    51.08    1988  1000.0
    10.45    51.08    1989  1000.0
    10.45    51.08    1990  1000.0
    10.45    51.08    1991   174.7
    10.45    51.08    1992   570.9
    10.45    51.08    1993   855.5
    10.45    51.08    1994  1000.0
    10.45    51.08    1995  1000.0
    10.45    51.08    1996  1000.0
    10.45    51.08    1997  1000.0
    10.45    51.08    1998  1000.0
    10.45    51.08    1999  1000.0
    10.45    51.08    2000  1000.0
    10.45    51.08    2001  1000.0
    10.45    51.08    2002  1000.0
    10.45    51.08    2003   318.1
    10.45    51.08    2004  1000.0
    10.45    51.08    2005  1000.0
    10.45    51.08    2006  1000.0
    10.45    51.08    2007  1000.0
    10.45    51.08    2008  1000.0
    10.45    51.08    2009  1000.0
    10.45    51.08    2010  1000.0
    10.45    51.08    2011   566.0
    10.45    51.08    2012  1000.0
