      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.000   0.000   0.002   0.034   0.151   0.188   0.189   0.156   0.115   0.055   0.014   0.000
    10.45    51.08    1952   0.000   0.000   0.001   0.064   0.183   0.193   0.176   0.151   0.088   0.045   0.006   0.000
    10.45    51.08    1953   0.000   0.000   0.011   0.114   0.170   0.162   0.173   0.167   0.121   0.063   0.004   0.000
    10.45    51.08    1954   0.000   0.000   0.003   0.025   0.163   0.179   0.159   0.150   0.104   0.063   0.014   0.000
    10.45    51.08    1955   0.000   0.000   0.002   0.028   0.161   0.182   0.155   0.137   0.110   0.056   0.010   0.000
    10.45    51.08    1956   0.000   0.000   0.001   0.020   0.159   0.161   0.170   0.161   0.117   0.054   0.006   0.000
    10.45    51.08    1957   0.000   0.001   0.022   0.084   0.157   0.186   0.149   0.156   0.099   0.055   0.001   0.000
    10.45    51.08    1958   0.000   0.001   0.002   0.023   0.150   0.169   0.182   0.169   0.121   0.060   0.008   0.000
    10.45    51.08    1959   0.000   0.000   0.014   0.088   0.183   0.182   0.174   0.147   0.151   0.073   0.001   0.000
    10.45    51.08    1960   0.000   0.000   0.004   0.032   0.145   0.191   0.190   0.154   0.105   0.052   0.014   0.000
    10.45    51.08    1961   0.000   0.001   0.013   0.083   0.142   0.184   0.162   0.155   0.119   0.065   0.000   0.000
    10.45    51.08    1962   0.000   0.000   0.000   0.024   0.128   0.190   0.176   0.166   0.120   0.056   0.008   0.000
    10.45    51.08    1963   0.000   0.000   0.001   0.032   0.154   0.179   0.188   0.154   0.116   0.049   0.018   0.000
    10.45    51.08    1964   0.000   0.000   0.000   0.032   0.184   0.209   0.189   0.158   0.123   0.043   0.002   0.000
    10.45    51.08    1965   0.000   0.000   0.001   0.023   0.133   0.183   0.170   0.178   0.116   0.055   0.006   0.000
    10.45    51.08    1966   0.000   0.003   0.006   0.057   0.191   0.184   0.172   0.159   0.108   0.061   0.002   0.000
    10.45    51.08    1967   0.000   0.001   0.010   0.029   0.155   0.174   0.200   0.154   0.102   0.068   0.010   0.000
    10.45    51.08    1968   0.000   0.000   0.005   0.053   0.155   0.191   0.190   0.150   0.101   0.052   0.007   0.000
    10.45    51.08    1969   0.000   0.000   0.000   0.015   0.147   0.181   0.186   0.157   0.118   0.063   0.018   0.000
    10.45    51.08    1970   0.000   0.000   0.000   0.012   0.125   0.189   0.184   0.153   0.123   0.043   0.015   0.001
    10.45    51.08    1971   0.000   0.000   0.001   0.028   0.140   0.168   0.208   0.173   0.122   0.064   0.012   0.000
