      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.010   0.011   0.025   0.064   0.084   0.092   0.084   0.066   0.032   0.021   0.012
    10.45    51.08    1952   0.008   0.007   0.012   0.042   0.075   0.086   0.095   0.088   0.048   0.030   0.012   0.008
    10.45    51.08    1953   0.007   0.009   0.018   0.050   0.079   0.081   0.092   0.087   0.065   0.042   0.017   0.013
    10.45    51.08    1954   0.006   0.004   0.015   0.021   0.071   0.088   0.077   0.081   0.063   0.042   0.019   0.014
    10.45    51.08    1955   0.006   0.006   0.010   0.023   0.068   0.082   0.084   0.078   0.062   0.036   0.016   0.012
    10.45    51.08    1956   0.010   0.001   0.013   0.020   0.071   0.074   0.087   0.077   0.062   0.038   0.014   0.013
    10.45    51.08    1957   0.009   0.013   0.023   0.039   0.064   0.092   0.089   0.079   0.055   0.037   0.016   0.009
    10.45    51.08    1958   0.009   0.013   0.008   0.019   0.072   0.079   0.092   0.090   0.069   0.041   0.017   0.013
    10.45    51.08    1959   0.009   0.007   0.020   0.044   0.077   0.086   0.100   0.084   0.071   0.040   0.013   0.010
    10.45    51.08    1960   0.010   0.008   0.015   0.025   0.067   0.091   0.088   0.082   0.059   0.037   0.022   0.009
    10.45    51.08    1961   0.007   0.014   0.020   0.045   0.061   0.086   0.082   0.080   0.074   0.046   0.013   0.010
    10.45    51.08    1962   0.012   0.008   0.008   0.027   0.056   0.085   0.082   0.084   0.061   0.039   0.013   0.006
    10.45    51.08    1963   0.002   0.003   0.013   0.028   0.069   0.084   0.097   0.083   0.064   0.034   0.024   0.005
    10.45    51.08    1964   0.005   0.008   0.009   0.030   0.080   0.100   0.099   0.085   0.067   0.031   0.017   0.010
    10.45    51.08    1965   0.010   0.006   0.012   0.022   0.061   0.085   0.084   0.085   0.061   0.037   0.012   0.013
    10.45    51.08    1966   0.007   0.014   0.014   0.034   0.082   0.091   0.084   0.082   0.060   0.046   0.012   0.011
    10.45    51.08    1967   0.011   0.012   0.018   0.023   0.072   0.081   0.104   0.086   0.062   0.050   0.017   0.010
    10.45    51.08    1968   0.008   0.009   0.017   0.036   0.066   0.089   0.093   0.083   0.060   0.040   0.017   0.006
    10.45    51.08    1969   0.009   0.006   0.007   0.022   0.070   0.083   0.100   0.088   0.064   0.042   0.023   0.004
    10.45    51.08    1970   0.006   0.007   0.010   0.020   0.059   0.093   0.090   0.084   0.067   0.035   0.023   0.011
    10.45    51.08    1971   0.008   0.010   0.011   0.026   0.070   0.077   0.102   0.097   0.062   0.041   0.017   0.014
    10.45    51.08    1972   0.006   0.010   0.018   0.025   0.064   0.087   0.089   0.081   0.052   0.029   0.018   0.010
    10.45    51.08    1973   0.008   0.009   0.015   0.017   0.064   0.087   0.092   0.095   0.067   0.033   0.016   0.009
    10.45    51.08    1974   0.014   0.012   0.018   0.035   0.064   0.079   0.084   0.085   0.065   0.023   0.016   0.017
    10.45    51.08    1975   0.016   0.009   0.014   0.022   0.066   0.078   0.096   0.098   0.069   0.032   0.015   0.010
    10.45    51.08    1976   0.011   0.007   0.010   0.024   0.070   0.089   0.101   0.087   0.057   0.039   0.018   0.009
    10.45    51.08    1977   0.010   0.012   0.021   0.023   0.071   0.076   0.087   0.074   0.055   0.041   0.021   0.011
    10.45    51.08    1978   0.009   0.007   0.018   0.024   0.059   0.081   0.085   0.080   0.054   0.038   0.016   0.010
    10.45    51.08    1979   0.004   0.005   0.013   0.021   0.057   0.090   0.080   0.081   0.062   0.036   0.014   0.016
    10.45    51.08    1980   0.005   0.011   0.013   0.019   0.050   0.082   0.076   0.087   0.064   0.034   0.014   0.010
    10.45    51.08    1981   0.006   0.007   0.022   0.034   0.069   0.080   0.080   0.078   0.061   0.034   0.016   0.006
    10.45    51.08    1982   0.007   0.007   0.015   0.022   0.059   0.086   0.094   0.089   0.074   0.039   0.024   0.011
    10.45    51.08    1983   0.014   0.005   0.016   0.032   0.062   0.083   0.100   0.087   0.063   0.038   0.016   0.010
    10.45    51.08    1984   0.010   0.007   0.010   0.021   0.048   0.074   0.079   0.082   0.052   0.041   0.017   0.010
    10.45    51.08    1985   0.004   0.006   0.012   0.027   0.069   0.072   0.092   0.082   0.062   0.038   0.010   0.015
    10.45    51.08    1986   0.009   0.002   0.013   0.019   0.074   0.079   0.089   0.084   0.051   0.042   0.022   0.012
    10.45    51.08    1987   0.004   0.006   0.008   0.029   0.057   0.070   0.089   0.076   0.064   0.036   0.017   0.011
    10.45    51.08    1988   0.014   0.010   0.012   0.025   0.078   0.077   0.093   0.091   0.061   0.039   0.015   0.013
    10.45    51.08    1989   0.009   0.009   0.016   0.023   0.068   0.070   0.074   0.071   0.052   0.035   0.012   0.010
    10.45    51.08    1990   0.009   0.014   0.021   0.028   0.076   0.067   0.079   0.078   0.044   0.035   0.013   0.008
    10.45    51.08    1991   0.010   0.005   0.021   0.035   0.051   0.077   0.097   0.085   0.069   0.038   0.014   0.008
    10.45    51.08    1992   0.009   0.010   0.015   0.027   0.080   0.080   0.091   0.089   0.058   0.025   0.015   0.009
    10.45    51.08    1993   0.012   0.005   0.015   0.043   0.081   0.079   0.079   0.080   0.050   0.031   0.008   0.011
    10.45    51.08    1994   0.012   0.007   0.020   0.031   0.074   0.082   0.098   0.085   0.057   0.028   0.021   0.014
    10.45    51.08    1995   0.009   0.013   0.013   0.028   0.065   0.067   0.091   0.089   0.051   0.043   0.013   0.006
    10.45    51.08    1996   0.004   0.005   0.009   0.029   0.052   0.078   0.078   0.078   0.042   0.033   0.018   0.006
    10.45    51.08    1997   0.005   0.013   0.019   0.023   0.067   0.078   0.081   0.089   0.064   0.031   0.014   0.011
    10.45    51.08    1998   0.013   0.015   0.018   0.039   0.077   0.083   0.079   0.081   0.053   0.030   0.010   0.010
    10.45    51.08    1999   0.013   0.008   0.017   0.034   0.077   0.081   0.090   0.082   0.074   0.033   0.015   0.012
    10.45    51.08    2000   0.009   0.013   0.018   0.039   0.084   0.083   0.073   0.089   0.060   0.041   0.020   0.014
    10.45    51.08    2001   0.010   0.012   0.015   0.026   0.081   0.074   0.094   0.091   0.050   0.048   0.016   0.009
    10.45    51.08    2002   0.011   0.017   0.020   0.034   0.073   0.086   0.083   0.087   0.060   0.031   0.017   0.009
    10.45    51.08    2003   0.010   0.005   0.019   0.032   0.078   0.098   0.094   0.103   0.065   0.026   0.019   0.011
    10.45    51.08    2004   0.009   0.013   0.018   0.043   0.067   0.082   0.089   0.093   0.068   0.042   0.016   0.009
    10.45    51.08    2005   0.013   0.007   0.017   0.040   0.073   0.087   0.097   0.081   0.074   0.048   0.020   0.010
    10.45    51.08    2006   0.006   0.007   0.012   0.032   0.081   0.090   0.111   0.079   0.082   0.051   0.027   0.017
    10.45    51.08    2007   0.018   0.015   0.022   0.048   0.087   0.096   0.095   0.089   0.060   0.036   0.016   0.012
