      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
    10.45    51.08    1951   0.010   0.007   0.008   0.024   0.048   0.046   0.066   0.056   0.053   0.024   0.013   0.008
    10.45    51.08    1952   0.007   0.001   0.009   0.032   0.043   0.058   0.094   0.082   0.028   0.014   0.008   0.001
    10.45    51.08    1953   0.002   0.003   0.016   0.040   0.059   0.057   0.063   0.064   0.053   0.035   0.014   0.010
    10.45    51.08    1954   0.002   0.000   0.011   0.019   0.047   0.070   0.047   0.049   0.045   0.023   0.013   0.008
    10.45    51.08    1955   0.002   0.004   0.002   0.018   0.045   0.052   0.058   0.045   0.044   0.025   0.008   0.005
    10.45    51.08    1956   0.008   0.000   0.005   0.016   0.043   0.045   0.047   0.046   0.041   0.027   0.008   0.007
    10.45    51.08    1957   0.003   0.011   0.019   0.025   0.037   0.063   0.068   0.047   0.034   0.018   0.011   0.004
    10.45    51.08    1958   0.006   0.009   0.002   0.012   0.044   0.048   0.058   0.058   0.050   0.025   0.009   0.006
    10.45    51.08    1959   0.007   0.002   0.018   0.031   0.045   0.052   0.086   0.059   0.047   0.027   0.007   0.003
    10.45    51.08    1960   0.005   0.002   0.010   0.023   0.034   0.059   0.058   0.047   0.033   0.016   0.011   0.005
    10.45    51.08    1961   0.002   0.007   0.021   0.025   0.028   0.042   0.067   0.049   0.056   0.041   0.012   0.004
    10.45    51.08    1962   0.006   0.005   0.001   0.020   0.033   0.056   0.048   0.060   0.037   0.028   0.008   0.001
    10.45    51.08    1963   0.000   0.000   0.005   0.020   0.040   0.054   0.061   0.046   0.038   0.019   0.011   0.002
    10.45    51.08    1964   0.000   0.002   0.002   0.020   0.041   0.071   0.065   0.054   0.045   0.019   0.008   0.005
    10.45    51.08    1965   0.004   0.001   0.003   0.021   0.032   0.043   0.052   0.047   0.032   0.024   0.006   0.004
    10.45    51.08    1966   0.002   0.006   0.012   0.020   0.047   0.055   0.037   0.043   0.032   0.030   0.005   0.004
    10.45    51.08    1967   0.004   0.008   0.014   0.017   0.043   0.036   0.064   0.054   0.030   0.028   0.010   0.002
