      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
    10.45    51.08    1951    11.059    20.156    22.173     4.558     0.749    76.994     0.000     8.616     2.409     0.720    44.491     9.323
    10.45    51.08    1952    19.767    31.103    53.221    24.965    11.648     0.775     0.000     0.000    71.882    47.820    65.237    28.721
    10.45    51.08    1953    30.997    49.512     0.922     0.000     0.000     7.851     0.728     1.313     0.000     0.000     0.000     9.376
    10.45    51.08    1954    32.045    12.860     9.310    23.147     1.620     0.000    11.812    11.281    11.691    14.639    10.207    33.370
    10.45    51.08    1955    30.747    29.143    38.486    17.192     1.657     1.420    14.957    19.495     4.682     6.273    10.784    36.304
    10.45    51.08    1956    19.749     0.000    50.986    32.925     1.767    34.765    94.645    16.301     3.098    14.952    20.341    12.055
    10.45    51.08    1957    23.917    28.229    16.977     5.896     0.695     0.000     2.810     3.839    18.173     9.474    21.708    21.569
    10.45    51.08    1958    37.439    20.703    74.531    19.123    13.801    28.833    25.776     3.667     4.277    18.504    19.977    29.766
    10.45    51.08    1959    18.722     4.512     5.224     4.853     1.211     0.702     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1960    38.293     8.629    16.763     8.483    22.997     0.000     0.000     0.000     1.018    79.541    24.249    31.938
    10.45    51.08    1961    45.868    33.967    12.335    46.244    44.716    43.386     0.000     0.000     0.000     0.000     0.000    33.603
    10.45    51.08    1962    21.163    21.350    22.014    13.785    12.881     0.000     0.000     0.000     0.000     0.000     0.000     1.602
    10.45    51.08    1963     1.676     1.948    51.398    10.087     4.109     6.760     5.740    13.720     3.703    13.248    25.684     3.205
    10.45    51.08    1964     6.753    22.708    10.898    23.188    41.107     0.000     0.000     0.000     0.000     0.000     0.000     0.000
    10.45    51.08    1965    17.151     9.898    39.355    17.577     8.013    19.152     0.216     4.332     2.654     2.167    16.812    63.451
    10.45    51.08    1966    16.857    33.280    15.407    25.408     0.241     5.664    34.228    28.288     3.534    43.474    30.658    43.759
    10.45    51.08    1967    19.131    15.676    25.971    10.610     2.034    18.314     0.000     0.000    16.004     9.468    11.770    19.638
    10.45    51.08    1968    28.254    22.239    23.892     7.529     9.749     1.660     0.000     0.000    13.471    29.041    15.293     5.925
    10.45    51.08    1969    19.691    10.860    17.551    67.122    40.837    21.199     0.000     0.000     5.060     0.000     9.866     0.225
    10.45    51.08    1970    10.760    66.428    26.263    31.528    24.218     1.728     0.000    28.848     0.001    19.622    22.037    14.353
    10.45    51.08    1971    17.679    16.583     8.621     8.038     0.625    12.994     0.347     0.000     0.000     0.000    16.200     5.411
    10.45    51.08    1972     0.000     7.963    11.942    17.806    10.973    13.367    33.166    43.319     2.255     4.500    17.091     1.898
    10.45    51.08    1973    11.680    15.139    18.097    14.381     7.761     0.000     0.000     0.000     0.000    26.498     9.072    26.859
    10.45    51.08    1974    13.838    17.562    14.435     0.000     8.708    12.949    16.564     1.405     2.369    52.058    14.142    51.755
    10.45    51.08    1975     7.878    12.104    15.625    21.478     4.286     7.043     0.239     0.000     0.000     1.310    10.759     7.009
    10.45    51.08    1976    48.178    10.499     8.238     3.837     0.340    14.858     0.000     0.000     0.000     0.000     0.000     1.602
    10.45    51.08    1977    20.623    19.008    25.754    13.293     2.463    13.133     6.731    61.907     8.018     7.626    58.988    30.653
    10.45    51.08    1978    11.714     8.195    18.611     5.434    11.501     0.000     0.000     1.441    16.628    13.707     1.286    20.518
    10.45    51.08    1979     2.076     3.408   108.965    20.300     6.527     0.296     5.429     3.042     0.741     1.426    21.417    33.258
    10.45    51.08    1980    16.705    19.556    13.330    20.827     2.045     3.769    12.590     0.000     0.000     3.478    14.136    23.499
    10.45    51.08    1981    14.973    19.648    31.305     8.091    17.019     6.855     1.187    47.213     8.458    24.507    33.954    33.230
    10.45    51.08    1982    39.772     1.544    13.224     5.702     5.576     0.000     0.000     0.000     0.000     0.000     0.901    10.978
    10.45    51.08    1983    17.164     7.164    15.096    78.758    28.778     1.154     0.000     0.000     0.000     0.000     0.971     8.649
    10.45    51.08    1984    20.299    23.514     9.131    28.732    52.894    10.923     6.015     9.386    17.489    23.823    26.166     7.013
    10.45    51.08    1985    17.313     7.993    13.124     7.907     3.456     9.312     0.997     1.443     1.334     0.000     0.431    21.562
    10.45    51.08    1986    26.960     1.796    38.552    40.274    13.018    15.289     0.000     0.000    10.390    24.345     4.359    23.103
    10.45    51.08    1987    32.986    26.042    69.719     8.156     8.895    52.687     8.255    19.575    34.053     8.642    28.774    19.577
    10.45    51.08    1988    17.911    21.211    55.606    17.715     0.000     1.776     7.203     0.164     0.000     0.000     7.853    51.867
    10.45    51.08    1989    13.807    11.444    22.081    14.258     1.363     3.041     0.000     2.171     0.797     8.691    31.268    35.353
    10.45    51.08    1990     9.411    16.169    19.342    21.300     0.000    26.099     7.656     0.000    11.470     5.640    28.248    22.616
    10.45    51.08    1991    16.572     7.642     8.970     2.829     4.331     0.136     0.000     9.392     0.000     0.000     0.000     6.057
    10.45    51.08    1992     8.178    10.980    51.706    10.340     4.002     0.000    29.906     0.000     0.188    14.322    39.650    34.638
    10.45    51.08    1993    19.181    16.774    12.314     4.968     0.000    10.965    35.568     4.356    10.391    14.224    13.455    65.316
    10.45    51.08    1994    27.583    15.886    29.188    71.337    11.799     5.119     2.269     5.642    15.149     6.586    21.904    20.251
    10.45    51.08    1995    33.035    31.419    11.651    15.572     8.013    39.817    18.185     0.000    32.634     5.203    13.218     9.760
    10.45    51.08    1996     1.690    15.960    12.577     5.475    23.964     1.959    23.153    23.859    14.224    18.252    29.474    37.900
    10.45    51.08    1997     8.928    32.420    29.983    14.454     6.325     0.000    51.423     1.722     0.997    14.132     9.961    26.892
    10.45    51.08    1998    13.075     8.020    21.808    15.189     1.893     4.091    11.944     0.274    23.890    70.705    48.302     6.263
    10.45    51.08    1999    16.783    16.194    18.830    12.844     1.241    13.898    22.509     2.150     0.000     3.881    23.925    30.950
    10.45    51.08    2000    23.947    39.857    42.803     6.680     1.204     0.000     2.351     3.635    15.792    14.401    11.912     7.962
    10.45    51.08    2001    11.431     9.793    61.533    20.175     5.458     8.334    16.051     0.000    11.607    11.570    41.660    21.222
    10.45    51.08    2002    10.097    28.916    30.053    13.027    17.739    32.588    23.980    14.058     6.182    31.372    77.092    86.192
    10.45    51.08    2003    25.522     9.233    11.448     3.141     7.106     9.039     0.000     0.000     0.000     1.815    10.106    16.094
    10.45    51.08    2004    18.905    13.384    10.577     9.053    80.612     1.386    14.633     0.000     0.000     0.000    20.585     9.820
    10.45    51.08    2005     8.395    26.435    24.646    10.502     7.515     0.000     0.000    13.784     7.600     5.815    11.377    15.157
    10.45    51.08    2006    10.639    10.301    25.167    21.005     5.031     9.073    17.656    11.874     0.473     7.066    15.982     9.790
    10.45    51.08    2007    24.687    18.446    25.366     1.606     9.594    12.573    35.473    78.339    68.396     3.511    33.402    23.029
    10.45    51.08    2008    16.591     9.387    28.352    32.296     2.613     0.000     4.316     0.000     0.000    20.995    11.670    27.313
    10.45    51.08    2009     5.186    20.153    27.214     6.309    17.408     9.694     8.556     0.000     0.000    22.662    43.183    68.658
    10.45    51.08    2010    12.396    46.353    12.858     3.618    38.351     4.633    22.707    57.681    24.127     5.985    60.761     9.457
    10.45    51.08    2011    97.481     7.843     4.258     1.933     0.000     0.000     5.843    11.376     4.540     6.327     0.000    20.280
    10.45    51.08    2012    38.625     7.383     3.964     3.001     1.537    13.637    26.676     0.212     1.477     4.285    19.038    35.133
