      Lon      Lat    Year      NH3       NO      NO2      N2O       N2    NSoil    Total
    10.45    51.08    1951    0.113    0.145    0.036    0.017    0.168    0.719    1.198
    10.45    51.08    1952    0.448    0.575    0.144    0.066    0.665    0.844    2.743
    10.45    51.08    1953    0.106    0.137    0.034    0.016    0.158    0.833    1.284
    10.45    51.08    1954    0.105    0.135    0.034    0.016    0.156    0.738    1.182
    10.45    51.08    1955    0.104    0.133    0.033    0.015    0.154    0.677    1.117
    10.45    51.08    1956    0.102    0.131    0.033    0.015    0.152    0.659    1.093
    10.45    51.08    1957    0.100    0.128    0.032    0.015    0.148    0.804    1.227
    10.45    51.08    1958    0.098    0.125    0.031    0.014    0.145    0.794    1.208
    10.45    51.08    1959    0.604    0.776    0.195    0.090    0.896    0.918    3.479
    10.45    51.08    1960    0.093    0.119    0.030    0.014    0.138    0.742    1.136
    10.45    51.08    1961    0.094    0.120    0.030    0.014    0.139    0.801    1.198
    10.45    51.08    1962    0.092    0.119    0.030    0.014    0.137    0.755    1.146
    10.45    51.08    1963    0.091    0.117    0.029    0.014    0.135    0.752    1.137
    10.45    51.08    1964    0.089    0.114    0.029    0.013    0.132    0.872    1.248
    10.45    51.08    1965    0.088    0.113    0.028    0.013    0.130    0.661    1.033
    10.45    51.08    1966    0.087    0.111    0.028    0.013    0.128    0.729    1.096
    10.45    51.08    1967    0.085    0.109    0.027    0.013    0.125    0.824    1.182
    10.45    51.08    1968    0.083    0.107    0.027    0.012    0.123    0.784    1.136
    10.45    51.08    1969    0.179    0.229    0.058    0.027    0.265    0.810    1.567
    10.45    51.08    1970    0.081    0.103    0.026    0.012    0.120    0.733    1.075
    10.45    51.08    1971    0.257    0.330    0.083    0.038    0.381    0.892    1.980
    10.45    51.08    1972    0.078    0.100    0.025    0.012    0.115    0.617    0.947
    10.45    51.08    1973    0.076    0.097    0.024    0.011    0.112    0.873    1.193
    10.45    51.08    1974    0.077    0.099    0.025    0.011    0.114    0.687    1.015
    10.45    51.08    1975    0.090    0.115    0.029    0.013    0.133    0.869    1.250
    10.45    51.08    1976    0.186    0.239    0.060    0.028    0.276    0.895    1.683
    10.45    51.08    1977    0.072    0.093    0.023    0.011    0.107    0.603    0.910
    10.45    51.08    1978    0.071    0.091    0.023    0.011    0.106    0.692    0.994
    10.45    51.08    1979    0.070    0.090    0.022    0.010    0.104    0.757    1.053
    10.45    51.08    1980    0.069    0.088    0.022    0.010    0.102    0.734    1.024
    10.45    51.08    1981    0.101    0.130    0.032    0.015    0.150    0.715    1.142
    10.45    51.08    1982    0.269    0.345    0.086    0.040    0.398    0.943    2.081
    10.45    51.08    1983    0.095    0.122    0.031    0.014    0.141    0.758    1.162
    10.45    51.08    1984    0.095    0.122    0.031    0.014    0.141    0.545    0.946
    10.45    51.08    1985    0.092    0.118    0.030    0.014    0.137    0.724    1.114
    10.45    51.08    1986    0.090    0.116    0.029    0.013    0.134    0.720    1.104
    10.45    51.08    1987    0.090    0.115    0.029    0.013    0.133    0.572    0.952
    10.45    51.08    1988    0.087    0.111    0.028    0.013    0.128    0.823    1.190
    10.45    51.08    1989    0.115    0.148    0.037    0.017    0.171    0.675    1.163
    10.45    51.08    1990    0.113    0.145    0.036    0.017    0.168    0.627    1.107
    10.45    51.08    1991    0.636    0.817    0.205    0.094    0.943    0.892    3.587
    10.45    51.08    1992    0.187    0.241    0.060    0.028    0.278    0.762    1.556
    10.45    51.08    1993    0.122    0.157    0.039    0.018    0.181    0.626    1.144
    10.45    51.08    1994    0.101    0.130    0.033    0.015    0.150    0.739    1.168
    10.45    51.08    1995    0.099    0.127    0.032    0.015    0.147    0.641    1.060
    10.45    51.08    1996    0.098    0.126    0.032    0.015    0.145    0.522    0.937
    10.45    51.08    1997    0.095    0.122    0.031    0.014    0.141    0.721    1.122
    10.45    51.08    1998    0.093    0.119    0.030    0.014    0.137    0.676    1.069
    10.45    51.08    1999    0.090    0.116    0.029    0.013    0.134    0.710    1.092
    10.45    51.08    2000    0.088    0.113    0.028    0.013    0.130    0.742    1.114
    10.45    51.08    2001    0.086    0.110    0.028    0.013    0.127    0.696    1.059
    10.45    51.08    2002    0.084    0.108    0.027    0.013    0.125    0.633    0.991
    10.45    51.08    2003    0.256    0.329    0.083    0.038    0.380    0.863    1.948
    10.45    51.08    2004    0.080    0.102    0.026    0.012    0.118    0.687    1.025
    10.45    51.08    2005    0.078    0.100    0.025    0.012    0.116    0.716    1.048
    10.45    51.08    2006    0.077    0.098    0.025    0.011    0.113    0.769    1.093
    10.45    51.08    2007    0.078    0.101    0.025    0.012    0.116    0.676    1.007
    10.45    51.08    2008    0.078    0.100    0.025    0.012    0.116    0.818    1.149
    10.45    51.08    2009    0.077    0.098    0.025    0.011    0.113    0.732    1.056
    10.45    51.08    2010    0.076    0.097    0.024    0.011    0.112    0.704    1.025
    10.45    51.08    2011    0.130    0.167    0.042    0.019    0.193    0.799    1.349
    10.45    51.08    2012    0.072    0.093    0.023    0.011    0.107    0.779    1.085
