      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980   0.000   0.000   0.000   0.162   0.000   0.000   0.000   0.000   0.000   0.011   0.000   0.174
     8.50    50.00    1981   0.000   0.000   0.000   0.163   0.000   0.000   0.000   0.000   0.000   0.008   0.000   0.172
     8.50    50.00    1982   0.000   0.000   0.000   0.178   0.000   0.000   0.000   0.000   0.000   0.007   0.000   0.185
     8.50    50.00    1983   0.000   0.000   0.000   0.179   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.184
     8.50    50.00    1984   0.000   0.000   0.000   0.145   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.152
     8.50    50.00    1985   0.000   0.000   0.000   0.189   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.192
     8.50    50.00    1986   0.000   0.000   0.000   0.184   0.000   0.000   0.000   0.000   0.000   0.002   0.000   0.186
     8.50    50.00    1987   0.000   0.000   0.000   0.178   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.179
     8.50    50.00    1988   0.000   0.000   0.000   0.190   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.191
     8.50    50.00    1989   0.000   0.000   0.000   0.218   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.219
     8.50    50.00    1990   0.000   0.000   0.000   0.243   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.244
     8.50    50.00    1991   0.000   0.000   0.000   0.249   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.249
     8.50    50.00    1992   0.000   0.000   0.000   0.249   0.000   0.000   0.000   0.000   0.000   0.007   0.000   0.257
     8.50    50.00    1993   0.000   0.000   0.000   0.269   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.269
     8.50    50.00    1994   0.000   0.000   0.000   0.262   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.262
     8.50    50.00    1995   0.000   0.000   0.000   0.240   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.240
     8.50    50.00    1996   0.000   0.000   0.000   0.241   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.241
     8.50    50.00    1997   0.000   0.000   0.000   0.276   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.276
     8.50    50.00    1998   0.000   0.000   0.000   0.221   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.221
     8.50    50.00    1999   0.000   0.000   0.000   0.270   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.270
     8.50    50.00    2000   0.000   0.000   0.000   0.253   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.253
     8.50    50.00    2001   0.000   0.000   0.000   0.233   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.233
     8.50    50.00    2002   0.000   0.000   0.000   0.233   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.233
     8.50    50.00    2003   0.000   0.000   0.000   0.289   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.289
     8.50    50.00    2004   0.000   0.000   0.000   0.265   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.265
     8.50    50.00    2005   0.000   0.000   0.000   0.288   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.294
     8.50    50.00    2006   0.000   0.000   0.000   0.235   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.235
     8.50    50.00    2007   0.000   0.000   0.000   0.256   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.256
     8.50    50.00    2008   0.000   0.000   0.000   0.209   0.000   0.001   0.000   0.000   0.000   0.019   0.000   0.228
     8.50    50.00    2009   0.000   0.000   0.000   0.249   0.000   0.001   0.000   0.000   0.000   0.016   0.000   0.266
     8.50    50.00    2010   0.000   0.000   0.000   0.251   0.000   0.001   0.000   0.000   0.000   0.015   0.000   0.267
     8.50    50.00    2011   0.000   0.000   0.000   0.287   0.000   0.002   0.000   0.000   0.000   0.019   0.000   0.307
     8.50    50.00    2012   0.000   0.000   0.000   0.279   0.000   0.002   0.000   0.000   0.000   0.015   0.000   0.296
