      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980   0.000   0.000   0.000   0.716   0.000   0.000   0.000   0.000   0.000   0.005   0.000   0.721
     8.50    50.00    1981   0.000   0.000   0.000   0.707   0.000   0.000   0.000   0.000   0.000   0.003   0.000   0.710
     8.50    50.00    1982   0.000   0.000   0.000   0.713   0.000   0.000   0.000   0.000   0.000   0.003   0.000   0.716
     8.50    50.00    1983   0.000   0.000   0.000   0.721   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.727
     8.50    50.00    1984   0.000   0.000   0.000   0.713   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.714
     8.50    50.00    1985   0.000   0.000   0.000   0.726   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.727
     8.50    50.00    1986   0.000   0.000   0.000   0.738   0.000   0.000   0.000   0.000   0.000   0.001   0.000   0.738
     8.50    50.00    1987   0.000   0.000   0.000   0.744   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.744
     8.50    50.00    1988   0.000   0.000   0.000   0.748   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.748
     8.50    50.00    1989   0.000   0.000   0.000   0.778   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.778
     8.50    50.00    1990   0.000   0.000   0.000   0.810   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.810
     8.50    50.00    1991   0.000   0.000   0.000   0.838   0.000   0.000   0.000   0.000   0.000   0.007   0.000   0.845
     8.50    50.00    1992   0.000   0.000   0.000   0.855   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.855
     8.50    50.00    1993   0.000   0.000   0.000   0.879   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.879
     8.50    50.00    1994   0.000   0.000   0.000   0.892   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.892
     8.50    50.00    1995   0.000   0.000   0.000   0.883   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.883
     8.50    50.00    1996   0.000   0.000   0.000   0.885   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.885
     8.50    50.00    1997   0.000   0.000   0.000   0.912   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.912
     8.50    50.00    1998   0.000   0.000   0.000   0.892   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.892
     8.50    50.00    1999   0.000   0.000   0.000   0.907   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.907
     8.50    50.00    2000   0.000   0.000   0.000   0.913   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.913
     8.50    50.00    2001   0.000   0.000   0.000   0.905   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.905
     8.50    50.00    2002   0.000   0.000   0.000   0.902   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.902
     8.50    50.00    2003   0.000   0.000   0.000   0.933   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.933
     8.50    50.00    2004   0.000   0.000   0.000   0.948   0.000   0.000   0.000   0.000   0.000   0.006   0.000   0.954
     8.50    50.00    2005   0.000   0.000   0.000   0.758   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.758
     8.50    50.00    2006   0.000   0.000   0.000   0.771   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.771
     8.50    50.00    2007   0.000   0.000   0.000   0.801   0.000   0.001   0.000   0.000   0.000   0.010   0.000   0.812
     8.50    50.00    2008   0.000   0.000   0.000   0.790   0.000   0.001   0.000   0.000   0.000   0.007   0.000   0.798
     8.50    50.00    2009   0.000   0.000   0.000   0.813   0.000   0.001   0.000   0.000   0.000   0.006   0.000   0.821
     8.50    50.00    2010   0.000   0.000   0.000   0.834   0.000   0.001   0.000   0.000   0.000   0.007   0.000   0.843
     8.50    50.00    2011   0.000   0.000   0.000   0.868   0.000   0.002   0.000   0.000   0.000   0.008   0.000   0.878
     8.50    50.00    2012   0.000   0.000   0.000   0.905   0.000   0.003   0.000   0.000   0.000   0.006   0.000   0.913
