      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980    0.00    0.00    0.00   22.63    0.00    0.00    0.00    0.00    0.00    2.36    0.00   24.98
     8.50    50.00    1981    0.00    0.00    0.00   23.27    0.00    0.00    0.00    0.00    0.00    1.55    0.00   24.82
     8.50    50.00    1982    0.00    0.00    0.00   23.90    0.00    0.00    0.00    0.00    0.00    1.06    0.00   24.96
     8.50    50.00    1983    0.00    0.00    0.00   21.61    0.00    0.00    0.00    0.00    0.00    6.25    0.00   27.86
     8.50    50.00    1984    0.00    0.00    0.00   24.58    0.00    0.00    0.00    0.00    0.00    3.50    0.00   28.08
     8.50    50.00    1985    0.00    0.00    0.00   26.09    0.00    0.00    0.00    0.00    0.00    0.39    0.00   26.49
     8.50    50.00    1986    0.00    0.00    0.00   22.97    0.00    0.00    0.00    0.00    0.00    0.32    0.00   23.29
     8.50    50.00    1987    0.00    0.00    0.00   24.95    0.00    0.00    0.00    0.00    0.00    0.23    0.00   25.18
     8.50    50.00    1988    0.00    0.00    0.00   25.38    0.00    0.00    0.00    0.00    0.00    0.11    0.00   25.49
     8.50    50.00    1989    0.00    0.00    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.06    0.00   26.78
     8.50    50.00    1990    0.00    0.00    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.03    0.00   26.77
     8.50    50.00    1991    0.00    0.00    0.00   29.59    0.00    0.00    0.00    0.00    0.00    6.54    0.00   36.14
     8.50    50.00    1992    0.00    0.00    0.00   31.60    0.00    0.00    0.00    0.00    0.00    3.20    0.00   34.80
     8.50    50.00    1993    0.00    0.00    0.00   32.73    0.00    0.00    0.00    0.00    0.00    0.81    0.00   33.54
     8.50    50.00    1994    0.00    0.00    0.00   32.46    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.46
     8.50    50.00    1995    0.00    0.00    0.00   32.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.34
     8.50    50.00    1996    0.00    0.00    0.00   34.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.32
     8.50    50.00    1997    0.00    0.00    0.00   33.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00   33.91
     8.50    50.00    1998    0.00    0.00    0.00   30.13    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.13
     8.50    50.00    1999    0.00    0.00    0.00   35.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.62
     8.50    50.00    2000    0.00    0.00    0.00   31.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00   31.39
     8.50    50.00    2001    0.00    0.00    0.00   28.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00   28.99
     8.50    50.00    2002    0.00    0.00    0.00   32.59    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.59
     8.50    50.00    2003    0.00    0.00    0.00   34.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00   34.80
     8.50    50.00    2004    0.00    0.00    0.00   29.78    0.00    0.01    0.00    0.00    0.00   13.01    0.00   42.80
     8.50    50.00    2005    0.00    0.00    0.00   53.23    0.00    0.01    0.00    0.00    0.00    6.91    0.00   60.15
     8.50    50.00    2006    0.00    0.00    0.00   29.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.06
     8.50    50.00    2007    0.00    0.00    0.00   29.58    0.00    0.08    0.00    0.00    0.00    4.61    0.00   34.27
     8.50    50.00    2008    0.00    0.00    0.00   26.31    0.00    0.09    0.00    0.00    0.00    3.48    0.00   29.88
     8.50    50.00    2009    0.00    0.00    0.00   30.91    0.00    0.10    0.00    0.00    0.00    2.33    0.00   33.33
     8.50    50.00    2010    0.00    0.00    0.00   28.95    0.00    0.12    0.00    0.00    0.00    2.17    0.00   31.23
     8.50    50.00    2011    0.00    0.00    0.00   32.01    0.00    0.14    0.00    0.00    0.00    2.35    0.00   34.49
     8.50    50.00    2012    0.00    0.00    0.00   34.54    0.00    0.22    0.00    0.00    0.00    2.83    0.00   37.59
