      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980    0.00    0.00    0.00   82.99    0.00    0.00    0.00    0.00    0.00    3.98    0.00   86.97
     8.50    50.00    1981    0.00    0.00    0.00   82.15    0.00    0.00    0.00    0.00    0.00    2.60    0.00   84.75
     8.50    50.00    1982    0.00    0.00    0.00   82.56    0.00    0.00    0.00    0.00    0.00    1.77    0.00   84.33
     8.50    50.00    1983    0.00    0.00    0.00   80.88    0.00    0.00    0.00    0.00    0.00    9.57    0.00   90.45
     8.50    50.00    1984    0.00    0.00    0.00   84.63    0.00    0.00    0.00    0.00    0.00    4.04    0.00   88.67
     8.50    50.00    1985    0.00    0.00    0.00   84.91    0.00    0.00    0.00    0.00    0.00    0.66    0.00   85.56
     8.50    50.00    1986    0.00    0.00    0.00   84.02    0.00    0.00    0.00    0.00    0.00    0.54    0.00   84.56
     8.50    50.00    1987    0.00    0.00    0.00   86.54    0.00    0.00    0.00    0.00    0.00    0.39    0.00   86.93
     8.50    50.00    1988    0.00    0.00    0.00   86.97    0.00    0.00    0.00    0.00    0.00    0.19    0.00   87.17
     8.50    50.00    1989    0.00    0.00    0.00   89.79    0.00    0.00    0.00    0.00    0.00    0.09    0.00   89.89
     8.50    50.00    1990    0.00    0.00    0.00   92.35    0.00    0.00    0.00    0.00    0.00    0.06    0.00   92.40
     8.50    50.00    1991    0.00    0.00    0.00   98.72    0.00    0.00    0.00    0.00    0.00   10.09    0.00  108.81
     8.50    50.00    1992    0.00    0.00    0.00  104.12    0.00    0.00    0.00    0.00    0.00    4.01    0.00  108.13
     8.50    50.00    1993    0.00    0.00    0.00  106.98    0.00    0.00    0.00    0.00    0.00    0.81    0.00  107.79
     8.50    50.00    1994    0.00    0.00    0.00  109.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00  109.14
     8.50    50.00    1995    0.00    0.00    0.00  108.72    0.00    0.00    0.00    0.00    0.00    0.00    0.00  108.72
     8.50    50.00    1996    0.00    0.00    0.00  109.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00  109.99
     8.50    50.00    1997    0.00    0.00    0.00  111.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00  111.08
     8.50    50.00    1998    0.00    0.00    0.00  108.54    0.00    0.00    0.00    0.00    0.00    0.00    0.00  108.54
     8.50    50.00    1999    0.00    0.00    0.00  111.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00  111.31
     8.50    50.00    2000    0.00    0.00    0.00  109.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00  109.97
     8.50    50.00    2001    0.00    0.00    0.00  105.46    0.00    0.01    0.00    0.00    0.00    0.00    0.00  105.47
     8.50    50.00    2002    0.00    0.00    0.00  108.05    0.00    0.01    0.00    0.00    0.00    0.00    0.00  108.06
     8.50    50.00    2003    0.00    0.00    0.00  112.14    0.00    0.01    0.00    0.00    0.00    0.00    0.00  112.15
     8.50    50.00    2004    0.00    0.00    0.00  110.31    0.00    0.01    0.00    0.00    0.00   19.92    0.00  130.24
     8.50    50.00    2005    0.00    0.00    0.00  117.47    0.00    0.01    0.00    0.00    0.00    6.91    0.00  124.39
     8.50    50.00    2006    0.00    0.00    0.00   96.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.70
     8.50    50.00    2007    0.00    0.00    0.00   98.77    0.00    0.17    0.00    0.00    0.00    6.54    0.00  105.48
     8.50    50.00    2008    0.00    0.00    0.00   96.63    0.00    0.21    0.00    0.00    0.00    5.85    0.00  102.69
     8.50    50.00    2009    0.00    0.00    0.00   99.84    0.00    0.23    0.00    0.00    0.00    3.88    0.00  103.95
     8.50    50.00    2010    0.00    0.00    0.00  100.73    0.00    0.27    0.00    0.00    0.00    3.61    0.00  104.61
     8.50    50.00    2011    0.00    0.00    0.00  106.16    0.00    0.32    0.00    0.00    0.00    3.90    0.00  110.38
     8.50    50.00    2012    0.00    0.00    0.00  114.33    0.00    0.52    0.00    0.00    0.00    4.75    0.00  119.60
