      Lon      Lat    Year     BNE    BINE     BNS    TeBS     IBS    TeBE    TrBE   TrIBE    TrBR     C3G     C4G   Total
     8.50    50.00    1980     0.0     0.0     0.0    22.3     0.0     0.0     0.0     0.0     0.0    17.3     0.0    22.1
     8.50    50.00    1981     0.0     0.0     0.0    22.4     0.0     0.0     0.0     0.0     0.0    15.7     0.0    22.1
     8.50    50.00    1982     0.0     0.0     0.0    21.9     0.0     0.0     0.0     0.0     0.0    16.7     0.0    21.8
     8.50    50.00    1983     0.0     0.0     0.0    25.8     0.0     0.0     0.0     0.0     0.0    22.3     0.0    25.6
     8.50    50.00    1984     0.0     0.0     0.0    24.9     0.0     0.0     0.0     0.0     0.0    13.8     0.0    24.7
     8.50    50.00    1985     0.0     0.0     0.0    22.5     0.0     0.0     0.0     0.0     0.0    17.3     0.0    22.5
     8.50    50.00    1986     0.0     0.0     0.0    24.7     0.0     0.0     0.0     0.0     0.0    16.9     0.0    24.7
     8.50    50.00    1987     0.0     0.0     0.0    23.5     0.0     0.0     0.0     0.0     0.0    16.2     0.0    23.5
     8.50    50.00    1988     0.0     0.0     0.0    24.1     0.0     0.0     0.0     0.0     0.0    14.0     0.0    24.0
     8.50    50.00    1989     0.0     0.0     0.0    21.7     0.0     0.0     0.0     0.0     0.0    15.4     0.0    21.7
     8.50    50.00    1990     0.0     0.0     0.0    21.3     0.0     0.0     0.0     0.0     0.0    18.0     0.0    21.3
     8.50    50.00    1991     0.0     0.0     0.0    23.2     0.0     0.0     0.0     0.0     0.0    25.3     0.0    23.3
     8.50    50.00    1992     0.0     0.0     0.0    22.2     0.0     0.0     0.0     0.0     0.0    16.1     0.0    22.2
     8.50    50.00    1993     0.0     0.0     0.0    23.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0    23.9
     8.50    50.00    1994     0.0     0.0     0.0    22.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0    22.8
     8.50    50.00    1995     0.0     0.0     0.0    22.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0    22.8
     8.50    50.00    1996     0.0     0.0     0.0    21.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0    21.1
     8.50    50.00    1997     0.0     0.0     0.0    22.8     0.0    42.7     0.0     0.0     0.0     0.0     0.0    22.8
     8.50    50.00    1998     0.0     0.0     0.0    23.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0    23.2
     8.50    50.00    1999     0.0     0.0     0.0    24.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0    24.4
     8.50    50.00    2000     0.0     0.0     0.0    21.9     0.0     0.0     0.0     0.0     0.0     0.0     0.0    21.9
     8.50    50.00    2001     0.0     0.0     0.0    23.6     0.0    43.4     0.0     0.0     0.0     0.0     0.0    23.6
     8.50    50.00    2002     0.0     0.0     0.0    22.4     0.0    34.8     0.0     0.0     0.0     0.0     0.0    22.4
     8.50    50.00    2003     0.0     0.0     0.0    21.6     0.0    35.6     0.0     0.0     0.0     0.0     0.0    21.6
     8.50    50.00    2004     0.0     0.0     0.0    22.3     0.0    38.4     0.0     0.0     0.0    26.2     0.0    22.4
     8.50    50.00    2005     0.0     0.0     0.0    24.6     0.0    41.7     0.0     0.0     0.0     0.0     0.0    24.6
     8.50    50.00    2006     0.0     0.0     0.0    22.9     0.0    38.1     0.0     0.0     0.0     0.0     0.0    22.9
     8.50    50.00    2007     0.0     0.0     0.0    21.0     0.0    37.4     0.0     0.0     0.0    20.9     0.0    21.1
     8.50    50.00    2008     0.0     0.0     0.0    22.5     0.0    36.2     0.0     0.0     0.0    18.9     0.0    22.4
     8.50    50.00    2009     0.0     0.0     0.0    20.9     0.0    36.4     0.0     0.0     0.0    15.6     0.0    20.7
     8.50    50.00    2010     0.0     0.0     0.0    22.4     0.0    38.1     0.0     0.0     0.0    18.1     0.0    22.3
     8.50    50.00    2011     0.0     0.0     0.0    22.2     0.0    35.9     0.0     0.0     0.0    16.7     0.0    22.0
     8.50    50.00    2012     0.0     0.0     0.0    22.9     0.0    37.5     0.0     0.0     0.0    16.7     0.0    22.8
